timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-09-15 14:52:12.268,0,NVIDIA RTX 6000 Ada Generation,40,0,0,49140,634,48506,375,810,375,30,54.779,-1,-1,-1,-1,20441280304,1,"nvclock=375, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=810, memclockmin=810, memclockmax=810, memclockeditable=1, memTransferRate=1620, memTransferRatemin=1620, memTransferRatemax=1620, memTransferRateeditable=1"
2025-09-15 14:52:13.279,0,NVIDIA RTX 6000 Ada Generation,44,0,0,49140,1087,48052,2775,9501,2775,30,71.746,-1,-1,-1,-1,20441399718,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:14.284,0,NVIDIA RTX 6000 Ada Generation,45,2,0,49140,1081,48058,2775,9501,2775,30,143.994,-1,-1,-1,-1,20441555304,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:15.396,0,NVIDIA RTX 6000 Ada Generation,46,2,0,49140,1081,48058,2760,9501,2760,30,141.368,-1,-1,-1,-1,20441695435,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:16.402,0,NVIDIA RTX 6000 Ada Generation,46,2,0,49140,1087,48052,2760,9501,2760,30,140.553,-1,-1,-1,-1,20441833660,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:17.407,0,NVIDIA RTX 6000 Ada Generation,46,2,0,49140,1081,48058,2760,9501,2760,30,129.806,-1,-1,-1,-1,20441958756,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:18.413,0,NVIDIA RTX 6000 Ada Generation,46,1,0,49140,1081,48058,2760,9501,2760,30,141.912,-1,-1,-1,-1,20442099014,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:19.423,0,NVIDIA RTX 6000 Ada Generation,47,2,0,49140,1081,48058,2760,9501,2760,30,143.134,-1,-1,-1,-1,20442240861,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:20.431,0,NVIDIA RTX 6000 Ada Generation,47,23,0,49140,1081,48058,2760,9501,2760,30,141.8,-1,-1,-1,-1,20442381129,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-09-15 14:52:21.439,0,NVIDIA RTX 6000 Ada Generation,46,0,0,49140,1081,48058,2760,9501,2760,30,132.222,-1,-1,-1,-1,20442510596,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
