session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-09-17 10:35:05.793 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.81116
1,2025-09-17 10:35:05.793 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,84.9527
1,2025-09-17 10:35:05.793 ,sm,inst_executed,avg,per_cycle_active,0,3.39072
1,2025-09-17 10:35:05.793 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,84.9527
1,2025-09-17 10:35:05.793 ,sm,inst_issued,avg,per_cycle_active,0,3.39811
1,2025-09-17 10:35:05.793 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
1,2025-09-17 10:35:05.793 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,786432
1,2025-09-17 10:35:05.793 ,dram,bytes_read,sum,per_second,0,0
1,2025-09-17 10:35:05.793 ,dram,bytes_write,sum,per_second,0,0
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,0
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,32768
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,32768
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,32768
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-09-17 10:35:05.793 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-09-17 10:35:05.793 ,lts,t_sector_op_read_hit_rate,pct,No post,0,100
1,2025-09-17 10:35:05.793 ,lts,t_sector_op_write_hit_rate,pct,No post,0,100
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,1.7559
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,4.06599
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,33.2363
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.321828
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,48.2558
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,0
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.000712132
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.456409
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0.00817427
1,2025-09-17 10:35:05.793 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.234132
2,2025-09-17 10:35:05.949 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.83316
