session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-08-05 08:10:26.127 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.57786
1,2025-08-05 08:10:26.127 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,67.5631
1,2025-08-05 08:10:26.127 ,sm,inst_executed,avg,per_cycle_active,0,2.70242
1,2025-08-05 08:10:26.127 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,67.5631
1,2025-08-05 08:10:26.127 ,sm,inst_issued,avg,per_cycle_active,0,2.70252
1,2025-08-05 08:10:26.127 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
1,2025-08-05 08:10:26.127 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,1.63879e+09
1,2025-08-05 08:10:26.127 ,dram,bytes_read,sum,per_second,0,0
1,2025-08-05 08:10:26.127 ,dram,bytes_write,sum,per_second,0,0
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,0
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,8192
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,8192
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8192
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-08-05 08:10:26.127 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-08-05 08:10:26.127 ,lts,t_sector_op_read_hit_rate,pct,No post,0,99.9793
1,2025-08-05 08:10:26.127 ,lts,t_sector_op_write_hit_rate,pct,No post,0,100
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.0606403
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.077426
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,31.4928
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,3.96217
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,14.0543
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,0
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.0466276
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,3.2651
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0
1,2025-08-05 08:10:26.127 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.00559505
2,2025-08-05 08:10:26.306 ,sm,inst_executed,avg,per_cycle_elapsed,0,0.035351
2,2025-08-05 08:10:26.306 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,3.45221
2,2025-08-05 08:10:26.306 ,sm,inst_executed,avg,per_cycle_active,0,0.0522483
2,2025-08-05 08:10:26.306 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,1.31094
2,2025-08-05 08:10:26.306 ,sm,inst_issued,avg,per_cycle_active,0,0.0524376
2,2025-08-05 08:10:26.306 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,196608
2,2025-08-05 08:10:26.306 ,dram,bytes_read,sum,per_second,0,0
2,2025-08-05 08:10:26.306 ,dram,bytes_write,sum,per_second,0,0
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,8.192e+06
2,2025-08-05 08:10:26.306 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
2,2025-08-05 08:10:26.306 ,lts,t_sector_op_read_hit_rate,pct,No post,0,99.9159
2,2025-08-05 08:10:26.306 ,lts,t_sector_op_write_hit_rate,pct,No post,0,100
2,2025-08-05 08:10:26.306 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.107368
