timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ
2025-05-20 04:01:02.040,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.218,-1,-1,-1,-1,420053490
2025-05-20 04:01:03.050,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,465,7723,1470,7000,1470,-1,8.075,-1,-1,-1,-1,420148016
2025-05-20 04:01:04.056,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,98,18,8188,7933,255,1245,5500,1245,-1,24.278,-1,-1,-1,-1,420225639
2025-05-20 04:01:05.061,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,100,18,8188,7933,255,1365,5500,1365,-1,35.22,-1,-1,-1,-1,420292495
2025-05-20 04:01:06.064,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,99,18,8188,7933,255,1695,5500,1695,-1,34.789,-1,-1,-1,-1,420371398
2025-05-20 04:01:07.068,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,100,2,8188,7933,255,1710,5500,1710,-1,34.53,-1,-1,-1,-1,420465214
2025-05-20 04:01:08.075,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,64,35,8188,7933,255,1215,5500,1215,-1,31.46,-1,-1,-1,-1,420563756
2025-05-20 04:01:09.079,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,98,19,8188,7933,255,1230,5500,1230,-1,35.049,-1,-1,-1,-1,420684184
2025-05-20 04:01:10.083,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,18,8188,7933,255,1275,5500,1275,-1,34.996,-1,-1,-1,-1,420822849
2025-05-20 04:01:11.088,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,2,8188,7933,255,1755,5500,1755,-1,34.49,-1,-1,-1,-1,420902674
2025-05-20 04:01:12.094,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,1755,5500,1755,-1,35.04,-1,-1,-1,-1,420955432
2025-05-20 04:01:13.098,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,97,21,8188,7933,255,1185,5500,1185,-1,32.267,-1,-1,-1,-1,421009232
2025-05-20 04:01:14.102,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,19,8188,7933,255,1230,5500,1230,-1,34.847,-1,-1,-1,-1,421077082
2025-05-20 04:01:15.105,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,19,8188,7933,255,1755,5500,1755,-1,34.475,-1,-1,-1,-1,421154352
2025-05-20 04:01:16.112,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,1695,5500,1695,-1,34.765,-1,-1,-1,-1,421253244
2025-05-20 04:01:17.116,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,64,23,8188,7933,255,1245,5500,1245,-1,32.712,-1,-1,-1,-1,421350815
2025-05-20 04:01:18.181,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,98,19,8188,7933,255,1155,5500,1155,-1,35.066,-1,-1,-1,-1,421473343
2025-05-20 04:01:19.185,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,98,19,8188,7933,255,1200,5500,1200,-1,34.944,-1,-1,-1,-1,421604180
2025-05-20 04:01:20.194,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1740,5500,1740,-1,34.519,-1,-1,-1,-1,421667143
2025-05-20 04:01:21.197,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1740,5500,1740,-1,35.015,-1,-1,-1,-1,421732984
2025-05-20 04:01:22.201,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,17,8188,7933,255,1545,5500,1545,-1,32.627,-1,-1,-1,-1,421813796
2025-05-20 04:01:23.204,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,18,8188,7933,255,1215,5500,1215,-1,34.912,-1,-1,-1,-1,421913753
2025-05-20 04:01:24.209,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,17,8188,7933,255,1680,5500,1680,-1,35.037,-1,-1,-1,-1,422037934
2025-05-20 04:01:25.214,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1680,5500,1680,-1,34.841,-1,-1,-1,-1,422166105
2025-05-20 04:01:26.217,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,64,40,8188,7933,255,1155,5500,1155,-1,32.501,-1,-1,-1,-1,422277971
2025-05-20 04:01:27.221,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,97,18,8188,7933,255,1155,5500,1155,-1,36.519,-1,-1,-1,-1,422347083
2025-05-20 04:01:28.229,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,19,8188,7933,255,1155,5500,1155,-1,34.722,-1,-1,-1,-1,422430622
2025-05-20 04:01:29.234,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1740,5500,1740,-1,34.425,-1,-1,-1,-1,422534670
2025-05-20 04:01:30.237,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1740,5500,1740,-1,35.047,-1,-1,-1,-1,422604212
2025-05-20 04:01:31.240,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,99,31,8188,7933,255,1215,5500,1215,-1,33.396,-1,-1,-1,-1,422683810
2025-05-20 04:01:32.247,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,18,8188,7933,255,1185,5500,1185,-1,36.614,-1,-1,-1,-1,422772830
2025-05-20 04:01:33.251,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,18,8188,7933,255,1170,5500,1170,-1,35.175,-1,-1,-1,-1,422891620
2025-05-20 04:01:34.255,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1695,5500,1695,-1,34.712,-1,-1,-1,-1,423030153
2025-05-20 04:01:35.259,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,2040,5500,2040,-1,33.346,-1,-1,-1,-1,423108547
2025-05-20 04:01:36.266,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,94,18,8188,7933,255,1335,5500,1335,-1,32.649,-1,-1,-1,-1,423199907
2025-05-20 04:01:37.270,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,98,18,8188,7933,255,1275,5500,1275,-1,34.707,-1,-1,-1,-1,423343821
2025-05-20 04:01:38.274,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,99,7,8188,7933,255,1740,5500,1740,-1,34.555,-1,-1,-1,-1,423421677
2025-05-20 04:01:39.277,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1740,5500,1740,-1,35.146,-1,-1,-1,-1,423490778
2025-05-20 04:01:40.284,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,30,8188,7933,255,1725,5500,1725,-1,33.135,-1,-1,-1,-1,423572774
2025-05-20 04:01:41.288,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,98,19,8188,7933,255,1155,5500,1155,-1,34.948,-1,-1,-1,-1,423680469
2025-05-20 04:01:42.292,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,97,18,8188,7933,255,1155,5500,1155,-1,35.017,-1,-1,-1,-1,423811781
2025-05-20 04:01:43.296,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1710,5500,1710,-1,34.726,-1,-1,-1,-1,423958984
2025-05-20 04:01:44.304,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1725,5500,1725,-1,34.992,-1,-1,-1,-1,424045870
2025-05-20 04:01:45.307,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,21,8188,7933,255,1575,5500,1575,-1,32.419,-1,-1,-1,-1,424106997
