timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ
2025-05-20 01:38:25.741,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.201,-1,-1,-1,-1,246701212
2025-05-20 01:38:26.750,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.101,-1,-1,-1,-1,246802711
2025-05-20 01:38:27.756,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.069,-1,-1,-1,-1,246901736
2025-05-20 01:38:28.759,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.116,-1,-1,-1,-1,247012148
2025-05-20 01:38:29.762,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,16,1,8188,7933,255,1470,7000,1470,-1,8.373,-1,-1,-1,-1,247108621
2025-05-20 01:38:30.765,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,94,13,8188,7933,255,1170,5500,1170,-1,30.541,-1,-1,-1,-1,247221658
2025-05-20 01:38:31.775,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,99,18,8188,7933,255,1365,5500,1365,-1,34.504,-1,-1,-1,-1,247341934
2025-05-20 01:38:32.779,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,100,2,8188,7933,255,1755,5500,1755,-1,34.247,-1,-1,-1,-1,247408632
2025-05-20 01:38:33.783,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,2,8188,7933,255,1740,5500,1740,-1,35.066,-1,-1,-1,-1,247459061
2025-05-20 01:38:34.786,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,93,18,8188,7933,255,2040,5500,2040,-1,33.125,-1,-1,-1,-1,247514727
2025-05-20 01:38:35.794,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,98,18,8188,7933,255,1230,5500,1230,-1,34.86,-1,-1,-1,-1,247589515
2025-05-20 01:38:36.798,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,98,19,8188,7933,255,1230,5500,1230,-1,34.808,-1,-1,-1,-1,247683027
2025-05-20 01:38:37.802,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,1755,5500,1755,-1,35.005,-1,-1,-1,-1,247779969
2025-05-20 01:38:38.805,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,100,2,8188,4317,3871,1755,5500,1755,-1,34.704,-1,-1,-1,-1,247856900
2025-05-20 01:38:39.830,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,94,17,8188,7933,255,1170,5500,1170,-1,32.406,-1,-1,-1,-1,247950780
2025-05-20 01:38:40.843,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,19,8188,7933,255,1365,5500,1365,-1,34.398,-1,-1,-1,-1,248068262
2025-05-20 01:38:41.852,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,99,12,8188,7933,255,1755,5500,1755,-1,34.49,-1,-1,-1,-1,248181042
2025-05-20 01:38:42.855,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,2,8188,7933,255,1725,5500,1725,-1,35.181,-1,-1,-1,-1,248245172
2025-05-20 01:38:43.858,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,75,34,8188,7933,255,1845,5500,1845,-1,32.225,-1,-1,-1,-1,248335541
2025-05-20 01:38:44.863,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,18,8188,7933,255,1140,5500,1140,-1,34.731,-1,-1,-1,-1,248466970
2025-05-20 01:38:45.871,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,18,8188,7933,255,1185,5500,1185,-1,34.84,-1,-1,-1,-1,248555652
2025-05-20 01:38:46.875,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1740,5500,1740,-1,34.633,-1,-1,-1,-1,248620246
2025-05-20 01:38:47.878,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1740,5500,1740,-1,35.038,-1,-1,-1,-1,248691780
2025-05-20 01:38:48.881,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,94,17,8188,7933,255,1215,5500,1215,-1,33.289,-1,-1,-1,-1,248812421
2025-05-20 01:38:49.890,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,18,8188,7933,255,1200,5500,1200,-1,34.957,-1,-1,-1,-1,248901628
2025-05-20 01:38:50.894,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,99,12,8188,7933,255,1695,5500,1695,-1,34.368,-1,-1,-1,-1,248982933
2025-05-20 01:38:51.897,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,100,2,8188,7933,255,1680,5500,1680,-1,34.623,-1,-1,-1,-1,249081501
2025-05-20 01:38:52.900,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,73,34,8188,7933,255,1170,5500,1170,-1,32.92,-1,-1,-1,-1,249173010
2025-05-20 01:38:53.914,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,99,17,8188,7933,255,1200,5500,1200,-1,35.478,-1,-1,-1,-1,249295359
2025-05-20 01:38:54.917,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,100,17,8188,7933,255,1185,5500,1185,-1,34.991,-1,-1,-1,-1,249362618
2025-05-20 01:38:55.921,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1740,5500,1740,-1,34.422,-1,-1,-1,-1,249432730
2025-05-20 01:38:56.930,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1740,5500,1740,-1,35.087,-1,-1,-1,-1,249519234
2025-05-20 01:38:57.934,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,97,35,8188,7933,255,2025,5500,2025,-1,34.103,-1,-1,-1,-1,249640661
2025-05-20 01:38:58.938,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,18,8188,7933,255,1185,5500,1185,-1,37.595,-1,-1,-1,-1,249746191
2025-05-20 01:38:59.947,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,18,8188,7933,255,1155,5500,1155,-1,35.025,-1,-1,-1,-1,249873557
2025-05-20 01:39:00.950,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1680,5500,1680,-1,34.941,-1,-1,-1,-1,250017304
2025-05-20 01:39:01.954,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,99,8,8188,7933,255,2025,5500,2025,-1,34.281,-1,-1,-1,-1,250093003
2025-05-20 01:39:02.960,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,18,8188,7933,255,1125,5500,1125,-1,36.015,-1,-1,-1,-1,250146104
2025-05-20 01:39:03.968,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,17,8188,7933,255,1185,5500,1185,-1,34.445,-1,-1,-1,-1,250206478
2025-05-20 01:39:04.971,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1725,5500,1725,-1,34.125,-1,-1,-1,-1,250270196
2025-05-20 01:39:05.975,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1710,5500,1710,-1,35.117,-1,-1,-1,-1,250347926
2025-05-20 01:39:06.978,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,15,8188,7933,255,1605,5500,1605,-1,32.852,-1,-1,-1,-1,250443492
2025-05-20 01:39:07.984,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,98,18,8188,7933,255,1140,5500,1140,-1,35.132,-1,-1,-1,-1,250531034
2025-05-20 01:39:08.988,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,98,17,8188,7933,255,1140,5500,1140,-1,34.965,-1,-1,-1,-1,250606090
2025-05-20 01:39:09.992,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1710,5500,1710,-1,34.77,-1,-1,-1,-1,250683366
2025-05-20 01:39:10.995,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1710,5500,1710,-1,34.999,-1,-1,-1,-1,250772872
2025-05-20 01:39:12.002,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,20,8188,7933,255,1215,5500,1215,-1,32.745,-1,-1,-1,-1,250885234
2025-05-20 01:39:13.008,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,19,8188,7933,255,1185,5500,1185,-1,35.027,-1,-1,-1,-1,251008144
2025-05-20 01:39:14.012,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,98,19,8188,7933,255,1185,5500,1185,-1,34.944,-1,-1,-1,-1,251118021
2025-05-20 01:39:15.029,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1680,5500,1680,-1,34.683,-1,-1,-1,-1,251224853
2025-05-20 01:39:16.032,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,99,9,8188,7933,255,1275,5500,1275,-1,32.561,-1,-1,-1,-1,251347771
2025-05-20 01:39:17.041,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,18,8188,7933,255,1140,5500,1140,-1,34.609,-1,-1,-1,-1,251470548
2025-05-20 01:39:18.045,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,19,8188,7933,255,1155,5500,1155,-1,34.632,-1,-1,-1,-1,251613960
2025-05-20 01:39:19.049,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,2,8188,7933,255,1725,5500,1725,-1,34.401,-1,-1,-1,-1,251683371
2025-05-20 01:39:20.053,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,2,8188,7933,255,1725,5500,1725,-1,35.123,-1,-1,-1,-1,251755233
2025-05-20 01:39:21.060,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,22,8188,7933,255,2025,5500,2025,-1,33.955,-1,-1,-1,-1,251829848
2025-05-20 01:39:22.064,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,19,8188,7933,255,1410,5500,1410,-1,34.933,-1,-1,-1,-1,251957028
2025-05-20 01:39:23.068,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,98,18,8188,7933,255,1185,5500,1185,-1,34.935,-1,-1,-1,-1,252100863
2025-05-20 01:39:24.073,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,100,2,8188,7933,255,1695,5500,1695,-1,34.884,-1,-1,-1,-1,252180379
2025-05-20 01:39:25.079,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,2,8188,4317,3871,1695,5500,1695,-1,35.041,-1,-1,-1,-1,252245065
2025-05-20 01:39:26.085,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,18,8188,7933,255,1170,5500,1170,-1,31.624,-1,-1,-1,-1,252376765
2025-05-20 01:39:27.089,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,87,13,8188,7933,255,1155,5500,1155,-1,36.545,-1,-1,-1,-1,252466952
2025-05-20 01:39:28.098,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,99,14,8188,7933,255,1155,5500,1155,-1,39.796,-1,-1,-1,-1,252555668
2025-05-20 01:39:29.143,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,100,2,8188,7933,255,1680,5500,1680,-1,34.018,-1,-1,-1,-1,252640382
2025-05-20 01:39:30.146,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,99,13,8188,7933,255,2025,5500,2025,-1,32.78,-1,-1,-1,-1,252730692
2025-05-20 01:39:31.149,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,61,29,8188,7933,255,1125,7000,1125,-1,31.719,-1,-1,-1,-1,252847910
2025-05-20 01:39:32.156,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,93,16,8188,7933,255,1125,5500,1125,-1,34.83,-1,-1,-1,-1,252982348
2025-05-20 01:39:33.161,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,99,16,8188,7933,255,1155,5500,1155,-1,34.813,-1,-1,-1,-1,253047027
2025-05-20 01:39:34.165,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,100,2,8188,7933,255,1725,5500,1725,-1,34.632,-1,-1,-1,-1,253114474
2025-05-20 01:39:35.168,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,100,2,8188,7933,255,1710,5500,1710,-1,35.061,-1,-1,-1,-1,253190170
2025-05-20 01:39:36.175,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,97,32,8188,7933,255,1155,5500,1155,-1,36.283,-1,-1,-1,-1,253312089
2025-05-20 01:39:37.188,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,16,8188,7933,255,1185,5500,1185,-1,36.936,-1,-1,-1,-1,253431327
2025-05-20 01:39:38.194,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,16,8188,7933,255,1185,5500,1185,-1,35.125,-1,-1,-1,-1,253578452
2025-05-20 01:39:39.198,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,100,2,8188,7933,255,1680,5500,1680,-1,35.05,-1,-1,-1,-1,253698824
2025-05-20 01:39:40.203,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,2025,5500,2025,-1,33.702,-1,-1,-1,-1,253760516
2025-05-20 01:39:41.209,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,94,16,8188,7933,255,1125,5500,1125,-1,34.186,-1,-1,-1,-1,253808539
2025-05-20 01:39:42.221,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,17,8188,7933,255,1140,5500,1140,-1,34.851,-1,-1,-1,-1,253894889
2025-05-20 01:39:43.225,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,99,7,8188,7933,255,1695,5500,1695,-1,34.434,-1,-1,-1,-1,253981751
2025-05-20 01:39:44.232,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,100,2,8188,7933,255,1695,5500,1695,-1,35.099,-1,-1,-1,-1,254051874
2025-05-20 01:39:45.236,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,79,36,8188,7933,255,1680,5500,1680,-1,32.87,-1,-1,-1,-1,254141054
2025-05-20 01:39:46.240,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,100,17,8188,7933,255,1125,5500,1125,-1,34.694,-1,-1,-1,-1,254247005
2025-05-20 01:39:47.245,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,100,17,8188,7933,255,1140,5500,1140,-1,34.819,-1,-1,-1,-1,254316635
2025-05-20 01:39:48.251,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,100,2,8188,7933,255,1695,5500,1695,-1,34.835,-1,-1,-1,-1,254401145
2025-05-20 01:39:49.255,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,100,2,8188,7933,255,1695,5500,1695,-1,34.962,-1,-1,-1,-1,254507842
2025-05-20 01:39:50.258,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,31,8188,7933,255,1200,5500,1200,-1,32.633,-1,-1,-1,-1,254584585
2025-05-20 01:39:51.262,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,16,8188,7933,255,1185,5500,1185,-1,34.809,-1,-1,-1,-1,254656919
2025-05-20 01:39:52.270,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,16,8188,7933,255,1245,5500,1245,-1,35.071,-1,-1,-1,-1,254742236
2025-05-20 01:39:53.273,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,100,2,8188,7933,255,1650,5500,1650,-1,34.842,-1,-1,-1,-1,254849209
2025-05-20 01:39:54.277,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,2,8188,7933,255,2025,5500,2025,-1,32.648,-1,-1,-1,-1,254976284
2025-05-20 01:39:55.280,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,94,15,8188,7933,255,1125,5500,1125,-1,35.196,-1,-1,-1,-1,255112203
2025-05-20 01:39:56.288,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,17,8188,7933,255,1140,5500,1140,-1,34.593,-1,-1,-1,-1,255226468
2025-05-20 01:39:57.292,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,2,8188,7933,255,1695,5500,1695,-1,34.34,-1,-1,-1,-1,255353129
2025-05-20 01:39:58.295,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,2,8188,7933,255,1710,5500,1710,-1,35.092,-1,-1,-1,-1,255495804
2025-05-20 01:39:59.299,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,18,8188,7933,255,1845,5500,1845,-1,33.486,-1,-1,-1,-1,255570377
2025-05-20 01:40:00.307,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,16,8188,7933,255,1185,5500,1185,-1,34.867,-1,-1,-1,-1,255627701
2025-05-20 01:40:01.311,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,16,8188,7933,255,1155,5500,1155,-1,34.997,-1,-1,-1,-1,255691423
2025-05-20 01:40:02.315,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,2,8188,7933,255,1695,5500,1695,-1,34.934,-1,-1,-1,-1,255778798
2025-05-20 01:40:03.318,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,2,8188,7933,255,1695,5500,1695,-1,35.067,-1,-1,-1,-1,255882604
2025-05-20 01:40:04.325,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,18,8188,7933,255,1140,5500,1140,-1,36.594,-1,-1,-1,-1,255995364
2025-05-20 01:40:05.329,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,17,8188,7933,255,1170,5500,1170,-1,34.132,-1,-1,-1,-1,256093494
2025-05-20 01:40:06.333,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,17,8188,7933,255,1500,5500,1500,-1,34.264,-1,-1,-1,-1,256153908
2025-05-20 01:40:07.337,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,2,8188,7933,255,1665,5500,1665,-1,34.563,-1,-1,-1,-1,256232885
2025-05-20 01:40:08.345,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,63,19,8188,7933,255,2025,5500,2025,-1,32.197,-1,-1,-1,-1,256312608
2025-05-20 01:40:09.349,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,94,15,8188,7933,255,1125,5500,1125,-1,36.981,-1,-1,-1,-1,256413359
2025-05-20 01:40:10.352,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,17,8188,7933,255,1140,5500,1140,-1,34.648,-1,-1,-1,-1,256512119
2025-05-20 01:40:11.356,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,99,8,8188,7933,255,1695,5500,1695,-1,34.262,-1,-1,-1,-1,256625317
2025-05-20 01:40:12.363,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,100,2,8188,7933,255,1695,5500,1695,-1,35.091,-1,-1,-1,-1,256751792
2025-05-20 01:40:13.367,0,NVIDIA GeForce RTX 4060 Laptop GPU,60,66,34,8188,7933,255,2025,5500,2025,-1,32.687,-1,-1,-1,-1,256876730
2025-05-20 01:40:14.371,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,98,17,8188,7933,255,1245,5500,1245,-1,34.8,-1,-1,-1,-1,256943751
2025-05-20 01:40:15.374,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,98,17,8188,7933,255,1215,5500,1215,-1,34.995,-1,-1,-1,-1,257016878
2025-05-20 01:40:16.384,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,100,2,8188,7933,255,1680,5500,1680,-1,34.923,-1,-1,-1,-1,257110126
2025-05-20 01:40:17.404,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,2,8188,4317,3871,1680,5500,1680,-1,34.997,-1,-1,-1,-1,257208842
2025-05-20 01:40:18.408,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,94,15,8188,7933,255,1170,5500,1170,-1,33.267,-1,-1,-1,-1,257333279
2025-05-20 01:40:19.413,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,98,17,8188,7933,255,1155,5500,1155,-1,34.862,-1,-1,-1,-1,257434646
2025-05-20 01:40:20.421,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,99,7,8188,7933,255,1695,5500,1695,-1,34.351,-1,-1,-1,-1,257495554
