timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ
2025-05-20 08:10:25.520,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.274,-1,-1,-1,-1,699765630
2025-05-20 08:10:26.530,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,465,7723,1470,7000,1470,-1,8.168,-1,-1,-1,-1,699871886
2025-05-20 08:10:27.536,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,98,17,8188,7933,255,1245,5500,1245,-1,23.168,-1,-1,-1,-1,699948836
2025-05-20 08:10:28.540,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,98,19,8188,7933,255,1245,5500,1245,-1,35.147,-1,-1,-1,-1,700080710
2025-05-20 08:10:29.543,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,100,16,8188,7933,255,1650,5500,1650,-1,34.927,-1,-1,-1,-1,700220165
2025-05-20 08:10:30.547,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,100,2,8188,7933,255,1710,5500,1710,-1,34.816,-1,-1,-1,-1,700291907
2025-05-20 08:10:31.554,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,61,40,8188,7933,255,1635,5500,1635,-1,32.697,-1,-1,-1,-1,700344737
2025-05-20 08:10:32.558,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,98,18,8188,7933,255,1230,5500,1230,-1,36.09,-1,-1,-1,-1,700480839
2025-05-20 08:10:33.562,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,97,19,8188,7933,255,1350,5500,1350,-1,34.812,-1,-1,-1,-1,700557896
2025-05-20 08:10:34.566,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,2,8188,7933,255,1755,5500,1755,-1,34.569,-1,-1,-1,-1,700629422
2025-05-20 08:10:35.572,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,1755,5500,1755,-1,35.052,-1,-1,-1,-1,700708607
2025-05-20 08:10:36.576,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,98,19,8188,7933,255,1245,5500,1245,-1,34.054,-1,-1,-1,-1,700834359
2025-05-20 08:10:37.580,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,19,8188,7933,255,1215,5500,1215,-1,34.806,-1,-1,-1,-1,700973974
2025-05-20 08:10:38.583,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,18,8188,7933,255,1410,5500,1410,-1,34.997,-1,-1,-1,-1,701042330
2025-05-20 08:10:39.596,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,2,8188,7933,255,1695,5500,1695,-1,34.886,-1,-1,-1,-1,701133706
