timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ
2025-05-20 06:23:22.792,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.212,-1,-1,-1,-1,575620813
2025-05-20 06:23:23.801,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.111,-1,-1,-1,-1,575725363
2025-05-20 06:23:24.806,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.126,-1,-1,-1,-1,575826982
2025-05-20 06:23:25.809,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.104,-1,-1,-1,-1,575940599
2025-05-20 06:23:26.812,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,17,1,8188,7933,255,1470,7000,1470,-1,8.418,-1,-1,-1,-1,576050061
2025-05-20 06:23:27.815,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,94,18,8188,7933,255,1230,5500,1230,-1,32.501,-1,-1,-1,-1,576134063
2025-05-20 06:23:28.819,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,98,18,8188,7933,255,1200,5500,1200,-1,34.52,-1,-1,-1,-1,576252331
2025-05-20 06:23:29.826,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,100,4,8188,7933,255,1725,5500,1725,-1,34.473,-1,-1,-1,-1,576379636
2025-05-20 06:23:30.829,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,2,8188,7933,255,1710,5500,1710,-1,35.105,-1,-1,-1,-1,576507730
2025-05-20 06:23:31.832,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,98,18,8188,7933,255,1860,5500,1860,-1,33.679,-1,-1,-1,-1,576588337
2025-05-20 06:23:32.836,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,95,18,8188,7933,255,1155,5500,1155,-1,35.729,-1,-1,-1,-1,576728715
2025-05-20 06:23:33.844,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,98,19,8188,7933,255,1155,5500,1155,-1,34.862,-1,-1,-1,-1,576855962
2025-05-20 06:23:34.849,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,1710,5500,1710,-1,34.744,-1,-1,-1,-1,576920209
2025-05-20 06:23:35.852,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,1710,5500,1710,-1,35.042,-1,-1,-1,-1,576988066
2025-05-20 06:23:36.855,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,18,8188,7933,255,1185,5500,1185,-1,34.545,-1,-1,-1,-1,577076590
2025-05-20 06:23:37.863,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,17,8188,7933,255,1155,5500,1155,-1,34.742,-1,-1,-1,-1,577161695
2025-05-20 06:23:38.867,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,17,8188,7933,255,1695,5500,1695,-1,34.434,-1,-1,-1,-1,577226847
2025-05-20 06:23:39.871,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,2,8188,7933,255,1680,5500,1680,-1,34.675,-1,-1,-1,-1,577296559
2025-05-20 06:23:40.875,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,63,14,8188,7933,255,1125,5500,1125,-1,35.066,-1,-1,-1,-1,577380452
2025-05-20 06:23:41.894,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,97,18,8188,7933,255,1140,5500,1140,-1,38.739,-1,-1,-1,-1,577508094
2025-05-20 06:23:42.901,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,98,17,8188,7933,255,1245,5500,1245,-1,34.959,-1,-1,-1,-1,577579260
2025-05-20 06:23:43.906,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1695,5500,1695,-1,34.531,-1,-1,-1,-1,577677485
