session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-05-15 01:27:32.933 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98922
1,2025-05-15 01:27:32.933 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8143
1,2025-05-15 01:27:32.933 ,sm,inst_executed,avg,per_cycle_active,0,2.99257
1,2025-05-15 01:27:32.933 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8143
1,2025-05-15 01:27:32.933 ,sm,inst_issued,avg,per_cycle_active,0,2.99257
1,2025-05-15 01:27:32.933 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
1,2025-05-15 01:27:32.933 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
1,2025-05-15 01:27:32.933 ,dram,bytes_read,sum,per_second,0,2.41674e+10
1,2025-05-15 01:27:32.933 ,dram,bytes_write,sum,per_second,0,1.44798e+09
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.34995e+07
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-05-15 01:27:32.933 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-05-15 01:27:32.933 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.6507
1,2025-05-15 01:27:32.933 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9756
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000323029
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.628759
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6477
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209929
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6254
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.4942
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.816172
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.638359
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0.000167374
1,2025-05-15 01:27:32.933 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.00084492
2,2025-05-15 01:27:36.892 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98786
2,2025-05-15 01:27:36.892 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8046
2,2025-05-15 01:27:36.892 ,sm,inst_executed,avg,per_cycle_active,0,2.99218
2,2025-05-15 01:27:36.892 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8046
2,2025-05-15 01:27:36.892 ,sm,inst_issued,avg,per_cycle_active,0,2.99219
2,2025-05-15 01:27:36.892 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
2,2025-05-15 01:27:36.892 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
2,2025-05-15 01:27:36.892 ,dram,bytes_read,sum,per_second,0,3.08745e+10
2,2025-05-15 01:27:36.892 ,dram,bytes_write,sum,per_second,0,1.60998e+09
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.42358e+07
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
2,2025-05-15 01:27:36.892 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
2,2025-05-15 01:27:36.892 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.4006
2,2025-05-15 01:27:36.892 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9798
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000311729
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.627719
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6604
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.21004
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6581
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.50303
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.765665
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.639066
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0.000179518
2,2025-05-15 01:27:36.892 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.00084023
3,2025-05-15 01:27:40.873 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98788
3,2025-05-15 01:27:40.873 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.84
3,2025-05-15 01:27:40.873 ,sm,inst_executed,avg,per_cycle_active,0,2.9936
3,2025-05-15 01:27:40.873 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.84
3,2025-05-15 01:27:40.873 ,sm,inst_issued,avg,per_cycle_active,0,2.9936
3,2025-05-15 01:27:40.873 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
3,2025-05-15 01:27:40.873 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
3,2025-05-15 01:27:40.873 ,dram,bytes_read,sum,per_second,0,3.01565e+10
3,2025-05-15 01:27:40.873 ,dram,bytes_write,sum,per_second,0,1.57776e+09
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.19148e+07
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
3,2025-05-15 01:27:40.873 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
3,2025-05-15 01:27:40.873 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.4108
3,2025-05-15 01:27:40.873 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9805
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000326843
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.627151
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6469
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209856
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.5658
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.48779
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.768027
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.637257
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0.000162765
3,2025-05-15 01:27:40.873 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000848229
4,2025-05-15 01:27:44.835 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98854
4,2025-05-15 01:27:44.835 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8383
4,2025-05-15 01:27:44.835 ,sm,inst_executed,avg,per_cycle_active,0,2.99353
4,2025-05-15 01:27:44.835 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8383
4,2025-05-15 01:27:44.835 ,sm,inst_issued,avg,per_cycle_active,0,2.99353
4,2025-05-15 01:27:44.835 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
4,2025-05-15 01:27:44.835 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
4,2025-05-15 01:27:44.835 ,dram,bytes_read,sum,per_second,0,2.91621e+10
4,2025-05-15 01:27:44.835 ,dram,bytes_write,sum,per_second,0,1.58181e+09
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.45584e+07
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
4,2025-05-15 01:27:44.835 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
4,2025-05-15 01:27:44.835 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.4679
4,2025-05-15 01:27:44.835 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9759
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000359528
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.627299
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6585
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209926
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6301
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.4918
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.766967
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.638424
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0.000165551
4,2025-05-15 01:27:44.835 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000850784
5,2025-05-15 01:27:48.824 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98794
5,2025-05-15 01:27:48.824 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8317
5,2025-05-15 01:27:48.824 ,sm,inst_executed,avg,per_cycle_active,0,2.99327
5,2025-05-15 01:27:48.824 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8317
5,2025-05-15 01:27:48.824 ,sm,inst_issued,avg,per_cycle_active,0,2.99327
5,2025-05-15 01:27:48.824 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
5,2025-05-15 01:27:48.824 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
5,2025-05-15 01:27:48.824 ,dram,bytes_read,sum,per_second,0,3.05112e+10
5,2025-05-15 01:27:48.824 ,dram,bytes_write,sum,per_second,0,1.58296e+09
5,2025-05-15 01:27:48.824 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.45068e+07
5,2025-05-15 01:27:48.824 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
5,2025-05-15 01:27:48.824 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
