session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-05-19 23:51:33.446 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98777
1,2025-05-19 23:51:33.446 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8052
1,2025-05-19 23:51:33.446 ,sm,inst_executed,avg,per_cycle_active,0,2.99221
1,2025-05-19 23:51:33.446 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8052
1,2025-05-19 23:51:33.446 ,sm,inst_issued,avg,per_cycle_active,0,2.99221
1,2025-05-19 23:51:33.446 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
1,2025-05-19 23:51:33.446 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
1,2025-05-19 23:51:33.446 ,dram,bytes_read,sum,per_second,0,2.73733e+10
1,2025-05-19 23:51:33.446 ,dram,bytes_write,sum,per_second,0,1.36013e+09
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.34666e+07
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-05-19 23:51:33.446 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-05-19 23:51:33.446 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.4147
1,2025-05-19 23:51:33.446 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9791
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.00031913
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.626184
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6544
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209962
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6334
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.50157
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.766069
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.638589
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,6.44627e-05
1,2025-05-19 23:51:33.446 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000839648
2,2025-05-19 23:51:37.303 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98785
2,2025-05-19 23:51:37.303 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8049
2,2025-05-19 23:51:37.303 ,sm,inst_executed,avg,per_cycle_active,0,2.99219
2,2025-05-19 23:51:37.303 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8049
2,2025-05-19 23:51:37.303 ,sm,inst_issued,avg,per_cycle_active,0,2.99219
2,2025-05-19 23:51:37.303 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
2,2025-05-19 23:51:37.303 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
2,2025-05-19 23:51:37.303 ,dram,bytes_read,sum,per_second,0,3.08088e+10
2,2025-05-19 23:51:37.303 ,dram,bytes_write,sum,per_second,0,1.5246e+09
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.53462e+07
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
2,2025-05-19 23:51:37.303 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
2,2025-05-19 23:51:37.303 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.402
2,2025-05-19 23:51:37.303 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9807
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000299562
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.626639
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6574
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209967
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6247
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.50962
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.766126
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.638458
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,6.31791e-05
2,2025-05-19 23:51:37.303 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000847123
3,2025-05-19 23:51:41.180 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98786
3,2025-05-19 23:51:41.180 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8309
3,2025-05-19 23:51:41.180 ,sm,inst_executed,avg,per_cycle_active,0,2.99323
3,2025-05-19 23:51:41.180 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8309
3,2025-05-19 23:51:41.180 ,sm,inst_issued,avg,per_cycle_active,0,2.99324
3,2025-05-19 23:51:41.180 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
3,2025-05-19 23:51:41.180 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
3,2025-05-19 23:51:41.180 ,dram,bytes_read,sum,per_second,0,3.11538e+10
3,2025-05-19 23:51:41.180 ,dram,bytes_write,sum,per_second,0,1.55331e+09
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.58398e+07
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
3,2025-05-19 23:51:41.180 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
3,2025-05-19 23:51:41.180 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.426
3,2025-05-19 23:51:41.180 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9788
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000381712
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.62629
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6573
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209973
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6214
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.49834
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.768548
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.638391
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,6.38206e-05
3,2025-05-19 23:51:41.180 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000845501
4,2025-05-19 23:51:45.061 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.9886
4,2025-05-19 23:51:45.061 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8237
4,2025-05-19 23:51:45.061 ,sm,inst_executed,avg,per_cycle_active,0,2.99295
4,2025-05-19 23:51:45.061 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8237
4,2025-05-19 23:51:45.061 ,sm,inst_issued,avg,per_cycle_active,0,2.99295
4,2025-05-19 23:51:45.061 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
4,2025-05-19 23:51:45.061 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
4,2025-05-19 23:51:45.061 ,dram,bytes_read,sum,per_second,0,2.77534e+10
4,2025-05-19 23:51:45.061 ,dram,bytes_write,sum,per_second,0,1.50341e+09
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.35052e+07
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
4,2025-05-19 23:51:45.061 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
4,2025-05-19 23:51:45.061 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.5633
4,2025-05-19 23:51:45.061 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9756
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000299418
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.626654
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.6466
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209821
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6258
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.50823
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.76909
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.638493
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,6.45392e-05
4,2025-05-19 23:51:45.061 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000840169
5,2025-05-19 23:51:48.960 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98797
5,2025-05-19 23:51:48.960 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8308
5,2025-05-19 23:51:48.960 ,sm,inst_executed,avg,per_cycle_active,0,2.99323
5,2025-05-19 23:51:48.960 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8308
5,2025-05-19 23:51:48.960 ,sm,inst_issued,avg,per_cycle_active,0,2.99323
5,2025-05-19 23:51:48.960 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
5,2025-05-19 23:51:48.960 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
5,2025-05-19 23:51:48.960 ,dram,bytes_read,sum,per_second,0,3.06257e+10
5,2025-05-19 23:51:48.960 ,dram,bytes_write,sum,per_second,0,1.5073e+09
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.64963e+07
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
5,2025-05-19 23:51:48.960 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
5,2025-05-19 23:51:48.960 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.3968
5,2025-05-19 23:51:48.960 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9803
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000318173
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.62658
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.652
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209867
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6178
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.50326
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.764541
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.63823
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,7.53593e-05
5,2025-05-19 23:51:48.960 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000854916
6,2025-05-19 23:51:52.868 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98779
6,2025-05-19 23:51:52.868 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8067
6,2025-05-19 23:51:52.868 ,sm,inst_executed,avg,per_cycle_active,0,2.99227
6,2025-05-19 23:51:52.868 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8067
6,2025-05-19 23:51:52.868 ,sm,inst_issued,avg,per_cycle_active,0,2.99227
6,2025-05-19 23:51:52.868 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
6,2025-05-19 23:51:52.868 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
6,2025-05-19 23:51:52.868 ,dram,bytes_read,sum,per_second,0,3.05472e+10
6,2025-05-19 23:51:52.868 ,dram,bytes_write,sum,per_second,0,1.49118e+09
6,2025-05-19 23:51:52.868 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.80747e+07
6,2025-05-19 23:51:52.868 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
6,2025-05-19 23:51:52.868 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
6,2025-05-19 23:51:52.868 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
6,2025-05-19 23:51:52.868 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
