timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ
2025-05-19 22:40:19.225,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.148,-1,-1,-1,-1,68203775
2025-05-19 22:40:20.238,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,95,22,8188,7933,255,1440,7000,1440,-1,15.078,-1,-1,-1,-1,68288239
2025-05-19 22:40:21.242,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,99,20,8188,7933,255,1440,5500,1440,-1,35.35,-1,-1,-1,-1,68414009
2025-05-19 22:40:22.245,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,99,12,8188,7933,255,2040,5500,2040,-1,34.245,-1,-1,-1,-1,68556490
2025-05-19 22:40:23.251,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,100,2,8188,7933,255,2010,5500,2010,-1,34.989,-1,-1,-1,-1,68643718
2025-05-19 22:40:24.257,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,99,34,8188,7933,255,1500,5500,1500,-1,31.174,-1,-1,-1,-1,68690472
2025-05-19 22:40:25.261,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,99,20,8188,7933,255,1440,5500,1440,-1,35.501,-1,-1,-1,-1,68769374
2025-05-19 22:40:26.264,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,3,8188,7933,255,2040,5500,2040,-1,34.569,-1,-1,-1,-1,68869091
2025-05-19 22:40:27.267,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,2,8188,7933,255,2010,5500,2010,-1,34.975,-1,-1,-1,-1,68961377
2025-05-19 22:40:28.278,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,98,18,8188,7933,255,1470,5500,1470,-1,31.667,-1,-1,-1,-1,69042308
2025-05-19 22:40:29.283,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,99,20,8188,7933,255,1485,5500,1485,-1,34.986,-1,-1,-1,-1,69156490
2025-05-19 22:40:30.287,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,2040,5500,2040,-1,34.747,-1,-1,-1,-1,69293760
2025-05-19 22:40:31.295,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,100,2,8188,4317,3871,2010,5500,2010,-1,35.012,-1,-1,-1,-1,69433104
2025-05-19 22:40:32.300,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,95,19,8188,7933,255,1470,5500,1470,-1,31.379,-1,-1,-1,-1,69537814
2025-05-19 22:40:33.319,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,99,20,8188,7933,255,1470,5500,1470,-1,34.925,-1,-1,-1,-1,69659123
2025-05-19 22:40:34.323,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,2,8188,7933,255,2010,5500,2010,-1,34.726,-1,-1,-1,-1,69798381
2025-05-19 22:40:35.327,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,100,2,8188,7933,255,2040,5500,2040,-1,34.371,-1,-1,-1,-1,69928183
2025-05-19 22:40:36.335,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,95,20,8188,7933,255,1485,5500,1485,-1,31.629,-1,-1,-1,-1,69992673
2025-05-19 22:40:37.339,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,99,21,8188,7933,255,1470,5500,1470,-1,34.952,-1,-1,-1,-1,70062177
2025-05-19 22:40:38.342,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,2010,5500,2010,-1,34.735,-1,-1,-1,-1,70143038
2025-05-19 22:40:39.345,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,59,35,8188,7933,255,2040,5500,2040,-1,32.494,-1,-1,-1,-1,70236467
2025-05-19 22:40:40.352,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,99,21,8188,7933,255,1530,5500,1530,-1,32.053,-1,-1,-1,-1,70345711
2025-05-19 22:40:41.356,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,99,21,8188,7933,255,1515,5500,1515,-1,34.979,-1,-1,-1,-1,70470612
2025-05-19 22:40:42.359,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,100,2,8188,7933,255,1980,5500,1980,-1,34.897,-1,-1,-1,-1,70609789
