session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-08 13:18:40.589 ,sm,warps_active,avg,0,48.0767
1,2025-05-08 13:18:40.589 ,l1tex,t_set_accesses_pipe_lsu_mem_global_op_atom,sum,0,0
1,2025-05-08 13:18:40.589 ,l1tex,t_set_accesses_pipe_lsu_mem_global_op_red,sum,0,0
1,2025-05-08 13:18:40.589 ,smsp,sass_average_branch_targets_threads_uniform,pct,0,95.5019
1,2025-05-08 13:18:40.589 ,smsp,inst_executed_pipe_cbu,sum,0,1.471e+07
1,2025-05-08 13:18:40.589 ,smsp,inst_executed_pipe_adu,sum,0,7.04e+06
1,2025-05-08 13:18:40.589 ,smsp,inst_executed_pipe_fp64,avg,0,0
1,2025-05-08 13:18:40.589 ,dram,bytes_read,sum,0,4.91754e+08
1,2025-05-08 13:18:40.589 ,dram,bytes_read,sum,0,5.62355e+10
1,2025-05-08 13:18:40.589 ,dram,throughput,avg,0,58.6458
1,2025-05-08 13:18:40.589 ,dram,bytes_write,sum,0,6.55706e+08
1,2025-05-08 13:18:40.589 ,dram,bytes_write,sum,0,7.49846e+10
1,2025-05-08 13:18:40.589 ,smsp,warps_eligible,sum,0,225.337
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,0,8.08799e+07
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,0,6.06758e+07
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,0,0
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,0,0
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,0,1.036e+08
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,0,8.1922e+07
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,0,0
1,2025-05-08 13:18:40.589 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,0,0
1,2025-05-08 13:18:40.589 ,smsp,inst_executed,sum,0,9.4061e+08
