timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-08 13:54:56.211,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.45,-1,-1,-1,-1
2025-05-08 13:54:57.217,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,370,7817,1470,7000,1470,-1,8.272,-1,-1,-1,-1
2025-05-08 13:54:58.221,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,493,7695,1500,7000,1500,-1,8.63,-1,-1,-1,-1
2025-05-08 13:54:59.222,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,52,33,8188,1133,7055,2040,7000,2040,-1,15.559,-1,-1,-1,-1
2025-05-08 13:55:00.226,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,44,32,8188,1391,6797,1470,8000,1470,-1,30.059,-1,-1,-1,-1
2025-05-08 13:55:01.228,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,81,62,8188,2935,5253,1620,8000,1620,-1,30.731,-1,-1,-1,-1
2025-05-08 13:55:02.230,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,88,37,8188,5365,2823,1725,7000,1725,-1,32.379,-1,-1,-1,-1
2025-05-08 13:55:03.232,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,87,36,8188,2939,5249,2040,7000,2040,-1,29.432,-1,-1,-1,-1
2025-05-08 13:55:04.233,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,74,48,8188,5369,2819,1965,7000,1965,-1,31.152,-1,-1,-1,-1
2025-05-08 13:55:05.235,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,74,44,8188,5369,2819,1770,8000,1770,-1,31.898,-1,-1,-1,-1
2025-05-08 13:55:06.237,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,71,40,8188,5373,2815,2040,8000,2040,-1,30.442,-1,-1,-1,-1
2025-05-08 13:55:07.239,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,73,36,8188,2943,5245,1215,8000,1215,-1,31.263,-1,-1,-1,-1
2025-05-08 13:55:08.240,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,73,39,8188,5373,2815,1530,8000,1530,-1,30.872,-1,-1,-1,-1
2025-05-08 13:55:09.242,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,73,39,8188,5373,2815,2040,7000,2040,-1,29.984,-1,-1,-1,-1
2025-05-08 13:55:10.245,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,70,38,8188,5373,2815,1155,8000,1155,-1,30.042,-1,-1,-1,-1
2025-05-08 13:55:11.247,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,66,26,8188,2943,5245,1440,8000,1440,-1,31.56,-1,-1,-1,-1
2025-05-08 13:55:12.248,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,67,37,8188,5373,2815,1560,8000,1560,-1,30.248,-1,-1,-1,-1
2025-05-08 13:55:13.250,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,69,31,8188,5373,2815,2040,8000,2040,-1,29.726,-1,-1,-1,-1
2025-05-08 13:55:14.252,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,79,21,8188,5373,2815,1470,8000,1470,-1,30.656,-1,-1,-1,-1
2025-05-08 13:55:15.254,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,71,32,8188,5373,2815,1110,8000,1110,-1,30.268,-1,-1,-1,-1
2025-05-08 13:55:16.256,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,72,20,8188,2943,5245,1155,8000,1155,-1,30.781,-1,-1,-1,-1
2025-05-08 13:55:17.258,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,71,33,8188,5373,2815,1170,8000,1170,-1,30.763,-1,-1,-1,-1
2025-05-08 13:55:18.260,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,68,24,8188,2943,5245,1890,8000,1890,-1,30.617,-1,-1,-1,-1
2025-05-08 13:55:19.261,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,69,32,8188,2943,5245,1230,8000,1230,-1,30.559,-1,-1,-1,-1
2025-05-08 13:55:20.263,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,81,28,8188,5373,2815,2010,8000,2010,-1,30.463,-1,-1,-1,-1
2025-05-08 13:55:21.266,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,69,32,8188,5377,2811,1230,8000,1230,-1,30.584,-1,-1,-1,-1
2025-05-08 13:55:22.268,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,70,35,8188,5377,2811,2040,8000,2040,-1,31.142,-1,-1,-1,-1
2025-05-08 13:55:23.270,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,72,32,8188,2947,5241,1215,8000,1215,-1,31.084,-1,-1,-1,-1
2025-05-08 13:55:24.276,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,64,32,8188,5377,2811,1140,8000,1140,-1,30.253,-1,-1,-1,-1
2025-05-08 13:55:25.278,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,69,36,8188,5377,2811,1785,8000,1785,-1,31.084,-1,-1,-1,-1
2025-05-08 13:55:26.280,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,71,32,8188,5377,2811,2025,8000,2025,-1,30.673,-1,-1,-1,-1
2025-05-08 13:55:27.282,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,72,30,8188,2947,5241,1230,8000,1230,-1,30.697,-1,-1,-1,-1
2025-05-08 13:55:28.283,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,71,32,8188,5377,2811,2040,8000,2040,-1,30.188,-1,-1,-1,-1
2025-05-08 13:55:29.285,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,68,34,8188,5377,2811,2040,8000,2040,-1,30.655,-1,-1,-1,-1
2025-05-08 13:55:30.287,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,86,20,8188,5377,2811,2040,8000,2040,-1,30.753,-1,-1,-1,-1
2025-05-08 13:55:31.289,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,68,31,8188,5377,2811,2040,8000,2040,-1,30.617,-1,-1,-1,-1
2025-05-08 13:55:32.291,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,71,34,8188,5377,2811,1200,8000,1200,-1,30.625,-1,-1,-1,-1
2025-05-08 13:55:33.292,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,72,32,8188,5377,2811,1455,8000,1455,-1,30.683,-1,-1,-1,-1
2025-05-08 13:55:34.303,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,64,31,8188,5377,2811,1215,8000,1215,-1,30.531,-1,-1,-1,-1
2025-05-08 13:55:35.307,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,79,47,8188,5377,2811,1800,8000,1800,-1,31.049,-1,-1,-1,-1
2025-05-08 13:55:36.309,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,69,30,8188,5379,2809,1755,8000,1755,-1,30.547,-1,-1,-1,-1
2025-05-08 13:55:37.316,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,72,32,8188,2975,5213,1800,8000,1800,-1,29.448,-1,-1,-1,-1
2025-05-08 13:55:38.319,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,70,32,8188,2979,5209,1740,8000,1740,-1,29.394,-1,-1,-1,-1
2025-05-08 13:55:39.322,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,80,44,8188,5417,2771,1830,8000,1830,-1,32.583,-1,-1,-1,-1
2025-05-08 13:55:40.324,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,73,39,8188,5417,2771,1620,8000,1620,-1,31.346,-1,-1,-1,-1
2025-05-08 13:55:41.327,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,84,59,8188,5417,2771,1365,8000,1365,-1,32.855,-1,-1,-1,-1
2025-05-08 13:55:42.328,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,88,22,8188,5417,2771,2040,8000,2040,-1,33.158,-1,-1,-1,-1
2025-05-08 13:55:43.330,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,61,33,8188,5417,2771,1860,7000,1860,-1,29.617,-1,-1,-1,-1
2025-05-08 13:55:44.332,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,83,30,8188,5417,2771,1755,8000,1755,-1,31.76,-1,-1,-1,-1
2025-05-08 13:55:45.334,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,72,39,8188,5417,2771,2025,7000,2025,-1,31.893,-1,-1,-1,-1
2025-05-08 13:55:46.336,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,75,40,8188,5417,2771,1935,7000,1935,-1,29.84,-1,-1,-1,-1
2025-05-08 13:55:47.337,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,87,24,8188,5417,2771,1125,8000,1125,-1,31.137,-1,-1,-1,-1
2025-05-08 13:55:48.338,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,79,37,8188,5417,2771,2040,8000,2040,-1,31.017,-1,-1,-1,-1
2025-05-08 13:55:49.340,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,76,37,8188,5417,2771,2040,8000,2040,-1,31.913,-1,-1,-1,-1
2025-05-08 13:55:50.343,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,74,34,8188,2979,5209,1125,8000,1125,-1,30.438,-1,-1,-1,-1
2025-05-08 13:55:51.346,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,78,34,8188,2979,5209,1095,8000,1095,-1,32.379,-1,-1,-1,-1
2025-05-08 13:55:52.348,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,68,32,8188,5417,2771,2040,8000,2040,-1,30.778,-1,-1,-1,-1
2025-05-08 13:55:53.350,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,71,32,8188,2979,5209,1140,8000,1140,-1,30.984,-1,-1,-1,-1
2025-05-08 13:55:54.352,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,73,27,8188,5417,2771,2040,8000,2040,-1,30.761,-1,-1,-1,-1
2025-05-08 13:55:55.355,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,68,31,8188,5417,2771,1125,8000,1125,-1,30.768,-1,-1,-1,-1
2025-05-08 13:55:56.356,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,79,24,8188,5417,2771,2040,8000,2040,-1,30.884,-1,-1,-1,-1
2025-05-08 13:55:57.358,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,71,31,8188,5417,2771,1140,8000,1140,-1,30.779,-1,-1,-1,-1
2025-05-08 13:55:58.360,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,78,23,8188,5417,2771,2040,8000,2040,-1,31.126,-1,-1,-1,-1
2025-05-08 13:55:59.362,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,72,34,8188,5417,2771,1140,8000,1140,-1,30.406,-1,-1,-1,-1
2025-05-08 13:56:00.368,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,70,33,8188,5417,2771,2040,8000,2040,-1,30.421,-1,-1,-1,-1
2025-05-08 13:56:01.376,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,75,35,8188,5417,2771,1560,8000,1560,-1,30.543,-1,-1,-1,-1
2025-05-08 13:56:02.378,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,68,38,8188,5417,2771,2040,8000,2040,-1,29.894,-1,-1,-1,-1
