session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-08 12:07:08.360 ,sm,warps_active,avg,0,33.1854
1,2025-05-08 12:07:08.360 ,l1tex,t_set_accesses_pipe_lsu_mem_global_op_atom,sum,0,0
1,2025-05-08 12:07:08.360 ,l1tex,t_set_accesses_pipe_lsu_mem_global_op_red,sum,0,0
1,2025-05-08 12:07:08.360 ,smsp,sass_average_branch_targets_threads_uniform,pct,0,100
1,2025-05-08 12:07:08.360 ,smsp,inst_executed_pipe_cbu,sum,0,557056
1,2025-05-08 12:07:08.360 ,smsp,inst_executed_pipe_adu,sum,0,3.46685e+07
1,2025-05-08 12:07:08.360 ,smsp,inst_executed_pipe_fp64,avg,0,0
1,2025-05-08 12:07:08.360 ,dram,bytes_read,sum,0,5.44035e+09
1,2025-05-08 12:07:08.360 ,dram,bytes_read,sum,0,2.38966e+10
1,2025-05-08 12:07:08.360 ,dram,throughput,avg,0,13.5139
1,2025-05-08 12:07:08.360 ,dram,bytes_write,sum,0,2.86347e+08
1,2025-05-08 12:07:08.360 ,dram,bytes_write,sum,0,1.25777e+09
1,2025-05-08 12:07:08.360 ,smsp,warps_eligible,sum,0,215.734
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,0,1.69715e+07
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,0,0
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,0,0
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,0,0
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,0,2.14748e+09
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,0,8.38861e+06
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,0,0
1,2025-05-08 12:07:08.360 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,0,0
1,2025-05-08 12:07:08.360 ,smsp,inst_executed,sum,0,2.05979e+10
1,2025-05-08 12:07:08.360 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,0,0
1,2025-05-08 12:07:08.360 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,0,3.36803e+10
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,0,0.000338281
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,0,0.209006
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,0,18.6533
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,0,0.617517
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,0,0.000844246
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,0,0.000141559
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,0,37.6243
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_dispatch_stall_per_warp_active,pct,0,18.5766
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_misc_per_warp_active,pct,0,0.0306487
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,0,0.638746
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,0,0.744555
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,0,0
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,0,3.51108
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,0,0
1,2025-05-08 12:07:08.360 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,0,0
