timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-08 12:07:03.249,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,0,0,8188,353,7835,1470,7000,1470,-1,9.214,-1,-1,-1,-1
2025-05-08 12:07:04.257,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,461,7727,1470,7000,1470,-1,9.17,-1,-1,-1,-1
2025-05-08 12:07:05.258,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,18,8188,7933,255,1230,5500,1230,-1,24.496,-1,-1,-1,-1
2025-05-08 12:07:06.260,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,98,19,8188,7933,255,1215,5500,1215,-1,34.923,-1,-1,-1,-1
2025-05-08 12:07:07.262,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,2,8188,7933,255,1755,5500,1755,-1,34.907,-1,-1,-1,-1
2025-05-08 12:07:08.264,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1740,5500,1740,-1,35.106,-1,-1,-1,-1
2025-05-08 12:07:09.266,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,98,17,8188,7933,255,1365,5500,1365,-1,32.877,-1,-1,-1,-1
2025-05-08 12:07:10.268,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,18,8188,7933,255,1215,5500,1215,-1,34.917,-1,-1,-1,-1
2025-05-08 12:07:11.270,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1755,5500,1755,-1,34.945,-1,-1,-1,-1
2025-05-08 12:07:12.271,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1710,5500,1710,-1,35.03,-1,-1,-1,-1
2025-05-08 12:07:13.273,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,35,8188,7933,255,1215,5500,1215,-1,33.224,-1,-1,-1,-1
2025-05-08 12:07:14.274,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,18,8188,7933,255,1170,5500,1170,-1,34.636,-1,-1,-1,-1
2025-05-08 12:07:15.276,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,100,2,8188,7933,255,1680,5500,1680,-1,35.027,-1,-1,-1,-1
2025-05-08 12:07:16.278,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,2,8188,4317,3871,2025,5500,2025,-1,34.957,-1,-1,-1,-1
2025-05-08 12:07:17.280,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,27,8188,7933,255,1155,5500,1155,-1,32.576,-1,-1,-1,-1
2025-05-08 12:07:18.282,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,19,8188,7933,255,1185,5500,1185,-1,34.991,-1,-1,-1,-1
2025-05-08 12:07:19.284,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1680,5500,1680,-1,34.704,-1,-1,-1,-1
2025-05-08 12:07:20.286,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,4317,3871,2025,5500,2025,-1,35.013,-1,-1,-1,-1
2025-05-08 12:07:21.287,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,96,17,8188,7933,255,1215,5500,1215,-1,32.743,-1,-1,-1,-1
2025-05-08 12:07:22.289,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,19,8188,7933,255,1170,5500,1170,-1,34.937,-1,-1,-1,-1
2025-05-08 12:07:23.291,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1695,5500,1695,-1,34.745,-1,-1,-1,-1
2025-05-08 12:07:24.292,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,2025,5500,2025,-1,34.113,-1,-1,-1,-1
