timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-05 16:04:03.922,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.836,-1,-1,-1,-1
2025-05-05 16:04:04.926,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.851,-1,-1,-1,-1
2025-05-05 16:04:05.928,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.84,-1,-1,-1,-1
2025-05-05 16:04:06.930,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,467,7721,1470,7000,1470,-1,4.43,-1,-1,-1,-1
2025-05-05 16:04:07.932,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,943,7245,1470,7000,1470,-1,9.854,-1,-1,-1,-1
2025-05-05 16:04:08.934,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,30,18,8188,909,7279,1650,7000,1650,-1,17.175,-1,-1,-1,-1
2025-05-05 16:04:09.935,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,23,12,8188,925,7263,2040,7000,2040,-1,19.772,-1,-1,-1,-1
2025-05-05 16:04:10.942,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,0,0,8188,1351,6837,2040,7000,2040,-1,18.651,-1,-1,-1,-1
2025-05-05 16:04:11.943,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,43,27,8188,1711,6477,2040,8000,2040,-1,21.211,-1,-1,-1,-1
2025-05-05 16:04:12.945,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,35,16,8188,1121,7067,2040,8000,2040,-1,25.567,-1,-1,-1,-1
2025-05-05 16:04:13.959,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,4,1,8188,1715,6473,2040,7000,2040,-1,21.563,-1,-1,-1,-1
2025-05-05 16:04:14.961,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,10,2,8188,1715,6473,1470,7000,1470,-1,14.786,-1,-1,-1,-1
2025-05-05 16:04:15.968,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,33,17,8188,1121,7067,2040,8000,2040,-1,21.276,-1,-1,-1,-1
2025-05-05 16:04:16.971,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,34,16,8188,1715,6473,2040,7000,2040,-1,24.139,-1,-1,-1,-1
2025-05-05 16:04:17.975,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,1715,6473,2040,7000,2040,-1,19.843,-1,-1,-1,-1
2025-05-05 16:04:18.976,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,34,18,8188,1715,6473,1755,8000,1755,-1,20.825,-1,-1,-1,-1
2025-05-05 16:04:19.979,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,32,18,8188,1121,7067,2040,8000,2040,-1,26.364,-1,-1,-1,-1
2025-05-05 16:04:20.981,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,34,17,8188,1715,6473,2040,7000,2040,-1,21.92,-1,-1,-1,-1
2025-05-05 16:04:21.982,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,10,2,8188,1121,7067,1470,7000,1470,-1,15.225,-1,-1,-1,-1
2025-05-05 16:04:22.984,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,34,17,8188,1121,7067,1800,8000,1800,-1,21.256,-1,-1,-1,-1
2025-05-05 16:04:23.989,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,34,15,8188,1121,7067,2040,7000,2040,-1,24.066,-1,-1,-1,-1
