timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-05 16:39:56.560,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.906,-1,-1,-1,-1
2025-05-05 16:39:57.564,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.957,-1,-1,-1,-1
2025-05-05 16:39:58.566,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,2,8188,465,7723,1470,7000,1470,-1,3.391,-1,-1,-1,-1
2025-05-05 16:39:59.568,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,469,7719,1620,7000,1620,-1,9.911,-1,-1,-1,-1
2025-05-05 16:40:00.570,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,469,7719,1470,7000,1470,-1,10.004,-1,-1,-1,-1
2025-05-05 16:40:01.571,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,21,1,8188,2675,5513,1470,7000,1470,-1,10.218,-1,-1,-1,-1
2025-05-05 16:40:02.573,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,72,41,8188,2217,5971,2040,8000,2040,-1,26.038,-1,-1,-1,-1
2025-05-05 16:40:03.575,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,90,49,8188,7707,481,1155,8000,1155,-1,30.372,-1,-1,-1,-1
2025-05-05 16:40:04.576,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,90,57,8188,4103,4085,1710,7000,1710,-1,31.32,-1,-1,-1,-1
2025-05-05 16:40:05.580,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,88,41,8188,4113,4075,1155,8000,1155,-1,31.816,-1,-1,-1,-1
