timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-05 17:18:14.578,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,353,7835,210,405,210,-1,3.023,-1,-1,-1,-1
2025-05-05 17:18:15.581,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,353,7835,210,405,210,-1,2.988,-1,-1,-1,-1
2025-05-05 17:18:16.583,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,353,7835,210,405,210,-1,3.0,-1,-1,-1,-1
2025-05-05 17:18:17.585,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,493,7695,1470,7000,1470,-1,5.217,-1,-1,-1,-1
2025-05-05 17:18:18.587,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,13,6,8188,1241,6947,1470,7000,1470,-1,10.762,-1,-1,-1,-1
2025-05-05 17:18:19.592,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,33,21,8188,1391,6797,1740,8000,1740,-1,19.72,-1,-1,-1,-1
2025-05-05 17:18:20.597,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,77,41,8188,2935,5253,1050,8000,1050,-1,29.304,-1,-1,-1,-1
2025-05-05 17:18:21.604,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,82,38,8188,2939,5249,1140,8000,1140,-1,31.807,-1,-1,-1,-1
2025-05-05 17:18:22.608,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,77,37,8188,2939,5249,930,8000,930,-1,32.118,-1,-1,-1,-1
2025-05-05 17:18:23.611,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,79,37,8188,2943,5245,1155,8000,1155,-1,31.183,-1,-1,-1,-1
2025-05-05 17:18:24.612,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,81,39,8188,2943,5245,1275,8000,1275,-1,31.58,-1,-1,-1,-1
2025-05-05 17:18:25.613,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,80,37,8188,5373,2815,2025,8000,2025,-1,31.255,-1,-1,-1,-1
