timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-05 17:55:53.802,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,353,7835,210,405,210,-1,3.036,-1,-1,-1,-1
2025-05-05 17:55:54.806,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,353,7835,210,405,210,-1,3.007,-1,-1,-1,-1
2025-05-05 17:55:55.807,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,353,7835,210,405,210,-1,2.979,-1,-1,-1,-1
2025-05-05 17:55:56.809,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,2,8188,529,7659,1530,7000,1530,-1,3.808,-1,-1,-1,-1
2025-05-05 17:55:57.811,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,529,7659,1530,7000,1530,-1,9.909,-1,-1,-1,-1
2025-05-05 17:55:58.813,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,39,19,8188,2785,5403,1275,8000,1275,-1,12.665,-1,-1,-1,-1
2025-05-05 17:55:59.823,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,83,38,8188,5109,3079,1065,8000,1065,-1,31.726,-1,-1,-1,-1
2025-05-05 17:56:00.825,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,81,40,8188,2805,5383,1470,8000,1470,-1,31.536,-1,-1,-1,-1
2025-05-05 17:56:01.828,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,72,38,8188,2809,5379,1305,8000,1305,-1,31.725,-1,-1,-1,-1
2025-05-05 17:56:02.836,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,77,34,8188,2809,5379,1170,8000,1170,-1,32.018,-1,-1,-1,-1
2025-05-05 17:56:03.837,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,77,34,8188,2809,5379,1185,8000,1185,-1,32.251,-1,-1,-1,-1
2025-05-05 17:56:04.839,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,81,36,8188,5115,3073,2025,8000,2025,-1,32.118,-1,-1,-1,-1
2025-05-05 17:56:05.841,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,75,35,8188,5119,3069,2025,8000,2025,-1,30.579,-1,-1,-1,-1
2025-05-05 17:56:06.844,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,77,39,8188,5119,3069,1155,8000,1155,-1,31.379,-1,-1,-1,-1
2025-05-05 17:56:07.899,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,76,36,8188,5119,3069,2025,8000,2025,-1,31.763,-1,-1,-1,-1
2025-05-05 17:56:08.900,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,70,35,8188,5119,3069,2025,8000,2025,-1,30.402,-1,-1,-1,-1
2025-05-05 17:56:09.901,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,72,33,8188,5119,3069,2025,8000,2025,-1,29.853,-1,-1,-1,-1
2025-05-05 17:56:10.903,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,76,31,8188,2817,5371,1035,8000,1035,-1,30.962,-1,-1,-1,-1
