timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
16080830272580,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,353,7835,253,5500,253,-1,12.873,-1,-1,-1,-1
16081832038199,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,485,7703,2025,7000,2025,-1,14.952,-1,-1,-1,-1
16082835218749,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,485,7703,2025,5500,2025,-1,16.22,-1,-1,-1,-1
16083837390545,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,475,7713,2025,7000,2025,-1,16.864,-1,-1,-1,-1
16084838851613,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,475,7713,2025,7000,2025,-1,16.01,-1,-1,-1,-1
16085844020471,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,485,7703,2025,5500,2025,-1,16.07,-1,-1,-1,-1
16086845574341,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,5,0,8188,485,7703,2025,5500,2025,-1,16.026,-1,-1,-1,-1
16087848940873,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,485,7703,2025,7000,2025,-1,15.865,-1,-1,-1,-1
16088851903920,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,5,0,8188,485,7703,2025,5500,2025,-1,16.151,-1,-1,-1,-1
16089854244357,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,475,7713,2025,7000,2025,-1,16.791,-1,-1,-1,-1
16090855905916,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,485,7703,2025,7000,2025,-1,15.801,-1,-1,-1,-1
16091857360192,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,485,7703,2025,5500,2025,-1,16.029,-1,-1,-1,-1
16092860361089,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,6,1,8188,485,7703,2025,5500,2025,-1,16.246,-1,-1,-1,-1
16093862254756,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,485,7703,2025,7000,2025,-1,16.02,-1,-1,-1,-1
16094863643524,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,485,7703,2025,5500,2025,-1,15.897,-1,-1,-1,-1
16095867996189,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,6,1,8188,475,7713,2025,5500,2025,-1,16.355,-1,-1,-1,-1
16096869713350,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,475,7713,2025,7000,2025,-1,16.158,-1,-1,-1,-1
16097871171364,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,485,7703,2025,7000,2025,-1,15.718,-1,-1,-1,-1
16098873267979,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,7,1,8188,485,7703,2025,5500,2025,-1,15.871,-1,-1,-1,-1
16099874736600,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,485,7703,2025,5500,2025,-1,15.97,-1,-1,-1,-1
16100877717006,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,485,7703,2025,7000,2025,-1,15.798,-1,-1,-1,-1
16101879781778,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,6,1,8188,475,7713,2025,5500,2025,-1,16.682,-1,-1,-1,-1
16102881395256,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,485,7703,2025,7000,2025,-1,16.145,-1,-1,-1,-1
16103882995734,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,485,7703,2025,7000,2025,-1,15.351,-1,-1,-1,-1
16104885452734,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,7,1,8188,485,7703,2025,5500,2025,-1,16.053,-1,-1,-1,-1
16105888015740,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,485,7703,2025,7000,2025,-1,16.508,-1,-1,-1,-1
16106889643387,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,485,7703,2025,5500,2025,-1,15.893,-1,-1,-1,-1
16107891295524,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,5,1,8188,475,7713,2025,5500,2025,-1,16.25,-1,-1,-1,-1
16108892817779,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,475,7713,2025,5500,2025,-1,16.033,-1,-1,-1,-1
16109895878231,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,485,7703,2025,7000,2025,-1,15.424,-1,-1,-1,-1
16110900039145,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,8,1,8188,485,7703,2025,5500,2025,-1,15.859,-1,-1,-1,-1
16111901790546,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,5,0,8188,485,7703,2025,5500,2025,-1,15.882,-1,-1,-1,-1
