timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
17783954895529,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,353,7835,2040,7000,2040,-1,15.691,-1,-1,-1,-1
17784961511120,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,465,7723,2040,7000,2040,-1,12.151,-1,-1,-1,-1
17785964611719,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,99,17,8188,7933,255,1215,5500,1215,-1,27.471,-1,-1,-1,-1
17786966648571,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,99,18,8188,7933,255,1575,5500,1575,-1,33.236,-1,-1,-1,-1
17787968498357,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,75,19,8188,7933,255,2025,5500,2025,-1,32.588,-1,-1,-1,-1
17788970227305,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,18,8188,7933,255,1155,5500,1155,-1,34.033,-1,-1,-1,-1
17789972220504,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,99,18,8188,7933,255,1290,5500,1290,-1,32.583,-1,-1,-1,-1
17790974272289,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,18,8188,7933,255,1860,5500,1860,-1,32.936,-1,-1,-1,-1
17791976114756,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,74,20,8188,7933,255,2025,5500,2025,-1,32.517,-1,-1,-1,-1
17792978039558,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,97,18,8188,7933,255,1185,5500,1185,-1,34.23,-1,-1,-1,-1
17793980013549,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,99,31,8188,7933,255,1125,5500,1125,-1,34.89,-1,-1,-1,-1
17794984422406,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,58,32,8188,7933,255,1980,5500,1980,-1,31.674,-1,-1,-1,-1
17796019647666,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,18,8188,7933,255,1485,5500,1485,-1,32.041,-1,-1,-1,-1
17797022110325,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,17,8188,7933,255,1170,5500,1170,-1,35.251,-1,-1,-1,-1
17798024517475,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,99,32,8188,7933,255,1185,5500,1185,-1,33.011,-1,-1,-1,-1
17799026987184,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,73,38,8188,7933,255,2025,5500,2025,-1,33.024,-1,-1,-1,-1
17800030743305,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,18,8188,7933,255,1575,5500,1575,-1,32.138,-1,-1,-1,-1
17801033025972,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,18,8188,7933,255,1155,5500,1155,-1,35.398,-1,-1,-1,-1
17802034787202,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,15,8188,7933,255,1905,5500,1905,-1,32.307,-1,-1,-1,-1
17803036021329,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,97,45,8188,7933,255,2025,5500,2025,-1,31.764,-1,-1,-1,-1
17804037649291,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,98,16,8188,7933,255,1140,5500,1140,-1,34.622,-1,-1,-1,-1
17805039703669,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,32,8188,7933,255,1170,5500,1170,-1,33.809,-1,-1,-1,-1
17806041672721,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,72,36,8188,7933,255,1215,5500,1215,-1,36.766,-1,-1,-1,-1
17807043616128,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,17,8188,7933,255,2025,5500,2025,-1,34.033,-1,-1,-1,-1
17808045783202,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,99,16,8188,7933,255,1140,5500,1140,-1,33.319,-1,-1,-1,-1
17809047868127,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,33,8188,7933,255,1200,5500,1200,-1,34.257,-1,-1,-1,-1
17810049836581,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,85,39,8188,7933,255,1185,5500,1185,-1,35.01,-1,-1,-1,-1
17811051867566,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,99,17,8188,7933,255,2025,5500,2025,-1,33.392,-1,-1,-1,-1
17812054799557,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,17,8188,7933,255,1245,5500,1245,-1,32.874,-1,-1,-1,-1
17813056780563,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,24,8188,7933,255,1215,5500,1215,-1,36.149,-1,-1,-1,-1
17814058779812,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,36,8188,7933,255,1200,5500,1200,-1,32.567,-1,-1,-1,-1
17815060651633,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,99,17,8188,7933,255,2025,5500,2025,-1,32.879,-1,-1,-1,-1
17816062432215,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,100,17,8188,7933,255,1155,5500,1155,-1,35.592,-1,-1,-1,-1
17817064429118,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,25,8188,7933,255,1215,5500,1215,-1,32.54,-1,-1,-1,-1
17818066572748,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,33,8188,7933,255,1695,5500,1695,-1,33.153,-1,-1,-1,-1
17819068099605,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,99,18,8188,7933,255,2025,5500,2025,-1,32.582,-1,-1,-1,-1
17820069833783,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,17,8188,7933,255,1170,5500,1170,-1,33.239,-1,-1,-1,-1
17821071861217,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,65,40,8188,7933,255,1155,7000,1155,-1,29.507,-1,-1,-1,-1
17822073783464,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,16,8188,7933,255,1950,5500,1950,-1,36.451,-1,-1,-1,-1
17823082191565,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,15,8188,7933,255,1155,5500,1155,-1,33.346,-1,-1,-1,-1
17824084221629,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,31,8188,7933,255,1200,5500,1200,-1,31.511,-1,-1,-1,-1
17825086208758,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,72,42,8188,7933,255,1215,5500,1215,-1,33.523,-1,-1,-1,-1
17826088413606,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,97,16,8188,7933,255,1920,5500,1920,-1,33.798,-1,-1,-1,-1
