timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
16350005364205,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,353,7835,210,405,210,-1,3.392,-1,-1,-1,-1
16351009568522,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,353,7835,210,405,210,-1,3.415,-1,-1,-1,-1
16352011574268,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,1,0,8188,465,7723,1470,7000,1470,-1,3.904,-1,-1,-1,-1
16353013575627,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,17,7,8188,563,7625,2040,5500,2040,-1,14.076,-1,-1,-1,-1
16354016061126,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,17,6,8188,563,7625,2040,7000,2040,-1,17.854,-1,-1,-1,-1
16355017721062,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,18,6,8188,531,7657,2040,7000,2040,-1,19.369,-1,-1,-1,-1
16356019248756,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,17,5,8188,531,7657,2040,8000,2040,-1,18.932,-1,-1,-1,-1
16357020013310,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,18,6,8188,531,7657,2040,8000,2040,-1,18.994,-1,-1,-1,-1
16358021564913,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,18,6,8188,531,7657,2040,7000,2040,-1,18.619,-1,-1,-1,-1
16359023040585,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,18,8,8188,563,7625,2040,7000,2040,-1,16.363,-1,-1,-1,-1
16360025958146,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,18,6,8188,563,7625,2040,8000,2040,-1,17.606,-1,-1,-1,-1
16361029188517,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,14,5,8188,563,7625,2040,7000,2040,-1,18.809,-1,-1,-1,-1
16362039683110,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,11,4,8188,563,7625,2040,8000,2040,-1,18.827,-1,-1,-1,-1
