session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-05 14:43:19.213 ,gpc,cycles_elapsed,avg,0,1.43407e+09
1,2025-05-05 14:43:19.213 ,gr,cycles_active,sum,0,100
1,2025-05-05 14:43:19.213 ,tpc,warps_active_realtime,avg,0,2.94532
1,2025-05-05 14:43:19.213 ,sm,cycles_active,avg,0,9.48074
1,2025-05-05 14:43:19.213 ,sm,inst_executed,avg,0,0.866012
1,2025-05-05 14:43:19.213 ,sm,pipe_tensor_cycles_active,avg,0,0
1,2025-05-05 14:43:19.213 ,dramc,sectors_op_read,avg,0,0.218579
1,2025-05-05 14:43:19.213 ,dramc,sectors_op_write,avg,0,0
1,2025-05-05 14:43:19.213 ,pcie,read_bytes,avg,0,0
1,2025-05-05 14:43:19.213 ,pcie,write_bytes,avg,0,13.2006
1,2025-05-05 14:43:19.213 ,pcie,read_bytes,sum,0,0
1,2025-05-05 14:43:19.213 ,pcie,write_bytes,sum,0,5120
2,2025-05-05 14:43:19.295 ,gpc,cycles_elapsed,avg,0,1.46909e+09
2,2025-05-05 14:43:19.295 ,gr,cycles_active,sum,0,100
2,2025-05-05 14:43:19.295 ,tpc,warps_active_realtime,avg,0,49.3054
2,2025-05-05 14:43:19.295 ,sm,cycles_active,avg,0,99.8703
2,2025-05-05 14:43:19.295 ,sm,inst_executed,avg,0,63.8646
2,2025-05-05 14:43:19.295 ,sm,pipe_tensor_cycles_active,avg,0,0
2,2025-05-05 14:43:19.295 ,dramc,sectors_op_read,avg,0,70.7074
2,2025-05-05 14:43:19.295 ,dramc,sectors_op_write,avg,0,178.56
2,2025-05-05 14:43:19.295 ,pcie,read_bytes,avg,0,0.00108424
2,2025-05-05 14:43:19.295 ,pcie,write_bytes,avg,0,0.0119266
2,2025-05-05 14:43:19.295 ,pcie,read_bytes,sum,0,512
2,2025-05-05 14:43:19.295 ,pcie,write_bytes,sum,0,5632
3,2025-05-05 14:43:19.387 ,gpc,cycles_elapsed,avg,0,1.6648e+09
3,2025-05-05 14:43:19.387 ,gr,cycles_active,sum,0,100
3,2025-05-05 14:43:19.387 ,tpc,warps_active_realtime,avg,0,48.7832
3,2025-05-05 14:43:19.387 ,sm,cycles_active,avg,0,99.8923
3,2025-05-05 14:43:19.387 ,sm,inst_executed,avg,0,17.369
3,2025-05-05 14:43:19.387 ,sm,pipe_tensor_cycles_active,avg,0,0
3,2025-05-05 14:43:19.387 ,dramc,sectors_op_read,avg,0,194.099
3,2025-05-05 14:43:19.387 ,dramc,sectors_op_write,avg,0,192.039
3,2025-05-05 14:43:19.387 ,pcie,read_bytes,avg,0,0.00123192
3,2025-05-05 14:43:19.387 ,pcie,write_bytes,avg,0,0.0135511
3,2025-05-05 14:43:19.387 ,pcie,read_bytes,sum,0,512
3,2025-05-05 14:43:19.387 ,pcie,write_bytes,sum,0,5632
4,2025-05-05 14:43:19.462 ,gpc,cycles_elapsed,avg,0,1.66418e+09
4,2025-05-05 14:43:19.462 ,gr,cycles_active,sum,0,100
4,2025-05-05 14:43:19.462 ,tpc,warps_active_realtime,avg,0,41.5022
4,2025-05-05 14:43:19.462 ,sm,cycles_active,avg,0,99.8894
4,2025-05-05 14:43:19.462 ,sm,inst_executed,avg,0,4.95743
4,2025-05-05 14:43:19.462 ,sm,pipe_tensor_cycles_active,avg,0,0
4,2025-05-05 14:43:19.462 ,dramc,sectors_op_read,avg,0,195.032
4,2025-05-05 14:43:19.462 ,dramc,sectors_op_write,avg,0,192.152
4,2025-05-05 14:43:19.462 ,pcie,read_bytes,avg,0,0
4,2025-05-05 14:43:19.462 ,pcie,write_bytes,avg,0,0.0123018
4,2025-05-05 14:43:19.462 ,pcie,read_bytes,sum,0,0
4,2025-05-05 14:43:19.462 ,pcie,write_bytes,sum,0,5120
5,2025-05-05 14:43:19.539 ,gpc,cycles_elapsed,avg,0,1.66412e+09
5,2025-05-05 14:43:19.539 ,gr,cycles_active,sum,0,100
5,2025-05-05 14:43:19.539 ,tpc,warps_active_realtime,avg,0,32.6805
5,2025-05-05 14:43:19.539 ,sm,cycles_active,avg,0,93.3997
5,2025-05-05 14:43:19.539 ,sm,inst_executed,avg,0,51.7995
5,2025-05-05 14:43:19.539 ,sm,pipe_tensor_cycles_active,avg,0,0
5,2025-05-05 14:43:19.539 ,dramc,sectors_op_read,avg,0,102.38
5,2025-05-05 14:43:19.539 ,dramc,sectors_op_write,avg,0,101.858
5,2025-05-05 14:43:19.539 ,pcie,read_bytes,avg,0,0
5,2025-05-05 14:43:19.539 ,pcie,write_bytes,avg,0,0.006459
5,2025-05-05 14:43:19.539 ,pcie,read_bytes,sum,0,0
5,2025-05-05 14:43:19.539 ,pcie,write_bytes,sum,0,5120
6,2025-05-05 14:43:19.607 ,gpc,cycles_elapsed,avg,0,2.03634e+09
6,2025-05-05 14:43:19.607 ,gr,cycles_active,sum,0,100
6,2025-05-05 14:43:19.607 ,tpc,warps_active_realtime,avg,0,48.0533
6,2025-05-05 14:43:19.607 ,sm,cycles_active,avg,0,99.9119
6,2025-05-05 14:43:19.607 ,sm,inst_executed,avg,0,11.1649
6,2025-05-05 14:43:19.607 ,sm,pipe_tensor_cycles_active,avg,0,0
6,2025-05-05 14:43:19.607 ,dramc,sectors_op_read,avg,0,133.795
6,2025-05-05 14:43:19.607 ,dramc,sectors_op_write,avg,0,132.327
6,2025-05-05 14:43:19.607 ,pcie,read_bytes,avg,0,0
6,2025-05-05 14:43:19.607 ,pcie,write_bytes,avg,0,0.0193719
6,2025-05-05 14:43:19.607 ,pcie,read_bytes,sum,0,0
6,2025-05-05 14:43:19.607 ,pcie,write_bytes,sum,0,5120
7,2025-05-05 14:43:19.715 ,gpc,cycles_elapsed,avg,0,2.03751e+09
7,2025-05-05 14:43:19.715 ,gr,cycles_active,sum,0,100
7,2025-05-05 14:43:19.715 ,tpc,warps_active_realtime,avg,0,42.0517
7,2025-05-05 14:43:19.715 ,sm,cycles_active,avg,0,99.888
7,2025-05-05 14:43:19.715 ,sm,inst_executed,avg,0,3.18111
7,2025-05-05 14:43:19.715 ,sm,pipe_tensor_cycles_active,avg,0,0
7,2025-05-05 14:43:19.715 ,dramc,sectors_op_read,avg,0,133.426
7,2025-05-05 14:43:19.715 ,dramc,sectors_op_write,avg,0,131.804
7,2025-05-05 14:43:19.715 ,pcie,read_bytes,avg,0,0
7,2025-05-05 14:43:19.715 ,pcie,write_bytes,avg,0,0.0193294
7,2025-05-05 14:43:19.715 ,pcie,read_bytes,sum,0,0
7,2025-05-05 14:43:19.715 ,pcie,write_bytes,sum,0,5120
8,2025-05-05 14:43:19.780 ,gpc,cycles_elapsed,avg,0,1.94589e+09
8,2025-05-05 14:43:19.780 ,gr,cycles_active,sum,0,100
8,2025-05-05 14:43:19.780 ,tpc,warps_active_realtime,avg,0,3.07807
8,2025-05-05 14:43:19.780 ,sm,cycles_active,avg,0,9.80019
8,2025-05-05 14:43:19.780 ,sm,inst_executed,avg,0,0.68053
8,2025-05-05 14:43:19.780 ,sm,pipe_tensor_cycles_active,avg,0,0
8,2025-05-05 14:43:19.780 ,dramc,sectors_op_read,avg,0,3.46821
8,2025-05-05 14:43:19.780 ,dramc,sectors_op_write,avg,0,2.31214
8,2025-05-05 14:43:19.780 ,pcie,read_bytes,avg,0,0
8,2025-05-05 14:43:19.780 ,pcie,write_bytes,avg,0,29.2004
8,2025-05-05 14:43:19.780 ,pcie,read_bytes,sum,0,0
8,2025-05-05 14:43:19.780 ,pcie,write_bytes,sum,0,5120
9,2025-05-05 14:43:19.848 ,gpc,cycles_elapsed,avg,0,2.00818e+09
9,2025-05-05 14:43:19.848 ,gr,cycles_active,sum,0,100
9,2025-05-05 14:43:19.848 ,tpc,warps_active_realtime,avg,0,65.5328
9,2025-05-05 14:43:19.848 ,sm,cycles_active,avg,0,99.8694
9,2025-05-05 14:43:19.848 ,sm,inst_executed,avg,0,28.9104
9,2025-05-05 14:43:19.848 ,sm,pipe_tensor_cycles_active,avg,0,0
9,2025-05-05 14:43:19.848 ,dramc,sectors_op_read,avg,0,179.462
