timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-05 14:43:15.314,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,353,7835,210,405,210,-1,2.396,-1,-1,-1,-1
2025-05-05 14:43:16.318,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,0,0,8188,353,7835,210,405,210,-1,2.432,-1,-1,-1,-1
2025-05-05 14:43:17.320,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,0,0,8188,353,7835,210,405,210,-1,2.519,-1,-1,-1,-1
2025-05-05 14:43:18.321,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,1,0,8188,493,7695,1470,7000,1470,-1,4.519,-1,-1,-1,-1
2025-05-05 14:43:19.323,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,4,0,8188,1117,7071,1470,7000,1470,-1,9.627,-1,-1,-1,-1
2025-05-05 14:43:20.325,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,9,9,8188,2935,5253,2040,5500,2040,-1,14.312,-1,-1,-1,-1
2025-05-05 14:43:21.329,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,4,3,8188,2943,5245,2040,5500,2040,-1,16.075,-1,-1,-1,-1
2025-05-05 14:43:22.334,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,2,8188,2943,5245,2040,7000,2040,-1,15.298,-1,-1,-1,-1
2025-05-05 14:43:23.339,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,2,8188,2943,5245,2040,7000,2040,-1,15.998,-1,-1,-1,-1
2025-05-05 14:43:24.343,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,1,8188,2943,5245,2040,7000,2040,-1,16.02,-1,-1,-1,-1
2025-05-05 14:43:25.344,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,2943,5245,2040,7000,2040,-1,16.022,-1,-1,-1,-1
2025-05-05 14:43:26.350,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,1,8188,2947,5241,2040,5500,2040,-1,15.658,-1,-1,-1,-1
2025-05-05 14:43:27.356,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,1,8188,2947,5241,2040,7000,2040,-1,15.178,-1,-1,-1,-1
2025-05-05 14:43:28.360,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,0,8188,2947,5241,2040,5500,2040,-1,16.128,-1,-1,-1,-1
2025-05-05 14:43:29.361,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,1,8188,2947,5241,2040,7000,2040,-1,15.166,-1,-1,-1,-1
2025-05-05 14:43:30.363,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,5,0,8188,2979,5209,2040,7000,2040,-1,16.307,-1,-1,-1,-1
2025-05-05 14:43:31.367,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,14,15,8188,2979,5209,2040,7000,2040,-1,16.199,-1,-1,-1,-1
2025-05-05 14:43:32.369,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,4,4,8188,2979,5209,2040,5500,2040,-1,16.084,-1,-1,-1,-1
2025-05-05 14:43:33.371,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,1,1,8188,2979,5209,2040,7000,2040,-1,15.525,-1,-1,-1,-1
2025-05-05 14:43:34.374,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,0,8188,2979,5209,2040,7000,2040,-1,16.262,-1,-1,-1,-1
2025-05-05 14:43:35.376,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,1,0,8188,2979,5209,2040,7000,2040,-1,16.212,-1,-1,-1,-1
2025-05-05 14:43:36.381,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,1,8188,2979,5209,2040,7000,2040,-1,16.282,-1,-1,-1,-1
2025-05-05 14:43:37.386,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,1,0,8188,2979,5209,2040,5500,2040,-1,15.526,-1,-1,-1,-1
2025-05-05 14:43:38.389,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,1,8188,2979,5209,2040,7000,2040,-1,14.611,-1,-1,-1,-1
2025-05-05 14:43:39.396,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,1,0,8188,2981,5207,2040,5500,2040,-1,15.84,-1,-1,-1,-1
2025-05-05 14:43:40.399,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,1,8188,2981,5207,2040,7000,2040,-1,15.6,-1,-1,-1,-1
2025-05-05 14:43:41.403,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,6,5,8188,2981,5207,2040,5500,2040,-1,16.626,-1,-1,-1,-1
2025-05-05 14:43:42.412,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,3,8188,2981,5207,2040,7000,2040,-1,16.113,-1,-1,-1,-1
2025-05-05 14:43:43.415,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,1,8188,2981,5207,2040,5500,2040,-1,16.137,-1,-1,-1,-1
2025-05-05 14:43:44.418,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,2,8188,2981,5207,2040,7000,2040,-1,16.074,-1,-1,-1,-1
2025-05-05 14:43:45.420,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,0,8188,2981,5207,2040,7000,2040,-1,16.51,-1,-1,-1,-1
2025-05-05 14:43:46.423,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,1,8188,2981,5207,2040,7000,2040,-1,16.5,-1,-1,-1,-1
