timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-05 15:19:18.314,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.698,-1,-1,-1,-1
2025-05-05 15:19:19.317,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.728,-1,-1,-1,-1
2025-05-05 15:19:20.320,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,2.716,-1,-1,-1,-1
2025-05-05 15:19:21.327,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,529,7659,1665,7000,1665,-1,5.192,-1,-1,-1,-1
2025-05-05 15:19:22.329,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,4,0,8188,1751,6437,1665,7000,1665,-1,10.017,-1,-1,-1,-1
2025-05-05 15:19:23.332,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,5,5,8188,2809,5379,2040,5500,2040,-1,16.346,-1,-1,-1,-1
2025-05-05 15:19:24.335,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,6,4,8188,2809,5379,2040,7000,2040,-1,16.262,-1,-1,-1,-1
2025-05-05 15:19:25.337,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,6,3,8188,2813,5375,2040,5500,2040,-1,16.226,-1,-1,-1,-1
2025-05-05 15:19:26.341,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,5,1,8188,2817,5371,2040,5500,2040,-1,16.097,-1,-1,-1,-1
2025-05-05 15:19:27.343,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,5,1,8188,2817,5371,2040,7000,2040,-1,15.606,-1,-1,-1,-1
2025-05-05 15:19:28.345,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,6,1,8188,2817,5371,2040,7000,2040,-1,15.482,-1,-1,-1,-1
2025-05-05 15:19:29.349,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,13,10,8188,3873,4315,2040,7000,2040,-1,17.144,-1,-1,-1,-1
2025-05-05 15:19:30.352,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,8,6,8188,3873,4315,2040,5500,2040,-1,17.267,-1,-1,-1,-1
2025-05-05 15:19:31.356,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,4,3,8188,3873,4315,2040,5500,2040,-1,16.599,-1,-1,-1,-1
2025-05-05 15:19:32.358,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,3,8188,3873,4315,2040,7000,2040,-1,15.953,-1,-1,-1,-1
2025-05-05 15:19:33.362,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,5,2,8188,3873,4315,2040,7000,2040,-1,15.671,-1,-1,-1,-1
