timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
18000120039343,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,4,0,8188,353,7834,2040,5500,2040,-1,14.879,-1,-1,-1,-1
18001124939673,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,1,0,8188,475,7713,2040,7000,2040,-1,14.697,-1,-1,-1,-1
18002126727929,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,1,0,8188,475,7713,2040,7000,2040,-1,16.517,-1,-1,-1,-1
18003128907159,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,1,0,8188,475,7713,2040,7000,2040,-1,16.379,-1,-1,-1,-1
18004130528710,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,1,0,8188,475,7713,2040,7000,2040,-1,16.283,-1,-1,-1,-1
18005134117431,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,1,0,8188,475,7713,2040,7000,2040,-1,16.415,-1,-1,-1,-1
18006136368222,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,2,0,8188,475,7713,2040,7000,2040,-1,16.188,-1,-1,-1,-1
18007138106135,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,2,0,8188,475,7713,2040,7000,2040,-1,16.241,-1,-1,-1,-1
18008139929068,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,475,7713,2040,7000,2040,-1,16.392,-1,-1,-1,-1
18009141938955,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,475,7713,2040,7000,2040,-1,16.441,-1,-1,-1,-1
18010143515613,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,475,7713,2040,5500,2040,-1,15.657,-1,-1,-1,-1
18011145807643,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,475,7713,2040,7000,2040,-1,15.923,-1,-1,-1,-1
18012147346067,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,475,7713,2040,5500,2040,-1,16.254,-1,-1,-1,-1
18013149514229,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,2,0,8188,475,7713,2040,7000,2040,-1,15.519,-1,-1,-1,-1
