session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-05 21:55:50.477 ,gpc,cycles_elapsed,avg,0,1.23228e+09
1,2025-05-05 21:55:50.477 ,gr,cycles_active,sum,0,100
1,2025-05-05 21:55:50.477 ,tpc,warps_active_realtime,avg,0,66.2819
1,2025-05-05 21:55:50.477 ,sm,cycles_active,avg,0,99.8621
1,2025-05-05 21:55:50.477 ,sm,inst_executed,avg,0,74.6382
1,2025-05-05 21:55:50.477 ,sm,pipe_tensor_cycles_active,avg,0,0
1,2025-05-05 21:55:50.477 ,dramc,sectors_op_read,avg,0,58.9296
1,2025-05-05 21:55:50.477 ,dramc,sectors_op_write,avg,0,2.96965
1,2025-05-05 21:55:50.477 ,pcie,read_bytes,avg,0,0.00933142
1,2025-05-05 21:55:50.477 ,pcie,write_bytes,avg,0,0.0168393
1,2025-05-05 21:55:50.477 ,pcie,read_bytes,sum,0,290816
1,2025-05-05 21:55:50.477 ,pcie,write_bytes,sum,0,524800
2,2025-05-05 21:55:50.760 ,gpc,cycles_elapsed,avg,0,1.35475e+09
2,2025-05-05 21:55:50.760 ,gr,cycles_active,sum,0,100
2,2025-05-05 21:55:50.760 ,tpc,warps_active_realtime,avg,0,66.3055
2,2025-05-05 21:55:50.760 ,sm,cycles_active,avg,0,99.9095
2,2025-05-05 21:55:50.760 ,sm,inst_executed,avg,0,74.7551
2,2025-05-05 21:55:50.760 ,sm,pipe_tensor_cycles_active,avg,0,0
2,2025-05-05 21:55:50.760 ,dramc,sectors_op_read,avg,0,54.8156
2,2025-05-05 21:55:50.760 ,dramc,sectors_op_write,avg,0,3.03994
2,2025-05-05 21:55:50.760 ,pcie,read_bytes,avg,0,0.00166048
2,2025-05-05 21:55:50.760 ,pcie,write_bytes,avg,0,0.00273672
2,2025-05-05 21:55:50.760 ,pcie,read_bytes,sum,0,27648
2,2025-05-05 21:55:50.760 ,pcie,write_bytes,sum,0,45568
3,2025-05-05 21:55:51.035 ,gpc,cycles_elapsed,avg,0,1.54107e+09
3,2025-05-05 21:55:51.035 ,gr,cycles_active,sum,0,100
3,2025-05-05 21:55:51.035 ,tpc,warps_active_realtime,avg,0,66.32
3,2025-05-05 21:55:51.035 ,sm,cycles_active,avg,0,99.8746
3,2025-05-05 21:55:51.035 ,sm,inst_executed,avg,0,74.7412
3,2025-05-05 21:55:51.035 ,sm,pipe_tensor_cycles_active,avg,0,0
3,2025-05-05 21:55:51.035 ,dramc,sectors_op_read,avg,0,53.0213
3,2025-05-05 21:55:51.035 ,dramc,sectors_op_write,avg,0,3.12154
3,2025-05-05 21:55:51.035 ,pcie,read_bytes,avg,0,0.00496605
3,2025-05-05 21:55:51.035 ,pcie,write_bytes,avg,0,0.00776382
3,2025-05-05 21:55:51.035 ,pcie,read_bytes,sum,0,72704
3,2025-05-05 21:55:51.035 ,pcie,write_bytes,sum,0,113664
