timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-05 21:55:48.923,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,0,0,8188,353,7835,210,405,210,-1,3.253,-1,-1,-1,-1
2025-05-05 21:55:49.927,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,0,0,8188,370,7817,210,405,210,-1,3.271,-1,-1,-1,-1
2025-05-05 21:55:50.930,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,99,16,8188,4317,3871,2040,5500,2040,-1,23.95,-1,-1,-1,-1
2025-05-05 21:55:51.932,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,51,9,8188,4317,3871,1245,5500,1245,-1,35.566,-1,-1,-1,-1
2025-05-05 21:55:52.936,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,89,15,8188,4317,3871,1170,5500,1170,-1,32.008,-1,-1,-1,-1
2025-05-05 21:55:53.938,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,64,11,8188,4317,3871,1200,5500,1200,-1,33.956,-1,-1,-1,-1
2025-05-05 21:55:54.940,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,62,12,8188,4317,3871,1800,5500,1800,-1,35.031,-1,-1,-1,-1
2025-05-05 21:55:55.942,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,94,17,8188,4317,3871,1125,5500,1125,-1,36.399,-1,-1,-1,-1
2025-05-05 21:55:56.943,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,65,10,8188,4317,3871,1245,5500,1245,-1,32.604,-1,-1,-1,-1
2025-05-05 21:55:57.946,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,37,7,8188,4317,3871,1245,5500,1245,-1,35.326,-1,-1,-1,-1
2025-05-05 21:55:58.949,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,82,14,8188,4317,3871,2040,5500,2040,-1,32.214,-1,-1,-1,-1
2025-05-05 21:55:59.951,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,62,10,8188,4317,3871,1185,5500,1185,-1,37.062,-1,-1,-1,-1
2025-05-05 21:56:00.957,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,68,12,8188,4317,3871,2040,5500,2040,-1,33.304,-1,-1,-1,-1
2025-05-05 21:56:02.020,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,81,13,8188,4317,3871,155,5500,155,-1,36.016,-1,-1,-1,-1
2025-05-05 21:56:03.023,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,85,12,8188,4317,3871,1710,5500,1710,-1,32.636,-1,-1,-1,-1
2025-05-05 21:56:04.025,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,83,17,8188,4317,3871,1185,5500,1185,-1,39.254,-1,-1,-1,-1
2025-05-05 21:56:05.028,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,68,10,8188,4317,3871,1245,5500,1245,-1,33.582,-1,-1,-1,-1
2025-05-05 21:56:06.031,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,82,12,8188,4317,3871,1935,5500,1935,-1,34.852,-1,-1,-1,-1
2025-05-05 21:56:07.033,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,58,10,8188,4317,3871,1155,5500,1155,-1,32.555,-1,-1,-1,-1
2025-05-05 21:56:08.035,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,61,10,8188,4317,3871,155,5500,155,-1,38.121,-1,-1,-1,-1
2025-05-05 21:56:09.073,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,62,11,8188,4319,3869,1965,5500,1965,-1,31.34,-1,-1,-1,-1
2025-05-05 21:56:10.075,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,56,10,8188,4319,3869,1185,5500,1185,-1,34.959,-1,-1,-1,-1
2025-05-05 21:56:11.077,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,65,11,8188,4319,3869,1215,5500,1215,-1,33.156,-1,-1,-1,-1
2025-05-05 21:56:12.079,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,65,11,8188,4319,3869,2040,5500,2040,-1,34.616,-1,-1,-1,-1
2025-05-05 21:56:13.081,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,60,12,8188,4319,3869,1125,5500,1125,-1,38.364,-1,-1,-1,-1
2025-05-05 21:56:14.083,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,63,11,8188,4319,3869,1245,5500,1245,-1,34.695,-1,-1,-1,-1
2025-05-05 21:56:15.090,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,95,16,8188,4319,3869,253,5500,253,-1,32.614,-1,-1,-1,-1
2025-05-05 21:56:16.092,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,61,10,8188,4319,3869,1215,5500,1215,-1,35.422,-1,-1,-1,-1
2025-05-05 21:56:17.094,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,52,10,8188,4319,3869,1215,5500,1215,-1,35.213,-1,-1,-1,-1
2025-05-05 21:56:18.096,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,78,13,8188,4319,3869,1455,5500,1455,-1,32.568,-1,-1,-1,-1
2025-05-05 21:56:19.098,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,73,10,8188,4319,3869,1125,5500,1125,-1,36.876,-1,-1,-1,-1
2025-05-05 21:56:20.100,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,36,7,8188,4319,3869,1230,5500,1230,-1,36.242,-1,-1,-1,-1
2025-05-05 21:56:21.104,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,79,16,8188,4319,3869,247,5500,247,-1,33.077,-1,-1,-1,-1
2025-05-05 21:56:22.106,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,98,16,8188,4319,3869,1170,5500,1170,-1,32.239,-1,-1,-1,-1
2025-05-05 21:56:23.109,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,61,11,8188,4319,3869,1215,5500,1215,-1,33.013,-1,-1,-1,-1
2025-05-05 21:56:24.112,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,72,12,8188,4319,3869,2025,5500,2025,-1,33.86,-1,-1,-1,-1
2025-05-05 21:56:25.114,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,78,12,8188,4319,3869,1215,5500,1215,-1,33.266,-1,-1,-1,-1
2025-05-05 21:56:26.118,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,63,11,8188,4319,3869,1215,5500,1215,-1,34.315,-1,-1,-1,-1
2025-05-05 21:56:27.122,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,74,13,8188,4319,3869,1185,5500,1185,-1,35.766,-1,-1,-1,-1
2025-05-05 21:56:28.203,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,65,11,8188,4319,3869,1215,5500,1215,-1,34.395,-1,-1,-1,-1
2025-05-05 21:56:29.205,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,85,26,8188,4319,3869,161,5500,161,-1,35.826,-1,-1,-1,-1
2025-05-05 21:56:30.207,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,18,5,8188,4319,3869,1215,5500,1215,-1,32.005,-1,-1,-1,-1
2025-05-05 21:56:31.208,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,67,12,8188,4319,3869,1185,5500,1185,-1,33.576,-1,-1,-1,-1
2025-05-05 21:56:32.209,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,77,13,8188,4319,3869,1260,5500,1260,-1,37.454,-1,-1,-1,-1
2025-05-05 21:56:33.216,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,97,18,8188,4319,3869,1215,5500,1215,-1,32.853,-1,-1,-1,-1
2025-05-05 21:56:34.218,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,66,9,8188,4319,3869,1695,5500,1695,-1,33.063,-1,-1,-1,-1
