timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
17388614415317,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,1,0,8188,353,7835,2040,7000,2040,-1,16.012,-1,-1,-1,-1
17389616061306,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,465,7723,2040,7000,2040,-1,12.781,-1,-1,-1,-1
17390617685255,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,69,9,8188,4317,3871,1215,5500,1215,-1,28.338,-1,-1,-1,-1
17391619597346,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,64,11,8188,4317,3871,1215,5500,1215,-1,34.678,-1,-1,-1,-1
17392621538727,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,87,15,8188,4317,3871,2025,5500,2025,-1,32.696,-1,-1,-1,-1
17393637727893,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,84,13,8188,4317,3871,1200,5500,1200,-1,35.291,-1,-1,-1,-1
17394640259450,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,64,12,8188,4317,3871,1215,5500,1215,-1,35.66,-1,-1,-1,-1
17395642434156,0,NVIDIA GeForce RTX 4060 Laptop GPU,61,69,14,8188,4317,3871,2025,5500,2025,-1,37.191,-1,-1,-1,-1
17396676896075,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,70,13,8188,4317,3871,1170,5500,1170,-1,36.464,-1,-1,-1,-1
17397681327885,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,95,25,8188,4317,3871,1215,5500,1215,-1,33.329,-1,-1,-1,-1
17398687803503,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,52,8,8188,4317,3871,2025,5500,2025,-1,33.915,-1,-1,-1,-1
17399691193798,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,91,16,8188,4317,3871,1200,5500,1200,-1,34.839,-1,-1,-1,-1
17400693452345,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,62,11,8188,4317,3871,2025,5500,2025,-1,34.782,-1,-1,-1,-1
17401695309418,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,74,12,8188,4317,3871,1155,5500,1155,-1,34.744,-1,-1,-1,-1
17402697761824,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,88,13,8188,4317,3871,1230,5500,1230,-1,34.652,-1,-1,-1,-1
17403702272902,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,60,11,8188,4317,3871,2025,5500,2025,-1,34.127,-1,-1,-1,-1
17404704035309,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,57,11,8188,4317,3871,1200,5500,1200,-1,32.761,-1,-1,-1,-1
17405705857222,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,61,22,8188,4317,3871,1215,5500,1215,-1,32.645,-1,-1,-1,-1
17406708095702,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,86,16,8188,4317,3871,1155,5500,1155,-1,37.164,-1,-1,-1,-1
17407714596466,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,69,10,8188,4317,3871,2025,5500,2025,-1,31.265,-1,-1,-1,-1
17408717891111,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,61,11,8188,4319,3869,1215,5500,1215,-1,33.228,-1,-1,-1,-1
17409719757442,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,79,14,8188,4319,3869,1185,5500,1185,-1,34.449,-1,-1,-1,-1
17410721786833,0,NVIDIA GeForce RTX 4060 Laptop GPU,60,56,10,8188,4319,3869,1905,5500,1905,-1,33.037,-1,-1,-1,-1
17411723713135,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,58,8,8188,4319,3869,2025,5500,2025,-1,32.7,-1,-1,-1,-1
17412725695561,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,60,11,8188,4319,3869,1185,5500,1185,-1,33.517,-1,-1,-1,-1
17413727499697,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,95,16,8188,4319,3869,1170,5500,1170,-1,35.367,-1,-1,-1,-1
17414729983324,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,54,12,8188,4319,3869,1080,5500,1080,-1,35.283,-1,-1,-1,-1
17415732021967,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,51,8,8188,4319,3869,1110,5500,1110,-1,33.094,-1,-1,-1,-1
17416734010238,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,57,12,8188,4319,3869,1200,5500,1200,-1,36.532,-1,-1,-1,-1
17417743674259,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,88,15,8188,4319,3869,2025,5500,2025,-1,31.896,-1,-1,-1,-1
17418745353470,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,86,12,8188,4319,3869,1125,5500,1125,-1,32.403,-1,-1,-1,-1
17419747268277,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,61,10,8188,4319,3869,1140,5500,1140,-1,31.828,-1,-1,-1,-1
