session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,210,gpc,cycles_elapsed,avg,0,1.44322e+09
1,210,gpc,cycles_elapsed,avg,1,1.4442e+09
1,210,gpc,cycles_elapsed,avg,2,1.44843e+09
1,210,gpc,cycles_elapsed,avg,3,1.43306e+09
1,210,gpc,cycles_elapsed,avg,4,1.43667e+09
1,210,gpc,cycles_elapsed,avg,5,1.42897e+09
1,210,gpc,cycles_elapsed,avg,6,1.42734e+09
1,210,gpc,cycles_elapsed,avg,7,1.46651e+09
1,210,gpc,cycles_elapsed,avg,8,1.42991e+09
1,210,gpc,cycles_elapsed,avg,9,1.44198e+09
1,210,gpc,cycles_elapsed,avg,10,1.42366e+09
1,210,gpc,cycles_elapsed,avg,11,1.4299e+09
1,210,gpc,cycles_elapsed,avg,12,1.45469e+09
1,210,gpc,cycles_elapsed,avg,13,1.42738e+09
1,210,gpc,cycles_elapsed,avg,14,1.4301e+09
1,210,gr,cycles_active,sum,0,100
1,210,gr,cycles_active,sum,1,100
1,210,gr,cycles_active,sum,2,100
1,210,gr,cycles_active,sum,3,100
1,210,gr,cycles_active,sum,4,100
1,210,gr,cycles_active,sum,5,100
1,210,gr,cycles_active,sum,6,100
1,210,gr,cycles_active,sum,7,100
1,210,gr,cycles_active,sum,8,100
1,210,gr,cycles_active,sum,9,100
1,210,gr,cycles_active,sum,10,100
1,210,gr,cycles_active,sum,11,100
1,210,gr,cycles_active,sum,12,100
1,210,gr,cycles_active,sum,13,100
1,210,gr,cycles_active,sum,14,100
1,210,tpc,warps_active_realtime,avg,0,23.8702
1,210,tpc,warps_active_realtime,avg,1,33.4631
1,210,tpc,warps_active_realtime,avg,2,17.8665
1,210,tpc,warps_active_realtime,avg,3,9.63834
1,210,tpc,warps_active_realtime,avg,4,15.19
1,210,tpc,warps_active_realtime,avg,5,17.8465
1,210,tpc,warps_active_realtime,avg,6,11.019
1,210,tpc,warps_active_realtime,avg,7,4.62281
1,210,tpc,warps_active_realtime,avg,8,9.6735
1,210,tpc,warps_active_realtime,avg,9,10.8806
1,210,tpc,warps_active_realtime,avg,10,3.29802
1,210,tpc,warps_active_realtime,avg,11,5.2937
1,210,tpc,warps_active_realtime,avg,12,7.81849
1,210,tpc,warps_active_realtime,avg,13,0.30581
1,210,tpc,warps_active_realtime,avg,14,4.99037
1,210,sm,cycles_active,avg,0,71.954
1,210,sm,cycles_active,avg,1,65.4724
1,210,sm,cycles_active,avg,2,58.4309
1,210,sm,cycles_active,avg,3,38.0665
1,210,sm,cycles_active,avg,4,46.7073
1,210,sm,cycles_active,avg,5,45.8095
1,210,sm,cycles_active,avg,6,33.2406
1,210,sm,cycles_active,avg,7,27.7152
1,210,sm,cycles_active,avg,8,55.2073
1,210,sm,cycles_active,avg,9,49.2419
1,210,sm,cycles_active,avg,10,19.6011
1,210,sm,cycles_active,avg,11,17.2388
1,210,sm,cycles_active,avg,12,46.7061
1,210,sm,cycles_active,avg,13,1.83617
1,210,sm,cycles_active,avg,14,29.7646
1,210,sm,inst_executed,avg,0,28.785
1,210,sm,inst_executed,avg,1,5.52622
1,210,sm,inst_executed,avg,2,3.77565
1,210,sm,inst_executed,avg,3,1.58338
1,210,sm,inst_executed,avg,4,9.46948
1,210,sm,inst_executed,avg,5,7.63218
1,210,sm,inst_executed,avg,6,6.12668
1,210,sm,inst_executed,avg,7,5.03964
1,210,sm,inst_executed,avg,8,2.59819
1,210,sm,inst_executed,avg,9,2.36875
1,210,sm,inst_executed,avg,10,0.585618
1,210,sm,inst_executed,avg,11,3.24497
1,210,sm,inst_executed,avg,12,4.60041
1,210,sm,inst_executed,avg,13,0.0938282
1,210,sm,inst_executed,avg,14,3.34152
1,210,sm,pipe_tensor_cycles_active,avg,0,0
1,210,sm,pipe_tensor_cycles_active,avg,1,0
1,210,sm,pipe_tensor_cycles_active,avg,2,0
