session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-07 09:16:48.460 ,idc,request_cycles_active,avg,0,0
1,2025-05-07 09:16:48.460 ,sm,inst_executed_pipe_adu,avg,0,2.375
1,2025-05-07 09:16:48.460 ,sm,inst_executed_pipe_ipa,avg,0,0
1,2025-05-07 09:16:48.460 ,sm,inst_executed_pipe_lsu,avg,0,3.41667
1,2025-05-07 09:16:48.460 ,sm,inst_executed_pipe_tex,avg,0,0
1,2025-05-07 09:16:48.460 ,sm,mio2rf_writeback_active,avg,0,5.33333
1,2025-05-07 09:16:48.460 ,sm,mio_pq_read_cycles_active,avg,0,2.08333
1,2025-05-07 09:16:48.460 ,sm,mio_pq_write_cycles_active,avg,0,2.08333
1,2025-05-07 09:16:48.460 ,sm,pipe_tensor_cycles_active,avg,0,0
2,2025-05-07 09:16:48.580 ,idc,request_cycles_active,avg,0,388033
2,2025-05-07 09:16:48.580 ,sm,inst_executed_pipe_adu,avg,0,408391
2,2025-05-07 09:16:48.580 ,sm,inst_executed_pipe_ipa,avg,0,0
2,2025-05-07 09:16:48.580 ,sm,inst_executed_pipe_lsu,avg,0,2.52146e+06
2,2025-05-07 09:16:48.580 ,sm,inst_executed_pipe_tex,avg,0,0
2,2025-05-07 09:16:48.580 ,sm,mio2rf_writeback_active,avg,0,5.04213e+06
2,2025-05-07 09:16:48.580 ,sm,mio_pq_read_cycles_active,avg,0,1.10766e+06
2,2025-05-07 09:16:48.580 ,sm,mio_pq_write_cycles_active,avg,0,1.10766e+06
2,2025-05-07 09:16:48.580 ,sm,pipe_tensor_cycles_active,avg,0,0
3,2025-05-07 09:16:48.687 ,idc,request_cycles_active,avg,0,0
3,2025-05-07 09:16:48.687 ,sm,inst_executed_pipe_adu,avg,0,30625
3,2025-05-07 09:16:48.687 ,sm,inst_executed_pipe_ipa,avg,0,0
3,2025-05-07 09:16:48.687 ,sm,inst_executed_pipe_lsu,avg,0,214375
3,2025-05-07 09:16:48.687 ,sm,inst_executed_pipe_tex,avg,0,0
3,2025-05-07 09:16:48.687 ,sm,mio2rf_writeback_active,avg,0,367500
3,2025-05-07 09:16:48.687 ,sm,mio_pq_read_cycles_active,avg,0,61250
3,2025-05-07 09:16:48.687 ,sm,mio_pq_write_cycles_active,avg,0,61250
3,2025-05-07 09:16:48.687 ,sm,pipe_tensor_cycles_active,avg,0,0
4,2025-05-07 09:16:48.807 ,idc,request_cycles_active,avg,0,0
4,2025-05-07 09:16:48.807 ,sm,inst_executed_pipe_adu,avg,0,40000
4,2025-05-07 09:16:48.807 ,sm,inst_executed_pipe_ipa,avg,0,0
4,2025-05-07 09:16:48.807 ,sm,inst_executed_pipe_lsu,avg,0,225000
4,2025-05-07 09:16:48.807 ,sm,inst_executed_pipe_tex,avg,0,0
4,2025-05-07 09:16:48.807 ,sm,mio2rf_writeback_active,avg,0,405000
4,2025-05-07 09:16:48.807 ,sm,mio_pq_read_cycles_active,avg,0,62500
4,2025-05-07 09:16:48.807 ,sm,mio_pq_write_cycles_active,avg,0,62500
4,2025-05-07 09:16:48.807 ,sm,pipe_tensor_cycles_active,avg,0,0
5,2025-05-07 09:16:48.914 ,idc,request_cycles_active,avg,0,0
5,2025-05-07 09:16:48.914 ,sm,inst_executed_pipe_adu,avg,0,15312.5
5,2025-05-07 09:16:48.914 ,sm,inst_executed_pipe_ipa,avg,0,0
5,2025-05-07 09:16:48.914 ,sm,inst_executed_pipe_lsu,avg,0,45937.5
5,2025-05-07 09:16:48.914 ,sm,inst_executed_pipe_tex,avg,0,0
5,2025-05-07 09:16:48.914 ,sm,mio2rf_writeback_active,avg,0,183750
5,2025-05-07 09:16:48.914 ,sm,mio_pq_read_cycles_active,avg,0,61250
5,2025-05-07 09:16:48.914 ,sm,mio_pq_write_cycles_active,avg,0,61250
5,2025-05-07 09:16:48.914 ,sm,pipe_tensor_cycles_active,avg,0,0
6,2025-05-07 09:16:49.033 ,idc,request_cycles_active,avg,0,0
6,2025-05-07 09:16:49.033 ,sm,inst_executed_pipe_adu,avg,0,15312.7
6,2025-05-07 09:16:49.033 ,sm,inst_executed_pipe_ipa,avg,0,0
6,2025-05-07 09:16:49.033 ,sm,inst_executed_pipe_lsu,avg,0,107188
6,2025-05-07 09:16:49.033 ,sm,inst_executed_pipe_tex,avg,0,0
6,2025-05-07 09:16:49.033 ,sm,mio2rf_writeback_active,avg,0,202477
6,2025-05-07 09:16:49.033 ,sm,mio_pq_read_cycles_active,avg,0,45937.5
6,2025-05-07 09:16:49.033 ,sm,mio_pq_write_cycles_active,avg,0,45937.5
6,2025-05-07 09:16:49.033 ,sm,pipe_tensor_cycles_active,avg,0,0
7,2025-05-07 09:16:49.135 ,idc,request_cycles_active,avg,0,0
7,2025-05-07 09:16:49.135 ,sm,inst_executed_pipe_adu,avg,0,116667
7,2025-05-07 09:16:49.135 ,sm,inst_executed_pipe_ipa,avg,0,0
7,2025-05-07 09:16:49.135 ,sm,inst_executed_pipe_lsu,avg,0,326667
7,2025-05-07 09:16:49.135 ,sm,inst_executed_pipe_tex,avg,0,0
7,2025-05-07 09:16:49.135 ,sm,mio2rf_writeback_active,avg,0,431667
7,2025-05-07 09:16:49.135 ,sm,mio_pq_read_cycles_active,avg,0,99166.7
7,2025-05-07 09:16:49.135 ,sm,mio_pq_write_cycles_active,avg,0,99166.7
7,2025-05-07 09:16:49.135 ,sm,pipe_tensor_cycles_active,avg,0,0
8,2025-05-07 09:16:49.296 ,idc,request_cycles_active,avg,0,0
8,2025-05-07 09:16:49.296 ,sm,inst_executed_pipe_adu,avg,0,26.6667
8,2025-05-07 09:16:49.296 ,sm,inst_executed_pipe_ipa,avg,0,0
8,2025-05-07 09:16:49.296 ,sm,inst_executed_pipe_lsu,avg,0,70.6667
8,2025-05-07 09:16:49.296 ,sm,inst_executed_pipe_tex,avg,0,0
8,2025-05-07 09:16:49.296 ,sm,mio2rf_writeback_active,avg,0,94.6667
8,2025-05-07 09:16:49.296 ,sm,mio_pq_read_cycles_active,avg,0,20.6667
8,2025-05-07 09:16:49.296 ,sm,mio_pq_write_cycles_active,avg,0,20.6667
8,2025-05-07 09:16:49.296 ,sm,pipe_tensor_cycles_active,avg,0,0
9,2025-05-07 09:16:49.391 ,idc,request_cycles_active,avg,0,0
9,2025-05-07 09:16:49.391 ,sm,inst_executed_pipe_adu,avg,0,10416.7
9,2025-05-07 09:16:49.391 ,sm,inst_executed_pipe_ipa,avg,0,0
9,2025-05-07 09:16:49.391 ,sm,inst_executed_pipe_lsu,avg,0,72916.7
9,2025-05-07 09:16:49.391 ,sm,inst_executed_pipe_tex,avg,0,0
9,2025-05-07 09:16:49.391 ,sm,mio2rf_writeback_active,avg,0,125000
9,2025-05-07 09:16:49.391 ,sm,mio_pq_read_cycles_active,avg,0,20833.3
9,2025-05-07 09:16:49.391 ,sm,mio_pq_write_cycles_active,avg,0,20833.3
9,2025-05-07 09:16:49.391 ,sm,pipe_tensor_cycles_active,avg,0,0
10,2025-05-07 09:16:49.483 ,idc,request_cycles_active,avg,0,0
10,2025-05-07 09:16:49.483 ,sm,inst_executed_pipe_adu,avg,0,26666.7
10,2025-05-07 09:16:49.483 ,sm,inst_executed_pipe_ipa,avg,0,0
10,2025-05-07 09:16:49.483 ,sm,inst_executed_pipe_lsu,avg,0,120000
10,2025-05-07 09:16:49.483 ,sm,inst_executed_pipe_tex,avg,0,0
10,2025-05-07 09:16:49.483 ,sm,mio2rf_writeback_active,avg,0,241417
10,2025-05-07 09:16:49.483 ,sm,mio_pq_read_cycles_active,avg,0,26666.7
10,2025-05-07 09:16:49.483 ,sm,mio_pq_write_cycles_active,avg,0,26666.7
10,2025-05-07 09:16:49.483 ,sm,pipe_tensor_cycles_active,avg,0,0
11,2025-05-07 09:16:49.575 ,idc,request_cycles_active,avg,0,0
11,2025-05-07 09:16:49.575 ,sm,inst_executed_pipe_adu,avg,0,5208.33
11,2025-05-07 09:16:49.575 ,sm,inst_executed_pipe_ipa,avg,0,0
11,2025-05-07 09:16:49.575 ,sm,inst_executed_pipe_lsu,avg,0,15625
11,2025-05-07 09:16:49.575 ,sm,inst_executed_pipe_tex,avg,0,0
11,2025-05-07 09:16:49.575 ,sm,mio2rf_writeback_active,avg,0,62500
11,2025-05-07 09:16:49.575 ,sm,mio_pq_read_cycles_active,avg,0,20833.3
11,2025-05-07 09:16:49.575 ,sm,mio_pq_write_cycles_active,avg,0,20833.3
11,2025-05-07 09:16:49.575 ,sm,pipe_tensor_cycles_active,avg,0,0
12,2025-05-07 09:16:49.676 ,idc,request_cycles_active,avg,0,0
12,2025-05-07 09:16:49.676 ,sm,inst_executed_pipe_adu,avg,0,5208.33
12,2025-05-07 09:16:49.676 ,sm,inst_executed_pipe_ipa,avg,0,0
