timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 09:16:45.875,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,353,7834,1470,7000,1470,-1,8.357,-1,-1,-1,-1
2025-05-07 09:16:46.882,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,353,7834,1470,7000,1470,-1,8.311,-1,-1,-1,-1
2025-05-07 09:16:47.883,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,467,7721,1470,7000,1470,-1,8.548,-1,-1,-1,-1
2025-05-07 09:16:48.885,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,20,11,8188,1309,6879,1545,7000,1545,-1,10.41,-1,-1,-1,-1
2025-05-07 09:16:49.887,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,34,20,8188,917,7271,1800,7000,1800,-1,17.084,-1,-1,-1,-1
2025-05-07 09:16:50.889,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,24,12,8188,1351,6837,2040,7000,2040,-1,17.586,-1,-1,-1,-1
2025-05-07 09:16:51.890,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,1351,6837,1665,7000,1665,-1,16.216,-1,-1,-1,-1
2025-05-07 09:16:52.892,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,58,21,8188,1119,7069,2040,8000,2040,-1,23.064,-1,-1,-1,-1
2025-05-07 09:16:53.894,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,35,18,8188,1715,6473,2040,7000,2040,-1,22.064,-1,-1,-1,-1
2025-05-07 09:16:54.897,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,1715,6473,1470,7000,1470,-1,15.231,-1,-1,-1,-1
2025-05-07 09:16:55.898,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,39,23,8188,1121,7067,1845,7000,1845,-1,19.193,-1,-1,-1,-1
2025-05-07 09:16:56.900,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,36,16,8188,1121,7067,2040,8000,2040,-1,22.18,-1,-1,-1,-1
2025-05-07 09:16:57.902,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,1715,6473,1575,7000,1575,-1,17.976,-1,-1,-1,-1
