session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-07 09:52:23.455 ,idc,request_cycles_active,avg,0,0
1,2025-05-07 09:52:23.455 ,sm,inst_executed_pipe_adu,avg,0,293333
1,2025-05-07 09:52:23.455 ,sm,inst_executed_pipe_ipa,avg,0,0
1,2025-05-07 09:52:23.455 ,sm,inst_executed_pipe_lsu,avg,0,3.77208e+06
1,2025-05-07 09:52:23.455 ,sm,inst_executed_pipe_tex,avg,0,0
1,2025-05-07 09:52:23.455 ,sm,mio2rf_writeback_active,avg,0,1.1734e+07
1,2025-05-07 09:52:23.455 ,sm,mio_pq_read_cycles_active,avg,0,1.06667e+06
1,2025-05-07 09:52:23.455 ,sm,mio_pq_write_cycles_active,avg,0,1.06667e+06
1,2025-05-07 09:52:23.455 ,sm,pipe_tensor_cycles_active,avg,0,0
2,2025-05-07 09:52:23.676 ,idc,request_cycles_active,avg,0,0
2,2025-05-07 09:52:23.676 ,sm,inst_executed_pipe_adu,avg,0,213333
2,2025-05-07 09:52:23.676 ,sm,inst_executed_pipe_ipa,avg,0,0
2,2025-05-07 09:52:23.676 ,sm,inst_executed_pipe_lsu,avg,0,960000
2,2025-05-07 09:52:23.676 ,sm,inst_executed_pipe_tex,avg,0,0
2,2025-05-07 09:52:23.676 ,sm,mio2rf_writeback_active,avg,0,1.92e+06
2,2025-05-07 09:52:23.676 ,sm,mio_pq_read_cycles_active,avg,0,213333
2,2025-05-07 09:52:23.676 ,sm,mio_pq_write_cycles_active,avg,0,213333
2,2025-05-07 09:52:23.676 ,sm,pipe_tensor_cycles_active,avg,0,0
3,2025-05-07 09:52:23.856 ,idc,request_cycles_active,avg,0,0
3,2025-05-07 09:52:23.856 ,sm,inst_executed_pipe_adu,avg,0,53333.3
3,2025-05-07 09:52:23.856 ,sm,inst_executed_pipe_ipa,avg,0,0
3,2025-05-07 09:52:23.856 ,sm,inst_executed_pipe_lsu,avg,0,160000
3,2025-05-07 09:52:23.856 ,sm,inst_executed_pipe_tex,avg,0,0
3,2025-05-07 09:52:23.856 ,sm,mio2rf_writeback_active,avg,0,640000
3,2025-05-07 09:52:23.856 ,sm,mio_pq_read_cycles_active,avg,0,213333
3,2025-05-07 09:52:23.856 ,sm,mio_pq_write_cycles_active,avg,0,213333
3,2025-05-07 09:52:23.856 ,sm,pipe_tensor_cycles_active,avg,0,0
