timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 09:52:19.114,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,353,7835,1470,7000,1470,-1,8.873,-1,-1,-1,-1
2025-05-07 09:52:20.120,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,353,7835,1470,7000,1470,-1,8.558,-1,-1,-1,-1
2025-05-07 09:52:21.122,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,469,7719,1470,7000,1470,-1,8.792,-1,-1,-1,-1
2025-05-07 09:52:22.123,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,469,7719,1470,7000,1470,-1,8.585,-1,-1,-1,-1
2025-05-07 09:52:23.125,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,939,7249,1470,7000,1470,-1,8.59,-1,-1,-1,-1
2025-05-07 09:52:24.126,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,78,40,8188,3945,4243,1350,8000,1350,-1,20.969,-1,-1,-1,-1
2025-05-07 09:52:25.129,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,81,42,8188,7707,481,2040,8000,2040,-1,30.22,-1,-1,-1,-1
2025-05-07 09:52:26.131,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,93,47,8188,4103,4085,1245,8000,1245,-1,32.523,-1,-1,-1,-1
2025-05-07 09:52:27.133,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,93,45,8188,4113,4075,1785,8000,1785,-1,31.485,-1,-1,-1,-1
2025-05-07 09:52:28.136,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,86,47,8188,7717,471,1140,8000,1140,-1,32.613,-1,-1,-1,-1
2025-05-07 09:52:29.138,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,93,41,8188,7717,471,1170,8000,1170,-1,32.103,-1,-1,-1,-1
2025-05-07 09:52:30.140,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,89,46,8188,7721,467,1245,8000,1245,-1,32.993,-1,-1,-1,-1
2025-05-07 09:52:31.142,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,93,52,8188,7721,467,2040,8000,2040,-1,32.657,-1,-1,-1,-1
2025-05-07 09:52:32.144,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,92,45,8188,7721,467,2040,8000,2040,-1,31.886,-1,-1,-1,-1
2025-05-07 09:52:33.146,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,95,47,8188,7721,467,2040,7000,2040,-1,32.536,-1,-1,-1,-1
2025-05-07 09:52:34.149,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,82,42,8188,7721,467,1785,8000,1785,-1,30.184,-1,-1,-1,-1
2025-05-07 09:52:35.151,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,93,46,8188,7721,467,1245,8000,1245,-1,32.296,-1,-1,-1,-1
2025-05-07 09:52:36.153,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,91,43,8188,7721,467,1050,8000,1050,-1,32.509,-1,-1,-1,-1
2025-05-07 09:52:37.155,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,93,42,8188,4117,4071,1395,8000,1395,-1,30.573,-1,-1,-1,-1
2025-05-07 09:52:38.157,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,94,34,8188,4117,4071,1110,8000,1110,-1,33.452,-1,-1,-1,-1
2025-05-07 09:52:39.158,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,91,38,8188,4117,4071,1110,8000,1110,-1,33.086,-1,-1,-1,-1
2025-05-07 09:52:40.161,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,91,40,8188,4117,4071,1680,7000,1680,-1,31.03,-1,-1,-1,-1
2025-05-07 09:52:41.163,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,90,41,8188,4117,4071,1470,8000,1470,-1,32.614,-1,-1,-1,-1
2025-05-07 09:52:42.168,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,92,48,8188,7721,467,2040,7000,2040,-1,31.985,-1,-1,-1,-1
2025-05-07 09:52:43.170,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,92,44,8188,7721,467,2040,8000,2040,-1,31.421,-1,-1,-1,-1
2025-05-07 09:52:44.172,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,98,49,8188,7721,467,1860,7000,1860,-1,32.702,-1,-1,-1,-1
2025-05-07 09:52:45.174,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,93,43,8188,7721,467,1155,8000,1155,-1,31.22,-1,-1,-1,-1
2025-05-07 09:52:46.176,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,92,45,8188,7721,467,1035,8000,1035,-1,32.951,-1,-1,-1,-1
2025-05-07 09:52:47.178,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,82,49,8188,7721,467,2040,8000,2040,-1,30.198,-1,-1,-1,-1
2025-05-07 09:52:48.180,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,93,45,8188,7721,467,2040,7000,2040,-1,31.429,-1,-1,-1,-1
2025-05-07 09:52:49.182,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,93,45,8188,7721,467,1140,8000,1140,-1,31.071,-1,-1,-1,-1
2025-05-07 09:52:50.184,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,94,42,8188,7721,467,1125,8000,1125,-1,32.696,-1,-1,-1,-1
2025-05-07 09:52:51.186,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,92,42,8188,4117,4071,2040,8000,2040,-1,31.601,-1,-1,-1,-1
2025-05-07 09:52:52.191,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,93,41,8188,7725,463,2040,8000,2040,-1,32.296,-1,-1,-1,-1
2025-05-07 09:52:53.204,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,94,36,8188,4121,4067,2040,8000,2040,-1,31.634,-1,-1,-1,-1
2025-05-07 09:52:54.208,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,94,39,8188,4121,4067,1770,7000,1770,-1,32.368,-1,-1,-1,-1
2025-05-07 09:52:55.214,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,95,49,8188,7725,463,1500,8000,1500,-1,31.837,-1,-1,-1,-1
2025-05-07 09:52:56.216,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,93,42,8188,7725,463,2040,7000,2040,-1,32.136,-1,-1,-1,-1
2025-05-07 09:52:57.218,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,93,37,8188,7725,463,2040,8000,2040,-1,32.297,-1,-1,-1,-1
2025-05-07 09:52:58.220,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,96,49,8188,7725,463,2040,7000,2040,-1,31.884,-1,-1,-1,-1
2025-05-07 09:52:59.222,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,91,35,8188,7725,463,2040,8000,2040,-1,31.92,-1,-1,-1,-1
2025-05-07 09:53:00.224,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,90,47,8188,7725,463,1620,7000,1620,-1,32.102,-1,-1,-1,-1
2025-05-07 09:53:01.225,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,91,39,8188,7725,463,1005,8000,1005,-1,32.151,-1,-1,-1,-1
2025-05-07 09:53:02.228,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,93,41,8188,7725,463,1245,8000,1245,-1,32.921,-1,-1,-1,-1
2025-05-07 09:53:03.230,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,97,40,8188,7725,463,1290,8000,1290,-1,32.416,-1,-1,-1,-1
2025-05-07 09:53:04.232,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,87,46,8188,7761,427,1905,7000,1905,-1,31.447,-1,-1,-1,-1
2025-05-07 09:53:05.233,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,13,4,8188,7767,421,2040,8000,2040,-1,28.181,-1,-1,-1,-1
2025-05-07 09:53:06.235,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,7767,421,2040,7000,2040,-1,18.33,-1,-1,-1,-1
2025-05-07 09:53:07.237,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,73,27,8188,4153,4035,1170,8000,1170,-1,18.59,-1,-1,-1,-1
2025-05-07 09:53:08.238,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,92,41,8188,7767,421,2040,7000,2040,-1,32.466,-1,-1,-1,-1
2025-05-07 09:53:09.240,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,91,46,8188,7767,421,2040,8000,2040,-1,31.915,-1,-1,-1,-1
2025-05-07 09:53:10.242,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,86,43,8188,7767,421,1860,7000,1860,-1,32.187,-1,-1,-1,-1
2025-05-07 09:53:11.244,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,91,45,8188,7767,421,1455,8000,1455,-1,30.781,-1,-1,-1,-1
2025-05-07 09:53:12.246,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,91,51,8188,7769,419,1800,7000,1800,-1,31.98,-1,-1,-1,-1
2025-05-07 09:53:13.252,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,92,42,8188,4155,4033,1650,7000,1650,-1,32.348,-1,-1,-1,-1
2025-05-07 09:53:14.256,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,88,45,8188,7769,419,2040,8000,2040,-1,31.72,-1,-1,-1,-1
2025-05-07 09:53:15.264,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,93,54,8188,7769,419,1680,7000,1680,-1,32.622,-1,-1,-1,-1
2025-05-07 09:53:16.266,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,92,35,8188,7769,419,2040,8000,2040,-1,32.048,-1,-1,-1,-1
2025-05-07 09:53:17.268,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,94,42,8188,7769,419,2040,7000,2040,-1,31.284,-1,-1,-1,-1
2025-05-07 09:53:18.270,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,91,44,8188,7769,419,2040,8000,2040,-1,31.116,-1,-1,-1,-1
2025-05-07 09:53:19.272,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,91,42,8188,7769,419,2040,8000,2040,-1,32.039,-1,-1,-1,-1
2025-05-07 09:53:20.274,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,93,53,8188,7769,419,2040,8000,2040,-1,31.284,-1,-1,-1,-1
2025-05-07 09:53:21.276,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,90,34,8188,7769,419,1455,8000,1455,-1,32.448,-1,-1,-1,-1
