session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-07 10:28:36.568 ,idc,request_cycles_active,avg,0,0
1,2025-05-07 10:28:36.568 ,sm,inst_executed_pipe_adu,avg,0,3.04167
1,2025-05-07 10:28:36.568 ,sm,inst_executed_pipe_ipa,avg,0,0
1,2025-05-07 10:28:36.568 ,sm,inst_executed_pipe_lsu,avg,0,4.41667
1,2025-05-07 10:28:36.568 ,sm,inst_executed_pipe_tex,avg,0,0
1,2025-05-07 10:28:36.568 ,sm,mio2rf_writeback_active,avg,0,6.66667
1,2025-05-07 10:28:36.568 ,sm,mio_pq_read_cycles_active,avg,0,2.75
1,2025-05-07 10:28:36.568 ,sm,mio_pq_write_cycles_active,avg,0,2.75
1,2025-05-07 10:28:36.568 ,sm,pipe_tensor_cycles_active,avg,0,0
2,2025-05-07 10:28:36.698 ,idc,request_cycles_active,avg,0,600845
2,2025-05-07 10:28:36.698 ,sm,inst_executed_pipe_adu,avg,0,406918
2,2025-05-07 10:28:36.698 ,sm,inst_executed_pipe_ipa,avg,0,0
2,2025-05-07 10:28:36.698 ,sm,inst_executed_pipe_lsu,avg,0,1.27522e+06
2,2025-05-07 10:28:36.698 ,sm,inst_executed_pipe_tex,avg,0,0
2,2025-05-07 10:28:36.698 ,sm,mio2rf_writeback_active,avg,0,3.18468e+06
2,2025-05-07 10:28:36.698 ,sm,mio_pq_read_cycles_active,avg,0,781020
2,2025-05-07 10:28:36.698 ,sm,mio_pq_write_cycles_active,avg,0,660871
2,2025-05-07 10:28:36.698 ,sm,pipe_tensor_cycles_active,avg,0,0
3,2025-05-07 10:28:36.853 ,idc,request_cycles_active,avg,0,0
3,2025-05-07 10:28:36.853 ,sm,inst_executed_pipe_adu,avg,0,87381.3
3,2025-05-07 10:28:36.853 ,sm,inst_executed_pipe_ipa,avg,0,0
3,2025-05-07 10:28:36.853 ,sm,inst_executed_pipe_lsu,avg,0,393216
3,2025-05-07 10:28:36.853 ,sm,inst_executed_pipe_tex,avg,0,0
3,2025-05-07 10:28:36.853 ,sm,mio2rf_writeback_active,avg,0,786432
3,2025-05-07 10:28:36.853 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
3,2025-05-07 10:28:36.853 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
3,2025-05-07 10:28:36.853 ,sm,pipe_tensor_cycles_active,avg,0,0
4,2025-05-07 10:28:36.987 ,idc,request_cycles_active,avg,0,0
4,2025-05-07 10:28:36.987 ,sm,inst_executed_pipe_adu,avg,0,21845.3
4,2025-05-07 10:28:36.987 ,sm,inst_executed_pipe_ipa,avg,0,0
4,2025-05-07 10:28:36.987 ,sm,inst_executed_pipe_lsu,avg,0,65536
4,2025-05-07 10:28:36.987 ,sm,inst_executed_pipe_tex,avg,0,0
4,2025-05-07 10:28:36.987 ,sm,mio2rf_writeback_active,avg,0,262144
4,2025-05-07 10:28:36.987 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
4,2025-05-07 10:28:36.987 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
4,2025-05-07 10:28:36.987 ,sm,pipe_tensor_cycles_active,avg,0,0
5,2025-05-07 10:28:37.108 ,idc,request_cycles_active,avg,0,0
5,2025-05-07 10:28:37.108 ,sm,inst_executed_pipe_adu,avg,0,87381.3
5,2025-05-07 10:28:37.108 ,sm,inst_executed_pipe_ipa,avg,0,0
5,2025-05-07 10:28:37.108 ,sm,inst_executed_pipe_lsu,avg,0,1.83501e+06
5,2025-05-07 10:28:37.108 ,sm,inst_executed_pipe_tex,avg,0,0
5,2025-05-07 10:28:37.108 ,sm,mio2rf_writeback_active,avg,0,3.42972e+06
5,2025-05-07 10:28:37.108 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
5,2025-05-07 10:28:37.108 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
5,2025-05-07 10:28:37.108 ,sm,pipe_tensor_cycles_active,avg,0,0
6,2025-05-07 10:28:37.225 ,idc,request_cycles_active,avg,0,0
6,2025-05-07 10:28:37.225 ,sm,inst_executed_pipe_adu,avg,0,87381.3
6,2025-05-07 10:28:37.225 ,sm,inst_executed_pipe_ipa,avg,0,0
6,2025-05-07 10:28:37.225 ,sm,inst_executed_pipe_lsu,avg,0,393216
6,2025-05-07 10:28:37.225 ,sm,inst_executed_pipe_tex,avg,0,0
6,2025-05-07 10:28:37.225 ,sm,mio2rf_writeback_active,avg,0,786432
6,2025-05-07 10:28:37.225 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
6,2025-05-07 10:28:37.225 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
6,2025-05-07 10:28:37.225 ,sm,pipe_tensor_cycles_active,avg,0,0
7,2025-05-07 10:28:37.380 ,idc,request_cycles_active,avg,0,0
7,2025-05-07 10:28:37.380 ,sm,inst_executed_pipe_adu,avg,0,21845.3
7,2025-05-07 10:28:37.380 ,sm,inst_executed_pipe_ipa,avg,0,0
7,2025-05-07 10:28:37.380 ,sm,inst_executed_pipe_lsu,avg,0,65536
7,2025-05-07 10:28:37.380 ,sm,inst_executed_pipe_tex,avg,0,0
7,2025-05-07 10:28:37.380 ,sm,mio2rf_writeback_active,avg,0,262144
7,2025-05-07 10:28:37.380 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
7,2025-05-07 10:28:37.380 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
7,2025-05-07 10:28:37.380 ,sm,pipe_tensor_cycles_active,avg,0,0
8,2025-05-07 10:28:37.478 ,idc,request_cycles_active,avg,0,0
8,2025-05-07 10:28:37.478 ,sm,inst_executed_pipe_adu,avg,0,3.04167
8,2025-05-07 10:28:37.478 ,sm,inst_executed_pipe_ipa,avg,0,0
8,2025-05-07 10:28:37.478 ,sm,inst_executed_pipe_lsu,avg,0,4.41667
8,2025-05-07 10:28:37.478 ,sm,inst_executed_pipe_tex,avg,0,0
8,2025-05-07 10:28:37.478 ,sm,mio2rf_writeback_active,avg,0,6.66667
8,2025-05-07 10:28:37.478 ,sm,mio_pq_read_cycles_active,avg,0,2.75
8,2025-05-07 10:28:37.478 ,sm,mio_pq_write_cycles_active,avg,0,2.75
8,2025-05-07 10:28:37.478 ,sm,pipe_tensor_cycles_active,avg,0,0
9,2025-05-07 10:28:37.586 ,idc,request_cycles_active,avg,0,114786
9,2025-05-07 10:28:37.586 ,sm,inst_executed_pipe_adu,avg,0,116103
9,2025-05-07 10:28:37.586 ,sm,inst_executed_pipe_ipa,avg,0,0
9,2025-05-07 10:28:37.586 ,sm,inst_executed_pipe_lsu,avg,0,722261
9,2025-05-07 10:28:37.586 ,sm,inst_executed_pipe_tex,avg,0,0
9,2025-05-07 10:28:37.586 ,sm,mio2rf_writeback_active,avg,0,1.46462e+06
9,2025-05-07 10:28:37.586 ,sm,mio_pq_read_cycles_active,avg,0,342748
9,2025-05-07 10:28:37.586 ,sm,mio_pq_write_cycles_active,avg,0,342755
9,2025-05-07 10:28:37.586 ,sm,pipe_tensor_cycles_active,avg,0,0
10,2025-05-07 10:28:37.703 ,idc,request_cycles_active,avg,0,0
10,2025-05-07 10:28:37.703 ,sm,inst_executed_pipe_adu,avg,0,43690.7
10,2025-05-07 10:28:37.703 ,sm,inst_executed_pipe_ipa,avg,0,0
10,2025-05-07 10:28:37.703 ,sm,inst_executed_pipe_lsu,avg,0,196608
10,2025-05-07 10:28:37.703 ,sm,inst_executed_pipe_tex,avg,0,0
10,2025-05-07 10:28:37.703 ,sm,mio2rf_writeback_active,avg,0,393216
10,2025-05-07 10:28:37.703 ,sm,mio_pq_read_cycles_active,avg,0,43690.7
10,2025-05-07 10:28:37.703 ,sm,mio_pq_write_cycles_active,avg,0,43690.7
10,2025-05-07 10:28:37.703 ,sm,pipe_tensor_cycles_active,avg,0,0
11,2025-05-07 10:28:37.867 ,idc,request_cycles_active,avg,0,0
11,2025-05-07 10:28:37.867 ,sm,inst_executed_pipe_adu,avg,0,70997.3
11,2025-05-07 10:28:37.867 ,sm,inst_executed_pipe_ipa,avg,0,0
11,2025-05-07 10:28:37.867 ,sm,inst_executed_pipe_lsu,avg,0,649899
11,2025-05-07 10:28:37.867 ,sm,inst_executed_pipe_tex,avg,0,0
11,2025-05-07 10:28:37.867 ,sm,mio2rf_writeback_active,avg,0,1.25611e+06
11,2025-05-07 10:28:37.867 ,sm,mio_pq_read_cycles_active,avg,0,617131
11,2025-05-07 10:28:37.867 ,sm,mio_pq_write_cycles_active,avg,0,617131
11,2025-05-07 10:28:37.867 ,sm,pipe_tensor_cycles_active,avg,0,2.7962e+06
12,2025-05-07 10:28:38.078 ,idc,request_cycles_active,avg,0,0
12,2025-05-07 10:28:38.078 ,sm,inst_executed_pipe_adu,avg,0,262144
12,2025-05-07 10:28:38.078 ,sm,inst_executed_pipe_ipa,avg,0,0
12,2025-05-07 10:28:38.078 ,sm,inst_executed_pipe_lsu,avg,0,1.17965e+06
12,2025-05-07 10:28:38.078 ,sm,inst_executed_pipe_tex,avg,0,0
12,2025-05-07 10:28:38.078 ,sm,mio2rf_writeback_active,avg,0,2.3593e+06
12,2025-05-07 10:28:38.078 ,sm,mio_pq_read_cycles_active,avg,0,262144
12,2025-05-07 10:28:38.078 ,sm,mio_pq_write_cycles_active,avg,0,262144
12,2025-05-07 10:28:38.078 ,sm,pipe_tensor_cycles_active,avg,0,0
13,2025-05-07 10:28:38.296 ,idc,request_cycles_active,avg,0,0
13,2025-05-07 10:28:38.296 ,sm,inst_executed_pipe_adu,avg,0,65536
13,2025-05-07 10:28:38.296 ,sm,inst_executed_pipe_ipa,avg,0,0
13,2025-05-07 10:28:38.296 ,sm,inst_executed_pipe_lsu,avg,0,196608
13,2025-05-07 10:28:38.296 ,sm,inst_executed_pipe_tex,avg,0,0
13,2025-05-07 10:28:38.296 ,sm,mio2rf_writeback_active,avg,0,786432
13,2025-05-07 10:28:38.296 ,sm,mio_pq_read_cycles_active,avg,0,262144
13,2025-05-07 10:28:38.296 ,sm,mio_pq_write_cycles_active,avg,0,262144
13,2025-05-07 10:28:38.296 ,sm,pipe_tensor_cycles_active,avg,0,0
14,2025-05-07 10:28:38.493 ,idc,request_cycles_active,avg,0,0
14,2025-05-07 10:28:38.493 ,sm,inst_executed_pipe_adu,avg,0,65536
14,2025-05-07 10:28:38.493 ,sm,inst_executed_pipe_ipa,avg,0,0
14,2025-05-07 10:28:38.493 ,sm,inst_executed_pipe_lsu,avg,0,1.37626e+06
14,2025-05-07 10:28:38.493 ,sm,inst_executed_pipe_tex,avg,0,0
14,2025-05-07 10:28:38.493 ,sm,mio2rf_writeback_active,avg,0,2.69727e+06
14,2025-05-07 10:28:38.493 ,sm,mio_pq_read_cycles_active,avg,0,65536
14,2025-05-07 10:28:38.493 ,sm,mio_pq_write_cycles_active,avg,0,65536
14,2025-05-07 10:28:38.493 ,sm,pipe_tensor_cycles_active,avg,0,0
15,2025-05-07 10:28:38.671 ,idc,request_cycles_active,avg,0,0
15,2025-05-07 10:28:38.671 ,sm,inst_executed_pipe_adu,avg,0,65536
15,2025-05-07 10:28:38.671 ,sm,inst_executed_pipe_ipa,avg,0,0
15,2025-05-07 10:28:38.671 ,sm,inst_executed_pipe_lsu,avg,0,294912
15,2025-05-07 10:28:38.671 ,sm,inst_executed_pipe_tex,avg,0,0
15,2025-05-07 10:28:38.671 ,sm,mio2rf_writeback_active,avg,0,589824
15,2025-05-07 10:28:38.671 ,sm,mio_pq_read_cycles_active,avg,0,65536
15,2025-05-07 10:28:38.671 ,sm,mio_pq_write_cycles_active,avg,0,65536
15,2025-05-07 10:28:38.671 ,sm,pipe_tensor_cycles_active,avg,0,0
16,2025-05-07 10:28:38.858 ,idc,request_cycles_active,avg,0,0
16,2025-05-07 10:28:38.858 ,sm,inst_executed_pipe_adu,avg,0,16384
16,2025-05-07 10:28:38.858 ,sm,inst_executed_pipe_ipa,avg,0,0
16,2025-05-07 10:28:38.858 ,sm,inst_executed_pipe_lsu,avg,0,49152
16,2025-05-07 10:28:38.858 ,sm,inst_executed_pipe_tex,avg,0,0
16,2025-05-07 10:28:38.858 ,sm,mio2rf_writeback_active,avg,0,196608
16,2025-05-07 10:28:38.858 ,sm,mio_pq_read_cycles_active,avg,0,65536
16,2025-05-07 10:28:38.858 ,sm,mio_pq_write_cycles_active,avg,0,65536
16,2025-05-07 10:28:38.858 ,sm,pipe_tensor_cycles_active,avg,0,0
17,2025-05-07 10:28:39.038 ,idc,request_cycles_active,avg,0,0
17,2025-05-07 10:28:39.038 ,sm,inst_executed_pipe_adu,avg,0,36864
17,2025-05-07 10:28:39.038 ,sm,inst_executed_pipe_ipa,avg,0,0
17,2025-05-07 10:28:39.038 ,sm,inst_executed_pipe_lsu,avg,0,548864
17,2025-05-07 10:28:39.038 ,sm,inst_executed_pipe_tex,avg,0,0
17,2025-05-07 10:28:39.038 ,sm,mio2rf_writeback_active,avg,0,1.84776e+06
17,2025-05-07 10:28:39.038 ,sm,mio_pq_read_cycles_active,avg,0,153299
17,2025-05-07 10:28:39.038 ,sm,mio_pq_write_cycles_active,avg,0,152917
17,2025-05-07 10:28:39.038 ,sm,pipe_tensor_cycles_active,avg,0,0
18,2025-05-07 10:28:39.212 ,idc,request_cycles_active,avg,0,0
18,2025-05-07 10:28:39.212 ,sm,inst_executed_pipe_adu,avg,0,16384
18,2025-05-07 10:28:39.212 ,sm,inst_executed_pipe_ipa,avg,0,0
18,2025-05-07 10:28:39.212 ,sm,inst_executed_pipe_lsu,avg,0,73728
18,2025-05-07 10:28:39.212 ,sm,inst_executed_pipe_tex,avg,0,0
18,2025-05-07 10:28:39.212 ,sm,mio2rf_writeback_active,avg,0,147456
18,2025-05-07 10:28:39.212 ,sm,mio_pq_read_cycles_active,avg,0,16384
18,2025-05-07 10:28:39.212 ,sm,mio_pq_write_cycles_active,avg,0,16384
18,2025-05-07 10:28:39.212 ,sm,pipe_tensor_cycles_active,avg,0,0
19,2025-05-07 10:28:39.396 ,idc,request_cycles_active,avg,0,0
19,2025-05-07 10:28:39.396 ,sm,inst_executed_pipe_adu,avg,0,27648
19,2025-05-07 10:28:39.396 ,sm,inst_executed_pipe_ipa,avg,0,0
19,2025-05-07 10:28:39.396 ,sm,inst_executed_pipe_lsu,avg,0,295936
19,2025-05-07 10:28:39.396 ,sm,inst_executed_pipe_tex,avg,0,0
19,2025-05-07 10:28:39.396 ,sm,mio2rf_writeback_active,avg,0,602112
19,2025-05-07 10:28:39.396 ,sm,mio_pq_read_cycles_active,avg,0,231424
19,2025-05-07 10:28:39.396 ,sm,mio_pq_write_cycles_active,avg,0,231424
19,2025-05-07 10:28:39.396 ,sm,pipe_tensor_cycles_active,avg,0,2.09715e+06
20,2025-05-07 10:28:39.590 ,idc,request_cycles_active,avg,0,0
20,2025-05-07 10:28:39.590 ,sm,inst_executed_pipe_adu,avg,0,98304
20,2025-05-07 10:28:39.590 ,sm,inst_executed_pipe_ipa,avg,0,0
20,2025-05-07 10:28:39.590 ,sm,inst_executed_pipe_lsu,avg,0,442368
20,2025-05-07 10:28:39.590 ,sm,inst_executed_pipe_tex,avg,0,0
20,2025-05-07 10:28:39.590 ,sm,mio2rf_writeback_active,avg,0,884736
20,2025-05-07 10:28:39.590 ,sm,mio_pq_read_cycles_active,avg,0,98304
20,2025-05-07 10:28:39.590 ,sm,mio_pq_write_cycles_active,avg,0,98304
20,2025-05-07 10:28:39.590 ,sm,pipe_tensor_cycles_active,avg,0,0
21,2025-05-07 10:28:39.778 ,idc,request_cycles_active,avg,0,0
21,2025-05-07 10:28:39.778 ,sm,inst_executed_pipe_adu,avg,0,24576
21,2025-05-07 10:28:39.778 ,sm,inst_executed_pipe_ipa,avg,0,0
21,2025-05-07 10:28:39.778 ,sm,inst_executed_pipe_lsu,avg,0,73728
21,2025-05-07 10:28:39.778 ,sm,inst_executed_pipe_tex,avg,0,0
21,2025-05-07 10:28:39.778 ,sm,mio2rf_writeback_active,avg,0,294912
21,2025-05-07 10:28:39.778 ,sm,mio_pq_read_cycles_active,avg,0,98304
21,2025-05-07 10:28:39.778 ,sm,mio_pq_write_cycles_active,avg,0,98304
21,2025-05-07 10:28:39.778 ,sm,pipe_tensor_cycles_active,avg,0,0
22,2025-05-07 10:28:39.982 ,idc,request_cycles_active,avg,0,0
22,2025-05-07 10:28:39.982 ,sm,inst_executed_pipe_adu,avg,0,98304
22,2025-05-07 10:28:39.982 ,sm,inst_executed_pipe_ipa,avg,0,0
22,2025-05-07 10:28:39.982 ,sm,inst_executed_pipe_lsu,avg,0,2.06438e+06
22,2025-05-07 10:28:39.982 ,sm,inst_executed_pipe_tex,avg,0,0
22,2025-05-07 10:28:39.982 ,sm,mio2rf_writeback_active,avg,0,3.9343e+06
