session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-07 11:04:40.131 ,idc,request_cycles_active,avg,0,0
1,2025-05-07 11:04:40.131 ,sm,inst_executed_pipe_adu,avg,0,3.04167
1,2025-05-07 11:04:40.131 ,sm,inst_executed_pipe_ipa,avg,0,0
1,2025-05-07 11:04:40.131 ,sm,inst_executed_pipe_lsu,avg,0,4.41667
1,2025-05-07 11:04:40.131 ,sm,inst_executed_pipe_tex,avg,0,0
1,2025-05-07 11:04:40.131 ,sm,mio2rf_writeback_active,avg,0,6.66667
1,2025-05-07 11:04:40.131 ,sm,mio_pq_read_cycles_active,avg,0,2.75
1,2025-05-07 11:04:40.131 ,sm,mio_pq_write_cycles_active,avg,0,2.75
1,2025-05-07 11:04:40.131 ,sm,pipe_tensor_cycles_active,avg,0,0
2,2025-05-07 11:04:40.361 ,idc,request_cycles_active,avg,0,8.06106e+06
2,2025-05-07 11:04:40.361 ,sm,inst_executed_pipe_adu,avg,0,4.32544e+06
2,2025-05-07 11:04:40.361 ,sm,inst_executed_pipe_ipa,avg,0,0
2,2025-05-07 11:04:40.361 ,sm,inst_executed_pipe_lsu,avg,0,7.13796e+06
2,2025-05-07 11:04:40.361 ,sm,inst_executed_pipe_tex,avg,0,0
2,2025-05-07 11:04:40.361 ,sm,mio2rf_writeback_active,avg,0,2.66648e+07
2,2025-05-07 11:04:40.361 ,sm,mio_pq_read_cycles_active,avg,0,6.14952e+06
2,2025-05-07 11:04:40.361 ,sm,mio_pq_write_cycles_active,avg,0,3.46255e+06
2,2025-05-07 11:04:40.361 ,sm,pipe_tensor_cycles_active,avg,0,0
3,2025-05-07 11:04:40.598 ,idc,request_cycles_active,avg,0,0
3,2025-05-07 11:04:40.598 ,sm,inst_executed_pipe_adu,avg,0,349525
3,2025-05-07 11:04:40.598 ,sm,inst_executed_pipe_ipa,avg,0,0
3,2025-05-07 11:04:40.598 ,sm,inst_executed_pipe_lsu,avg,0,1.57286e+06
3,2025-05-07 11:04:40.598 ,sm,inst_executed_pipe_tex,avg,0,0
3,2025-05-07 11:04:40.598 ,sm,mio2rf_writeback_active,avg,0,3.14573e+06
3,2025-05-07 11:04:40.598 ,sm,mio_pq_read_cycles_active,avg,0,349525
3,2025-05-07 11:04:40.598 ,sm,mio_pq_write_cycles_active,avg,0,349525
3,2025-05-07 11:04:40.598 ,sm,pipe_tensor_cycles_active,avg,0,0
4,2025-05-07 11:04:40.826 ,idc,request_cycles_active,avg,0,0
4,2025-05-07 11:04:40.826 ,sm,inst_executed_pipe_adu,avg,0,87381.3
4,2025-05-07 11:04:40.826 ,sm,inst_executed_pipe_ipa,avg,0,0
4,2025-05-07 11:04:40.826 ,sm,inst_executed_pipe_lsu,avg,0,262144
4,2025-05-07 11:04:40.826 ,sm,inst_executed_pipe_tex,avg,0,0
4,2025-05-07 11:04:40.826 ,sm,mio2rf_writeback_active,avg,0,1.04858e+06
4,2025-05-07 11:04:40.826 ,sm,mio_pq_read_cycles_active,avg,0,349525
4,2025-05-07 11:04:40.826 ,sm,mio_pq_write_cycles_active,avg,0,349525
4,2025-05-07 11:04:40.826 ,sm,pipe_tensor_cycles_active,avg,0,0
5,2025-05-07 11:04:41.078 ,idc,request_cycles_active,avg,0,0
5,2025-05-07 11:04:41.078 ,sm,inst_executed_pipe_adu,avg,0,87381.3
5,2025-05-07 11:04:41.078 ,sm,inst_executed_pipe_ipa,avg,0,0
5,2025-05-07 11:04:41.078 ,sm,inst_executed_pipe_lsu,avg,0,1.04858e+06
5,2025-05-07 11:04:41.078 ,sm,inst_executed_pipe_tex,avg,0,0
5,2025-05-07 11:04:41.078 ,sm,mio2rf_writeback_active,avg,0,1.9694e+06
5,2025-05-07 11:04:41.078 ,sm,mio_pq_read_cycles_active,avg,0,262144
5,2025-05-07 11:04:41.078 ,sm,mio_pq_write_cycles_active,avg,0,262144
5,2025-05-07 11:04:41.078 ,sm,pipe_tensor_cycles_active,avg,0,0
6,2025-05-07 11:04:41.256 ,idc,request_cycles_active,avg,0,0
6,2025-05-07 11:04:41.256 ,sm,inst_executed_pipe_adu,avg,0,109227
6,2025-05-07 11:04:41.256 ,sm,inst_executed_pipe_ipa,avg,0,0
6,2025-05-07 11:04:41.256 ,sm,inst_executed_pipe_lsu,avg,0,371371
6,2025-05-07 11:04:41.256 ,sm,inst_executed_pipe_tex,avg,0,0
6,2025-05-07 11:04:41.256 ,sm,mio2rf_writeback_active,avg,0,567979
6,2025-05-07 11:04:41.256 ,sm,mio_pq_read_cycles_active,avg,0,174763
6,2025-05-07 11:04:41.256 ,sm,mio_pq_write_cycles_active,avg,0,174763
6,2025-05-07 11:04:41.256 ,sm,pipe_tensor_cycles_active,avg,0,0
7,2025-05-07 11:04:41.606 ,idc,request_cycles_active,avg,0,0
7,2025-05-07 11:04:41.606 ,sm,inst_executed_pipe_adu,avg,0,213.333
7,2025-05-07 11:04:41.606 ,sm,inst_executed_pipe_ipa,avg,0,0
7,2025-05-07 11:04:41.606 ,sm,inst_executed_pipe_lsu,avg,0,480
7,2025-05-07 11:04:41.606 ,sm,inst_executed_pipe_tex,avg,0,0
7,2025-05-07 11:04:41.606 ,sm,mio2rf_writeback_active,avg,0,865.5
7,2025-05-07 11:04:41.606 ,sm,mio_pq_read_cycles_active,avg,0,218.667
7,2025-05-07 11:04:41.606 ,sm,mio_pq_write_cycles_active,avg,0,218.667
7,2025-05-07 11:04:41.606 ,sm,pipe_tensor_cycles_active,avg,0,0
8,2025-05-07 11:04:41.789 ,idc,request_cycles_active,avg,0,0
8,2025-05-07 11:04:41.789 ,sm,inst_executed_pipe_adu,avg,0,87381.3
8,2025-05-07 11:04:41.789 ,sm,inst_executed_pipe_ipa,avg,0,0
8,2025-05-07 11:04:41.789 ,sm,inst_executed_pipe_lsu,avg,0,393216
8,2025-05-07 11:04:41.789 ,sm,inst_executed_pipe_tex,avg,0,0
8,2025-05-07 11:04:41.789 ,sm,mio2rf_writeback_active,avg,0,786432
8,2025-05-07 11:04:41.789 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
8,2025-05-07 11:04:41.789 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
8,2025-05-07 11:04:41.789 ,sm,pipe_tensor_cycles_active,avg,0,0
9,2025-05-07 11:04:41.968 ,idc,request_cycles_active,avg,0,0
9,2025-05-07 11:04:41.968 ,sm,inst_executed_pipe_adu,avg,0,21845.3
9,2025-05-07 11:04:41.968 ,sm,inst_executed_pipe_ipa,avg,0,0
9,2025-05-07 11:04:41.968 ,sm,inst_executed_pipe_lsu,avg,0,65536
9,2025-05-07 11:04:41.968 ,sm,inst_executed_pipe_tex,avg,0,0
9,2025-05-07 11:04:41.968 ,sm,mio2rf_writeback_active,avg,0,262144
9,2025-05-07 11:04:41.968 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
9,2025-05-07 11:04:41.968 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
9,2025-05-07 11:04:41.968 ,sm,pipe_tensor_cycles_active,avg,0,0
10,2025-05-07 11:04:42.149 ,idc,request_cycles_active,avg,0,0
10,2025-05-07 11:04:42.149 ,sm,inst_executed_pipe_adu,avg,0,109227
10,2025-05-07 11:04:42.149 ,sm,inst_executed_pipe_ipa,avg,0,0
10,2025-05-07 11:04:42.149 ,sm,inst_executed_pipe_lsu,avg,0,371371
10,2025-05-07 11:04:42.149 ,sm,inst_executed_pipe_tex,avg,0,0
10,2025-05-07 11:04:42.149 ,sm,mio2rf_writeback_active,avg,0,567979
10,2025-05-07 11:04:42.149 ,sm,mio_pq_read_cycles_active,avg,0,174763
10,2025-05-07 11:04:42.149 ,sm,mio_pq_write_cycles_active,avg,0,174763
10,2025-05-07 11:04:42.149 ,sm,pipe_tensor_cycles_active,avg,0,0
11,2025-05-07 11:04:42.501 ,idc,request_cycles_active,avg,0,0
11,2025-05-07 11:04:42.501 ,sm,inst_executed_pipe_adu,avg,0,213.333
11,2025-05-07 11:04:42.501 ,sm,inst_executed_pipe_ipa,avg,0,0
11,2025-05-07 11:04:42.501 ,sm,inst_executed_pipe_lsu,avg,0,480
11,2025-05-07 11:04:42.501 ,sm,inst_executed_pipe_tex,avg,0,0
11,2025-05-07 11:04:42.501 ,sm,mio2rf_writeback_active,avg,0,865.583
11,2025-05-07 11:04:42.501 ,sm,mio_pq_read_cycles_active,avg,0,218.667
11,2025-05-07 11:04:42.501 ,sm,mio_pq_write_cycles_active,avg,0,218.667
11,2025-05-07 11:04:42.501 ,sm,pipe_tensor_cycles_active,avg,0,0
12,2025-05-07 11:04:42.688 ,idc,request_cycles_active,avg,0,0
12,2025-05-07 11:04:42.688 ,sm,inst_executed_pipe_adu,avg,0,87381.3
12,2025-05-07 11:04:42.688 ,sm,inst_executed_pipe_ipa,avg,0,0
12,2025-05-07 11:04:42.688 ,sm,inst_executed_pipe_lsu,avg,0,393216
12,2025-05-07 11:04:42.688 ,sm,inst_executed_pipe_tex,avg,0,0
12,2025-05-07 11:04:42.688 ,sm,mio2rf_writeback_active,avg,0,786432
12,2025-05-07 11:04:42.688 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
12,2025-05-07 11:04:42.688 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
12,2025-05-07 11:04:42.688 ,sm,pipe_tensor_cycles_active,avg,0,0
13,2025-05-07 11:04:42.874 ,idc,request_cycles_active,avg,0,0
13,2025-05-07 11:04:42.874 ,sm,inst_executed_pipe_adu,avg,0,21845.3
13,2025-05-07 11:04:42.874 ,sm,inst_executed_pipe_ipa,avg,0,0
13,2025-05-07 11:04:42.874 ,sm,inst_executed_pipe_lsu,avg,0,87381.3
13,2025-05-07 11:04:42.874 ,sm,inst_executed_pipe_tex,avg,0,0
13,2025-05-07 11:04:42.874 ,sm,mio2rf_writeback_active,avg,0,436907
13,2025-05-07 11:04:42.874 ,sm,mio_pq_read_cycles_active,avg,0,87381.3
13,2025-05-07 11:04:42.874 ,sm,mio_pq_write_cycles_active,avg,0,87381.3
