timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 11:04:36.829,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.164,-1,-1,-1,-1
2025-05-07 11:04:37.836,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,1470,7000,1470,-1,8.095,-1,-1,-1,-1
2025-05-07 11:04:38.837,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,2,0,8188,529,7659,1515,7000,1515,-1,8.395,-1,-1,-1,-1
2025-05-07 11:04:39.838,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,529,7659,1515,7000,1515,-1,8.367,-1,-1,-1,-1
2025-05-07 11:04:40.840,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,79,58,8188,2801,5387,1755,7000,1755,-1,19.703,-1,-1,-1,-1
2025-05-07 11:04:41.843,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,84,37,8188,2805,5383,1260,8000,1260,-1,30.813,-1,-1,-1,-1
2025-05-07 11:04:42.845,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,82,38,8188,5115,3073,1380,8000,1380,-1,31.253,-1,-1,-1,-1
2025-05-07 11:04:43.847,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,91,45,8188,5115,3073,2040,8000,2040,-1,31.6,-1,-1,-1,-1
2025-05-07 11:04:44.849,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,92,37,8188,5115,3073,1125,8000,1125,-1,31.088,-1,-1,-1,-1
2025-05-07 11:04:45.852,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,86,38,8188,5115,3073,1995,8000,1995,-1,31.463,-1,-1,-1,-1
2025-05-07 11:04:46.854,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,72,36,8188,2813,5375,1350,8000,1350,-1,30.07,-1,-1,-1,-1
2025-05-07 11:04:47.855,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,87,34,8188,2813,5375,1230,8000,1230,-1,31.866,-1,-1,-1,-1
2025-05-07 11:04:48.857,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,90,38,8188,5119,3069,2040,8000,2040,-1,30.869,-1,-1,-1,-1
2025-05-07 11:04:49.858,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,80,33,8188,2813,5375,1695,8000,1695,-1,30.125,-1,-1,-1,-1
2025-05-07 11:04:50.860,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,94,33,8188,2813,5375,1200,8000,1200,-1,31.13,-1,-1,-1,-1
2025-05-07 11:04:51.864,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,82,36,8188,5123,3065,1350,8000,1350,-1,31.05,-1,-1,-1,-1
2025-05-07 11:04:52.866,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,84,33,8188,5123,3065,1575,8000,1575,-1,31.164,-1,-1,-1,-1
2025-05-07 11:04:53.868,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,75,32,8188,2817,5371,1140,8000,1140,-1,31.133,-1,-1,-1,-1
2025-05-07 11:04:54.873,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,83,32,8188,2817,5371,1425,8000,1425,-1,30.841,-1,-1,-1,-1
2025-05-07 11:04:55.875,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,85,35,8188,5123,3065,2040,8000,2040,-1,30.258,-1,-1,-1,-1
2025-05-07 11:04:56.877,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,79,40,8188,5123,3065,2040,8000,2040,-1,30.414,-1,-1,-1,-1
2025-05-07 11:04:57.878,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,85,33,8188,5123,3065,2040,8000,2040,-1,31.009,-1,-1,-1,-1
2025-05-07 11:04:58.881,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,82,33,8188,2831,5357,1590,8000,1590,-1,30.535,-1,-1,-1,-1
2025-05-07 11:04:59.883,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,76,33,8188,5165,3023,1485,8000,1485,-1,30.061,-1,-1,-1,-1
2025-05-07 11:05:00.885,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,94,51,8188,7213,975,1980,7000,1980,-1,31.397,-1,-1,-1,-1
2025-05-07 11:05:01.887,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,81,37,8188,7213,975,1530,8000,1530,-1,32.109,-1,-1,-1,-1
2025-05-07 11:05:02.889,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,88,43,8188,7213,975,2040,8000,2040,-1,31.481,-1,-1,-1,-1
2025-05-07 11:05:03.890,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,91,44,8188,7213,975,2040,7000,2040,-1,31.347,-1,-1,-1,-1
2025-05-07 11:05:04.892,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,90,45,8188,7213,975,1230,8000,1230,-1,31.647,-1,-1,-1,-1
2025-05-07 11:05:05.894,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,92,30,8188,3873,4315,1515,8000,1515,-1,32.568,-1,-1,-1,-1
2025-05-07 11:05:06.896,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,91,51,8188,7213,975,2040,8000,2040,-1,31.649,-1,-1,-1,-1
2025-05-07 11:05:07.898,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,92,46,8188,7213,975,1695,7000,1695,-1,31.474,-1,-1,-1,-1
2025-05-07 11:05:08.901,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,92,34,8188,3873,4315,1815,8000,1815,-1,32.095,-1,-1,-1,-1
2025-05-07 11:05:09.906,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,92,49,8188,7213,975,1755,7000,1755,-1,30.77,-1,-1,-1,-1
2025-05-07 11:05:10.928,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,87,43,8188,7213,975,1620,7000,1620,-1,31.89,-1,-1,-1,-1
2025-05-07 11:05:12.003,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,92,40,8188,7213,975,2040,8000,2040,-1,31.718,-1,-1,-1,-1
2025-05-07 11:05:13.005,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,91,40,8188,3873,4315,915,8000,915,-1,31.884,-1,-1,-1,-1
2025-05-07 11:05:14.007,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,91,44,8188,7213,975,2040,7000,2040,-1,31.827,-1,-1,-1,-1
2025-05-07 11:05:15.009,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,92,36,8188,7213,975,1110,8000,1110,-1,31.925,-1,-1,-1,-1
2025-05-07 11:05:16.010,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,91,49,8188,7213,975,2040,7000,2040,-1,31.268,-1,-1,-1,-1
2025-05-07 11:05:17.013,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,87,34,8188,7213,975,1245,8000,1245,-1,32.799,-1,-1,-1,-1
2025-05-07 11:05:18.016,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,91,49,8188,3873,4315,2040,7000,2040,-1,31.04,-1,-1,-1,-1
2025-05-07 11:05:19.020,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,89,40,8188,7213,975,2040,7000,2040,-1,32.353,-1,-1,-1,-1
2025-05-07 11:05:20.022,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,92,39,8188,3873,4315,1275,8000,1275,-1,30.828,-1,-1,-1,-1
2025-05-07 11:05:21.027,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,88,39,8188,7213,975,2040,8000,2040,-1,32.161,-1,-1,-1,-1
2025-05-07 11:05:22.030,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,89,40,8188,7213,975,2040,8000,2040,-1,32.565,-1,-1,-1,-1
2025-05-07 11:05:23.032,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,87,46,8188,3873,4315,1650,8000,1650,-1,30.74,-1,-1,-1,-1
2025-05-07 11:05:24.034,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,92,45,8188,7213,975,2040,7000,2040,-1,31.694,-1,-1,-1,-1
2025-05-07 11:05:25.035,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,92,38,8188,3873,4315,1110,8000,1110,-1,31.389,-1,-1,-1,-1
