timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 08:41:12.673,0,NVIDIA GeForce RTX 4060 Laptop GPU,38,0,0,8188,353,7835,1470,7000,1470,-1,8.703,-1,-1,-1,-1
2025-05-07 08:41:13.681,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,465,7723,1470,7000,1470,-1,8.37,-1,-1,-1,-1
2025-05-07 08:41:14.683,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,99,25,8188,7933,255,1245,5500,1245,-1,23.225,-1,-1,-1,-1
2025-05-07 08:41:15.685,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,98,34,8188,7933,255,1215,5500,1215,-1,31.024,-1,-1,-1,-1
2025-05-07 08:41:16.686,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,99,34,8188,7933,255,1230,5500,1230,-1,33.5,-1,-1,-1,-1
2025-05-07 08:41:17.688,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,99,25,8188,7933,255,2040,5500,2040,-1,31.915,-1,-1,-1,-1
2025-05-07 08:41:18.691,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,94,15,8188,7933,255,1860,5500,1860,-1,31.728,-1,-1,-1,-1
2025-05-07 08:41:19.693,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,97,38,8188,7933,255,1245,5500,1245,-1,32.254,-1,-1,-1,-1
2025-05-07 08:41:20.695,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,99,22,8188,7933,255,1245,5500,1245,-1,32.995,-1,-1,-1,-1
2025-05-07 08:41:21.697,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,99,17,8188,7933,255,1185,5500,1185,-1,32.222,-1,-1,-1,-1
2025-05-07 08:41:22.699,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,98,19,8188,7933,255,2040,5500,2040,-1,31.944,-1,-1,-1,-1
2025-05-07 08:41:23.700,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,98,17,8188,7933,255,2040,5500,2040,-1,33.38,-1,-1,-1,-1
2025-05-07 08:41:24.703,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,100,18,8188,7933,255,2040,5500,2040,-1,33.046,-1,-1,-1,-1
2025-05-07 08:41:25.705,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,98,18,8188,4317,3871,1395,5500,1395,-1,33.031,-1,-1,-1,-1
2025-05-07 08:41:26.707,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,17,8188,7933,255,1140,5500,1140,-1,32.571,-1,-1,-1,-1
2025-05-07 08:41:27.709,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,99,15,8188,7933,255,1155,5500,1155,-1,31.539,-1,-1,-1,-1
2025-05-07 08:41:28.711,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,66,31,8188,7933,255,1185,7000,1185,-1,30.643,-1,-1,-1,-1
2025-05-07 08:41:29.713,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,68,38,8188,7933,255,1245,5500,1245,-1,33.14,-1,-1,-1,-1
