timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 20:00:29.427,0,NVIDIA GeForce RTX 4060 Laptop GPU,38,0,0,8188,353,7835,1470,7000,1470,-1,8.355,-1,-1,-1,-1
2025-05-07 20:00:30.434,0,NVIDIA GeForce RTX 4060 Laptop GPU,38,0,0,8188,465,7723,1470,7000,1470,-1,8.142,-1,-1,-1,-1
2025-05-07 20:00:31.436,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,493,7695,1575,7000,1575,-1,8.568,-1,-1,-1,-1
2025-05-07 20:00:32.437,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,48,29,8188,1391,6797,1860,8000,1860,-1,16.278,-1,-1,-1,-1
2025-05-07 20:00:33.440,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,87,46,8188,5365,2823,2040,8000,2040,-1,29.006,-1,-1,-1,-1
2025-05-07 20:00:34.442,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,85,36,8188,5369,2819,1185,8000,1185,-1,30.337,-1,-1,-1,-1
2025-05-07 20:00:35.444,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,80,38,8188,5369,2819,1425,8000,1425,-1,30.447,-1,-1,-1,-1
2025-05-07 20:00:36.447,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,81,42,8188,2943,5245,2040,8000,2040,-1,30.248,-1,-1,-1,-1
2025-05-07 20:00:37.452,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,85,38,8188,5373,2815,2040,8000,2040,-1,30.767,-1,-1,-1,-1
2025-05-07 20:00:38.455,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,83,38,8188,5373,2815,1530,8000,1530,-1,30.981,-1,-1,-1,-1
2025-05-07 20:00:39.457,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,83,36,8188,2943,5245,1170,8000,1170,-1,30.777,-1,-1,-1,-1
2025-05-07 20:00:40.459,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,75,35,8188,5373,2815,2040,8000,2040,-1,30.384,-1,-1,-1,-1
2025-05-07 20:00:41.461,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,80,36,8188,2943,5245,1680,8000,1680,-1,29.941,-1,-1,-1,-1
2025-05-07 20:00:42.462,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,84,34,8188,2943,5245,1215,8000,1215,-1,30.621,-1,-1,-1,-1
2025-05-07 20:00:43.464,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,86,38,8188,5373,2815,2040,8000,2040,-1,31.481,-1,-1,-1,-1
2025-05-07 20:00:44.466,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,82,44,8188,5373,2815,1380,8000,1380,-1,30.544,-1,-1,-1,-1
2025-05-07 20:00:45.468,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,82,33,8188,2943,5245,1665,8000,1665,-1,30.417,-1,-1,-1,-1
2025-05-07 20:00:46.474,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,82,40,8188,5373,2815,2040,8000,2040,-1,30.548,-1,-1,-1,-1
2025-05-07 20:00:47.476,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,85,35,8188,2943,5245,1965,8000,1965,-1,31.174,-1,-1,-1,-1
2025-05-07 20:00:48.478,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,81,35,8188,2945,5243,1200,8000,1200,-1,31.072,-1,-1,-1,-1
2025-05-07 20:00:49.486,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,83,38,8188,5377,2811,2040,8000,2040,-1,30.695,-1,-1,-1,-1
2025-05-07 20:00:50.488,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,78,34,8188,2947,5241,1215,8000,1215,-1,29.633,-1,-1,-1,-1
2025-05-07 20:00:51.489,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,81,36,8188,2947,5241,1635,8000,1635,-1,30.447,-1,-1,-1,-1
2025-05-07 20:00:52.494,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,85,44,8188,5377,2811,2040,8000,2040,-1,30.419,-1,-1,-1,-1
2025-05-07 20:00:53.496,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,83,40,8188,5377,2811,1575,8000,1575,-1,31.633,-1,-1,-1,-1
