timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 20:36:30.787,0,NVIDIA GeForce RTX 4060 Laptop GPU,38,0,0,8188,353,7835,1470,7000,1470,-1,8.228,-1,-1,-1,-1
2025-05-07 20:36:31.793,0,NVIDIA GeForce RTX 4060 Laptop GPU,38,0,0,8188,465,7723,1470,7000,1470,-1,8.081,-1,-1,-1,-1
2025-05-07 20:36:32.796,0,NVIDIA GeForce RTX 4060 Laptop GPU,38,0,0,8188,529,7659,1515,7000,1515,-1,8.431,-1,-1,-1,-1
2025-05-07 20:36:33.798,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,69,34,8188,5091,3097,2040,8000,2040,-1,13.947,-1,-1,-1,-1
2025-05-07 20:36:34.802,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,83,45,8188,5111,3077,1140,8000,1140,-1,30.68,-1,-1,-1,-1
2025-05-07 20:36:35.804,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,84,36,8188,5111,3077,1620,8000,1620,-1,31.748,-1,-1,-1,-1
2025-05-07 20:36:36.806,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,82,45,8188,5115,3073,1905,8000,1905,-1,31.122,-1,-1,-1,-1
2025-05-07 20:36:37.808,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,71,34,8188,5115,3073,1350,8000,1350,-1,31.542,-1,-1,-1,-1
2025-05-07 20:36:38.810,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,81,38,8188,5115,3073,1695,8000,1695,-1,30.86,-1,-1,-1,-1
2025-05-07 20:36:39.832,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,83,33,8188,2811,5377,1470,8000,1470,-1,31.491,-1,-1,-1,-1
2025-05-07 20:36:40.835,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,84,39,8188,5119,3069,2040,8000,2040,-1,30.685,-1,-1,-1,-1
2025-05-07 20:36:41.837,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,74,37,8188,5119,3069,1515,8000,1515,-1,30.575,-1,-1,-1,-1
