session_id,duration_ms,location,metric_name,rollup_operation,range_name,metric_value
1,2025-05-07 18:13:12.644 ,idc,request_cycles_active,avg,0,0
1,2025-05-07 18:13:12.644 ,sm,inst_executed_pipe_adu,avg,0,1.00602
1,2025-05-07 18:13:12.644 ,sm,inst_executed_pipe_ipa,avg,0,0
1,2025-05-07 18:13:12.644 ,sm,inst_executed_pipe_lsu,avg,0,62.5167
1,2025-05-07 18:13:12.644 ,sm,inst_executed_pipe_tex,avg,0,0.000950867
1,2025-05-07 18:13:12.644 ,sm,mio2rf_writeback_active,avg,0,19.4999
1,2025-05-07 18:13:12.644 ,sm,mio_pq_read_cycles_active,avg,0,7.85797
1,2025-05-07 18:13:12.644 ,sm,mio_pq_write_cycles_active,avg,0,7.85797
1,2025-05-07 18:13:12.644 ,sm,pipe_tensor_cycles_active,avg,0,0
2,2025-05-07 18:13:13.679 ,idc,request_cycles_active,avg,0,0
2,2025-05-07 18:13:13.679 ,sm,inst_executed_pipe_adu,avg,0,1.00662
2,2025-05-07 18:13:13.679 ,sm,inst_executed_pipe_ipa,avg,0,0
2,2025-05-07 18:13:13.679 ,sm,inst_executed_pipe_lsu,avg,0,62.5544
2,2025-05-07 18:13:13.679 ,sm,inst_executed_pipe_tex,avg,0,0.000951441
2,2025-05-07 18:13:13.679 ,sm,mio2rf_writeback_active,avg,0,19.5117
2,2025-05-07 18:13:13.679 ,sm,mio_pq_read_cycles_active,avg,0,7.86271
2,2025-05-07 18:13:13.679 ,sm,mio_pq_write_cycles_active,avg,0,7.86271
2,2025-05-07 18:13:13.679 ,sm,pipe_tensor_cycles_active,avg,0,0
3,2025-05-07 18:13:14.737 ,idc,request_cycles_active,avg,0,0
3,2025-05-07 18:13:14.737 ,sm,inst_executed_pipe_adu,avg,0,1.00645
3,2025-05-07 18:13:14.737 ,sm,inst_executed_pipe_ipa,avg,0,0
3,2025-05-07 18:13:14.737 ,sm,inst_executed_pipe_lsu,avg,0,62.5437
3,2025-05-07 18:13:14.737 ,sm,inst_executed_pipe_tex,avg,0,0.000951278
3,2025-05-07 18:13:14.737 ,sm,mio2rf_writeback_active,avg,0,19.5086
3,2025-05-07 18:13:14.737 ,sm,mio_pq_read_cycles_active,avg,0,7.86136
3,2025-05-07 18:13:14.737 ,sm,mio_pq_write_cycles_active,avg,0,7.86136
3,2025-05-07 18:13:14.737 ,sm,pipe_tensor_cycles_active,avg,0,0
4,2025-05-07 18:13:15.808 ,idc,request_cycles_active,avg,0,0
4,2025-05-07 18:13:15.808 ,sm,inst_executed_pipe_adu,avg,0,1.00647
4,2025-05-07 18:13:15.808 ,sm,inst_executed_pipe_ipa,avg,0,0
4,2025-05-07 18:13:15.808 ,sm,inst_executed_pipe_lsu,avg,0,62.545
4,2025-05-07 18:13:15.808 ,sm,inst_executed_pipe_tex,avg,0,0.000951298
4,2025-05-07 18:13:15.808 ,sm,mio2rf_writeback_active,avg,0,19.5091
4,2025-05-07 18:13:15.808 ,sm,mio_pq_read_cycles_active,avg,0,7.86153
4,2025-05-07 18:13:15.808 ,sm,mio_pq_write_cycles_active,avg,0,7.86153
4,2025-05-07 18:13:15.808 ,sm,pipe_tensor_cycles_active,avg,0,0
5,2025-05-07 18:13:16.884 ,idc,request_cycles_active,avg,0,0
5,2025-05-07 18:13:16.884 ,sm,inst_executed_pipe_adu,avg,0,1.00664
5,2025-05-07 18:13:16.884 ,sm,inst_executed_pipe_ipa,avg,0,0
5,2025-05-07 18:13:16.884 ,sm,inst_executed_pipe_lsu,avg,0,62.5551
5,2025-05-07 18:13:16.884 ,sm,inst_executed_pipe_tex,avg,0,0.000951452
5,2025-05-07 18:13:16.884 ,sm,mio2rf_writeback_active,avg,0,19.5125
5,2025-05-07 18:13:16.884 ,sm,mio_pq_read_cycles_active,avg,0,7.8628
5,2025-05-07 18:13:16.884 ,sm,mio_pq_write_cycles_active,avg,0,7.8628
5,2025-05-07 18:13:16.884 ,sm,pipe_tensor_cycles_active,avg,0,0
6,2025-05-07 18:13:17.950 ,idc,request_cycles_active,avg,0,0
6,2025-05-07 18:13:17.950 ,sm,inst_executed_pipe_adu,avg,0,1.00696
6,2025-05-07 18:13:17.950 ,sm,inst_executed_pipe_ipa,avg,0,0
6,2025-05-07 18:13:17.950 ,sm,inst_executed_pipe_lsu,avg,0,62.5754
6,2025-05-07 18:13:17.950 ,sm,inst_executed_pipe_tex,avg,0,0.00095176
6,2025-05-07 18:13:17.950 ,sm,mio2rf_writeback_active,avg,0,19.5186
6,2025-05-07 18:13:17.950 ,sm,mio_pq_read_cycles_active,avg,0,7.86535
6,2025-05-07 18:13:17.950 ,sm,mio_pq_write_cycles_active,avg,0,7.86535
6,2025-05-07 18:13:17.950 ,sm,pipe_tensor_cycles_active,avg,0,0
7,2025-05-07 18:13:18.989 ,idc,request_cycles_active,avg,0,0
7,2025-05-07 18:13:18.989 ,sm,inst_executed_pipe_adu,avg,0,1.00617
7,2025-05-07 18:13:18.989 ,sm,inst_executed_pipe_ipa,avg,0,0
7,2025-05-07 18:13:18.989 ,sm,inst_executed_pipe_lsu,avg,0,62.5259
7,2025-05-07 18:13:18.989 ,sm,inst_executed_pipe_tex,avg,0,0.000951008
7,2025-05-07 18:13:18.989 ,sm,mio2rf_writeback_active,avg,0,19.5026
7,2025-05-07 18:13:18.989 ,sm,mio_pq_read_cycles_active,avg,0,7.85913
7,2025-05-07 18:13:18.989 ,sm,mio_pq_write_cycles_active,avg,0,7.85913
7,2025-05-07 18:13:18.989 ,sm,pipe_tensor_cycles_active,avg,0,0
8,2025-05-07 18:13:20.072 ,idc,request_cycles_active,avg,0,0
8,2025-05-07 18:13:20.072 ,sm,inst_executed_pipe_adu,avg,0,1.0065
8,2025-05-07 18:13:20.072 ,sm,inst_executed_pipe_ipa,avg,0,0
8,2025-05-07 18:13:20.072 ,sm,inst_executed_pipe_lsu,avg,0,62.5469
8,2025-05-07 18:13:20.072 ,sm,inst_executed_pipe_tex,avg,0,0.000951327
8,2025-05-07 18:13:20.072 ,sm,mio2rf_writeback_active,avg,0,19.5096
8,2025-05-07 18:13:20.072 ,sm,mio_pq_read_cycles_active,avg,0,7.86177
8,2025-05-07 18:13:20.072 ,sm,mio_pq_write_cycles_active,avg,0,7.86177
8,2025-05-07 18:13:20.072 ,sm,pipe_tensor_cycles_active,avg,0,0
9,2025-05-07 18:13:21.133 ,idc,request_cycles_active,avg,0,0
9,2025-05-07 18:13:21.133 ,sm,inst_executed_pipe_adu,avg,0,1.00663
9,2025-05-07 18:13:21.133 ,sm,inst_executed_pipe_ipa,avg,0,0
9,2025-05-07 18:13:21.133 ,sm,inst_executed_pipe_lsu,avg,0,62.5547
9,2025-05-07 18:13:21.133 ,sm,inst_executed_pipe_tex,avg,0,0.000951446
9,2025-05-07 18:13:21.133 ,sm,mio2rf_writeback_active,avg,0,19.5116
9,2025-05-07 18:13:21.133 ,sm,mio_pq_read_cycles_active,avg,0,7.86275
9,2025-05-07 18:13:21.133 ,sm,mio_pq_write_cycles_active,avg,0,7.86275
9,2025-05-07 18:13:21.133 ,sm,pipe_tensor_cycles_active,avg,0,0
10,2025-05-07 18:13:22.203 ,idc,request_cycles_active,avg,0,0
10,2025-05-07 18:13:22.203 ,sm,inst_executed_pipe_adu,avg,0,1.00671
10,2025-05-07 18:13:22.203 ,sm,inst_executed_pipe_ipa,avg,0,0
10,2025-05-07 18:13:22.203 ,sm,inst_executed_pipe_lsu,avg,0,62.5598
10,2025-05-07 18:13:22.203 ,sm,inst_executed_pipe_tex,avg,0,0.000951523
10,2025-05-07 18:13:22.203 ,sm,mio2rf_writeback_active,avg,0,19.5138
10,2025-05-07 18:13:22.203 ,sm,mio_pq_read_cycles_active,avg,0,7.86339
10,2025-05-07 18:13:22.203 ,sm,mio_pq_write_cycles_active,avg,0,7.86339
10,2025-05-07 18:13:22.203 ,sm,pipe_tensor_cycles_active,avg,0,0
11,2025-05-07 18:13:23.271 ,idc,request_cycles_active,avg,0,0
11,2025-05-07 18:13:23.271 ,sm,inst_executed_pipe_adu,avg,0,1.00691
11,2025-05-07 18:13:23.271 ,sm,inst_executed_pipe_ipa,avg,0,0
11,2025-05-07 18:13:23.271 ,sm,inst_executed_pipe_lsu,avg,0,62.572
11,2025-05-07 18:13:23.271 ,sm,inst_executed_pipe_tex,avg,0,0.000951708
11,2025-05-07 18:13:23.271 ,sm,mio2rf_writeback_active,avg,0,19.5176
11,2025-05-07 18:13:23.271 ,sm,mio_pq_read_cycles_active,avg,0,7.86492
11,2025-05-07 18:13:23.271 ,sm,mio_pq_write_cycles_active,avg,0,7.86492
11,2025-05-07 18:13:23.271 ,sm,pipe_tensor_cycles_active,avg,0,0
12,2025-05-07 18:13:24.322 ,idc,request_cycles_active,avg,0,0
12,2025-05-07 18:13:24.322 ,sm,inst_executed_pipe_adu,avg,0,1.00676
12,2025-05-07 18:13:24.322 ,sm,inst_executed_pipe_ipa,avg,0,0
12,2025-05-07 18:13:24.322 ,sm,inst_executed_pipe_lsu,avg,0,62.563
12,2025-05-07 18:13:24.322 ,sm,inst_executed_pipe_tex,avg,0,0.000951572
12,2025-05-07 18:13:24.322 ,sm,mio2rf_writeback_active,avg,0,19.5145
12,2025-05-07 18:13:24.322 ,sm,mio_pq_read_cycles_active,avg,0,7.86379
12,2025-05-07 18:13:24.322 ,sm,mio_pq_write_cycles_active,avg,0,7.86379
12,2025-05-07 18:13:24.322 ,sm,pipe_tensor_cycles_active,avg,0,0
13,2025-05-07 18:13:25.890 ,idc,request_cycles_active,avg,0,0
13,2025-05-07 18:13:25.890 ,sm,inst_executed_pipe_adu,avg,0,1.00632
13,2025-05-07 18:13:25.890 ,sm,inst_executed_pipe_ipa,avg,0,0
13,2025-05-07 18:13:25.890 ,sm,inst_executed_pipe_lsu,avg,0,62.5353
13,2025-05-07 18:13:25.890 ,sm,inst_executed_pipe_tex,avg,0,0.000951151
13,2025-05-07 18:13:25.890 ,sm,mio2rf_writeback_active,avg,0,19.5053
13,2025-05-07 18:13:25.890 ,sm,mio_pq_read_cycles_active,avg,0,7.86031
13,2025-05-07 18:13:25.890 ,sm,mio_pq_write_cycles_active,avg,0,7.86031
13,2025-05-07 18:13:25.890 ,sm,pipe_tensor_cycles_active,avg,0,0
14,2025-05-07 18:13:26.915 ,idc,request_cycles_active,avg,0,0
14,2025-05-07 18:13:26.915 ,sm,inst_executed_pipe_adu,avg,0,1.0069
14,2025-05-07 18:13:26.915 ,sm,inst_executed_pipe_ipa,avg,0,0
14,2025-05-07 18:13:26.915 ,sm,inst_executed_pipe_lsu,avg,0,62.5716
14,2025-05-07 18:13:26.915 ,sm,inst_executed_pipe_tex,avg,0,0.000951703
14,2025-05-07 18:13:26.915 ,sm,mio2rf_writeback_active,avg,0,19.5172
14,2025-05-07 18:13:26.915 ,sm,mio_pq_read_cycles_active,avg,0,7.86487
14,2025-05-07 18:13:26.915 ,sm,mio_pq_write_cycles_active,avg,0,7.86487
14,2025-05-07 18:13:26.915 ,sm,pipe_tensor_cycles_active,avg,0,0
15,2025-05-07 18:13:27.969 ,idc,request_cycles_active,avg,0,0
15,2025-05-07 18:13:27.969 ,sm,inst_executed_pipe_adu,avg,0,1.00625
15,2025-05-07 18:13:27.969 ,sm,inst_executed_pipe_ipa,avg,0,0
15,2025-05-07 18:13:27.969 ,sm,inst_executed_pipe_lsu,avg,0,62.5309
15,2025-05-07 18:13:27.969 ,sm,inst_executed_pipe_tex,avg,0,0.000951083
15,2025-05-07 18:13:27.969 ,sm,mio2rf_writeback_active,avg,0,19.5044
15,2025-05-07 18:13:27.969 ,sm,mio_pq_read_cycles_active,avg,0,7.85975
15,2025-05-07 18:13:27.969 ,sm,mio_pq_write_cycles_active,avg,0,7.85975
15,2025-05-07 18:13:27.969 ,sm,pipe_tensor_cycles_active,avg,0,0
16,2025-05-07 18:13:29.032 ,idc,request_cycles_active,avg,0,0
16,2025-05-07 18:13:29.032 ,sm,inst_executed_pipe_adu,avg,0,1.00648
16,2025-05-07 18:13:29.032 ,sm,inst_executed_pipe_ipa,avg,0,0
16,2025-05-07 18:13:29.032 ,sm,inst_executed_pipe_lsu,avg,0,62.5455
16,2025-05-07 18:13:29.032 ,sm,inst_executed_pipe_tex,avg,0,0.000951306
16,2025-05-07 18:13:29.032 ,sm,mio2rf_writeback_active,avg,0,19.5097
16,2025-05-07 18:13:29.032 ,sm,mio_pq_read_cycles_active,avg,0,7.86159
16,2025-05-07 18:13:29.032 ,sm,mio_pq_write_cycles_active,avg,0,7.86159
16,2025-05-07 18:13:29.032 ,sm,pipe_tensor_cycles_active,avg,0,0
17,2025-05-07 18:13:30.108 ,idc,request_cycles_active,avg,0,0
17,2025-05-07 18:13:30.108 ,sm,inst_executed_pipe_adu,avg,0,1.00636
17,2025-05-07 18:13:30.108 ,sm,inst_executed_pipe_ipa,avg,0,0
17,2025-05-07 18:13:30.108 ,sm,inst_executed_pipe_lsu,avg,0,62.5377
17,2025-05-07 18:13:30.108 ,sm,inst_executed_pipe_tex,avg,0,0.000951186
17,2025-05-07 18:13:30.108 ,sm,mio2rf_writeback_active,avg,0,19.5064
17,2025-05-07 18:13:30.108 ,sm,mio_pq_read_cycles_active,avg,0,7.8606
17,2025-05-07 18:13:30.108 ,sm,mio_pq_write_cycles_active,avg,0,7.8606
17,2025-05-07 18:13:30.108 ,sm,pipe_tensor_cycles_active,avg,0,0
18,2025-05-07 18:13:31.168 ,idc,request_cycles_active,avg,0,0
18,2025-05-07 18:13:31.168 ,sm,inst_executed_pipe_adu,avg,0,1.00639
18,2025-05-07 18:13:31.168 ,sm,inst_executed_pipe_ipa,avg,0,0
18,2025-05-07 18:13:31.168 ,sm,inst_executed_pipe_lsu,avg,0,62.5398
18,2025-05-07 18:13:31.168 ,sm,inst_executed_pipe_tex,avg,0,0.000951219
18,2025-05-07 18:13:31.168 ,sm,mio2rf_writeback_active,avg,0,19.5073
18,2025-05-07 18:13:31.168 ,sm,mio_pq_read_cycles_active,avg,0,7.86087
18,2025-05-07 18:13:31.168 ,sm,mio_pq_write_cycles_active,avg,0,7.86087
18,2025-05-07 18:13:31.168 ,sm,pipe_tensor_cycles_active,avg,0,0
19,2025-05-07 18:13:32.231 ,idc,request_cycles_active,avg,0,0
19,2025-05-07 18:13:32.231 ,sm,inst_executed_pipe_adu,avg,0,1.00732
19,2025-05-07 18:13:32.231 ,sm,inst_executed_pipe_ipa,avg,0,0
19,2025-05-07 18:13:32.231 ,sm,inst_executed_pipe_lsu,avg,0,62.5979
19,2025-05-07 18:13:32.231 ,sm,inst_executed_pipe_tex,avg,0,0.000952102
19,2025-05-07 18:13:32.231 ,sm,mio2rf_writeback_active,avg,0,19.5252
19,2025-05-07 18:13:32.231 ,sm,mio_pq_read_cycles_active,avg,0,7.86817
19,2025-05-07 18:13:32.231 ,sm,mio_pq_write_cycles_active,avg,0,7.86817
19,2025-05-07 18:13:32.231 ,sm,pipe_tensor_cycles_active,avg,0,0
20,2025-05-07 18:13:33.255 ,idc,request_cycles_active,avg,0,0
20,2025-05-07 18:13:33.255 ,sm,inst_executed_pipe_adu,avg,0,1.00599
20,2025-05-07 18:13:33.255 ,sm,inst_executed_pipe_ipa,avg,0,0
20,2025-05-07 18:13:33.255 ,sm,inst_executed_pipe_lsu,avg,0,62.5147
20,2025-05-07 18:13:33.255 ,sm,inst_executed_pipe_tex,avg,0,0.000950837
20,2025-05-07 18:13:33.255 ,sm,mio2rf_writeback_active,avg,0,19.4994
20,2025-05-07 18:13:33.255 ,sm,mio_pq_read_cycles_active,avg,0,7.85771
20,2025-05-07 18:13:33.255 ,sm,mio_pq_write_cycles_active,avg,0,7.85771
20,2025-05-07 18:13:33.255 ,sm,pipe_tensor_cycles_active,avg,0,0
21,2025-05-07 18:13:34.339 ,idc,request_cycles_active,avg,0,0
21,2025-05-07 18:13:34.339 ,sm,inst_executed_pipe_adu,avg,0,1.0069
21,2025-05-07 18:13:34.339 ,sm,inst_executed_pipe_ipa,avg,0,0
21,2025-05-07 18:13:34.339 ,sm,inst_executed_pipe_lsu,avg,0,62.5717
21,2025-05-07 18:13:34.339 ,sm,inst_executed_pipe_tex,avg,0,0.000951704
21,2025-05-07 18:13:34.339 ,sm,mio2rf_writeback_active,avg,0,19.5173
21,2025-05-07 18:13:34.339 ,sm,mio_pq_read_cycles_active,avg,0,7.86488
21,2025-05-07 18:13:34.339 ,sm,mio_pq_write_cycles_active,avg,0,7.86488
21,2025-05-07 18:13:34.339 ,sm,pipe_tensor_cycles_active,avg,0,0
22,2025-05-07 18:13:35.418 ,idc,request_cycles_active,avg,0,0
22,2025-05-07 18:13:35.418 ,sm,inst_executed_pipe_adu,avg,0,1.00659
22,2025-05-07 18:13:35.418 ,sm,inst_executed_pipe_ipa,avg,0,0
22,2025-05-07 18:13:35.418 ,sm,inst_executed_pipe_lsu,avg,0,62.5522
22,2025-05-07 18:13:35.418 ,sm,inst_executed_pipe_tex,avg,0,0.000951407
22,2025-05-07 18:13:35.418 ,sm,mio2rf_writeback_active,avg,0,19.5109
22,2025-05-07 18:13:35.418 ,sm,mio_pq_read_cycles_active,avg,0,7.86243
22,2025-05-07 18:13:35.418 ,sm,mio_pq_write_cycles_active,avg,0,7.86243
22,2025-05-07 18:13:35.418 ,sm,pipe_tensor_cycles_active,avg,0,0
23,2025-05-07 18:13:36.474 ,idc,request_cycles_active,avg,0,0
23,2025-05-07 18:13:36.474 ,sm,inst_executed_pipe_adu,avg,0,1.00678
23,2025-05-07 18:13:36.474 ,sm,inst_executed_pipe_ipa,avg,0,0
23,2025-05-07 18:13:36.474 ,sm,inst_executed_pipe_lsu,avg,0,62.5638
23,2025-05-07 18:13:36.474 ,sm,inst_executed_pipe_tex,avg,0,0.000951584
23,2025-05-07 18:13:36.474 ,sm,mio2rf_writeback_active,avg,0,19.5149
23,2025-05-07 18:13:36.474 ,sm,mio_pq_read_cycles_active,avg,0,7.86389
23,2025-05-07 18:13:36.474 ,sm,mio_pq_write_cycles_active,avg,0,7.86389
23,2025-05-07 18:13:36.474 ,sm,pipe_tensor_cycles_active,avg,0,0
24,2025-05-07 18:13:37.541 ,idc,request_cycles_active,avg,0,0
24,2025-05-07 18:13:37.541 ,sm,inst_executed_pipe_adu,avg,0,1.00668
24,2025-05-07 18:13:37.541 ,sm,inst_executed_pipe_ipa,avg,0,0
24,2025-05-07 18:13:37.541 ,sm,inst_executed_pipe_lsu,avg,0,62.5578
24,2025-05-07 18:13:37.541 ,sm,inst_executed_pipe_tex,avg,0,0.000951492
24,2025-05-07 18:13:37.541 ,sm,mio2rf_writeback_active,avg,0,19.5132
24,2025-05-07 18:13:37.541 ,sm,mio_pq_read_cycles_active,avg,0,7.86313
24,2025-05-07 18:13:37.541 ,sm,mio_pq_write_cycles_active,avg,0,7.86313
24,2025-05-07 18:13:37.541 ,sm,pipe_tensor_cycles_active,avg,0,0
25,2025-05-07 18:13:38.604 ,idc,request_cycles_active,avg,0,0
25,2025-05-07 18:13:38.604 ,sm,inst_executed_pipe_adu,avg,0,1.00614
25,2025-05-07 18:13:38.604 ,sm,inst_executed_pipe_ipa,avg,0,0
25,2025-05-07 18:13:38.604 ,sm,inst_executed_pipe_lsu,avg,0,62.5241
25,2025-05-07 18:13:38.604 ,sm,inst_executed_pipe_tex,avg,0,0.000950981
25,2025-05-07 18:13:38.604 ,sm,mio2rf_writeback_active,avg,0,19.503
25,2025-05-07 18:13:38.604 ,sm,mio_pq_read_cycles_active,avg,0,7.8589
