timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-06 21:05:29.123,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,210,405,210,-1,1.444,-1,-1,-1,-1
2025-05-06 21:05:30.128,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,210,405,210,-1,1.443,-1,-1,-1,-1
2025-05-06 21:05:31.129,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,2,0,8188,465,7723,1470,7000,1470,-1,2.012,-1,-1,-1,-1
2025-05-06 21:05:32.130,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,2,0,8188,697,7491,1500,7000,1500,-1,8.687,-1,-1,-1,-1
2025-05-06 21:05:33.132,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,30,21,8188,1313,6875,1605,7000,1605,-1,13.453,-1,-1,-1,-1
2025-05-06 21:05:34.134,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,28,18,8188,1329,6859,2040,7000,2040,-1,18.722,-1,-1,-1,-1
2025-05-06 21:05:35.136,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,11,6,8188,1351,6837,2040,7000,2040,-1,18.325,-1,-1,-1,-1
2025-05-06 21:05:36.138,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,36,20,8188,1119,7069,1890,8000,1890,-1,18.166,-1,-1,-1,-1
2025-05-06 21:05:37.140,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,42,15,8188,1711,6477,2040,8000,2040,-1,25.403,-1,-1,-1,-1
2025-05-06 21:05:38.141,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,33,16,8188,1121,7067,2040,7000,2040,-1,22.191,-1,-1,-1,-1
2025-05-06 21:05:39.148,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,1715,6473,2040,7000,2040,-1,17.135,-1,-1,-1,-1
2025-05-06 21:05:40.150,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,51,33,8188,1715,6473,2040,8000,2040,-1,24.148,-1,-1,-1,-1
2025-05-06 21:05:41.152,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,35,16,8188,1121,7067,2040,7000,2040,-1,24.6,-1,-1,-1,-1
2025-05-06 21:05:42.154,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,1715,6473,2040,7000,2040,-1,19.191,-1,-1,-1,-1
2025-05-06 21:05:43.156,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,32,20,8188,1121,7067,1905,8000,1905,-1,18.402,-1,-1,-1,-1
2025-05-06 21:05:44.164,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,41,23,8188,1121,7067,2040,8000,2040,-1,25.406,-1,-1,-1,-1
2025-05-06 21:05:45.172,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,30,16,8188,1121,7067,2040,7000,2040,-1,22.089,-1,-1,-1,-1
2025-05-06 21:05:46.174,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,1121,7067,1470,7000,1470,-1,16.684,-1,-1,-1,-1
2025-05-06 21:05:47.181,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,48,29,8188,1121,7067,1890,8000,1890,-1,19.196,-1,-1,-1,-1
2025-05-06 21:05:48.186,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,35,16,8188,1121,7067,2025,8000,2025,-1,24.332,-1,-1,-1,-1
2025-05-06 21:05:49.187,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,3,1,8188,1715,6473,2025,7000,2025,-1,19.905,-1,-1,-1,-1
2025-05-06 21:05:50.189,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,51,20,8188,1121,7067,1860,8000,1860,-1,16.973,-1,-1,-1,-1
2025-05-06 21:05:51.192,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,53,25,8188,1121,7067,2040,8000,2040,-1,24.895,-1,-1,-1,-1
2025-05-06 21:05:52.193,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,35,17,8188,1715,6473,2040,7000,2040,-1,22.482,-1,-1,-1,-1
2025-05-06 21:05:53.195,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,1715,6473,2040,7000,2040,-1,19.435,-1,-1,-1,-1
2025-05-06 21:05:54.197,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,44,29,8188,1715,6473,1965,8000,1965,-1,20.566,-1,-1,-1,-1
2025-05-06 21:05:55.199,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,32,17,8188,1121,7067,2040,8000,2040,-1,24.687,-1,-1,-1,-1
2025-05-06 21:05:56.204,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,29,16,8188,1715,6473,2040,7000,2040,-1,20.97,-1,-1,-1,-1
2025-05-06 21:05:57.205,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,32,11,8188,1715,6473,1470,7000,1470,-1,15.154,-1,-1,-1,-1
2025-05-06 21:05:58.207,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,51,25,8188,1715,6473,2040,8000,2040,-1,21.762,-1,-1,-1,-1
2025-05-06 21:05:59.210,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,34,16,8188,1121,7067,2040,7000,2040,-1,24.076,-1,-1,-1,-1
2025-05-06 21:06:00.211,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,1715,6473,1560,7000,1560,-1,18.058,-1,-1,-1,-1
2025-05-06 21:06:01.213,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,43,27,8188,1121,7067,1965,8000,1965,-1,17.908,-1,-1,-1,-1
2025-05-06 21:06:02.215,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,34,20,8188,1121,7067,2040,8000,2040,-1,25.323,-1,-1,-1,-1
2025-05-06 21:06:03.216,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,36,18,8188,1715,6473,2040,8000,2040,-1,22.14,-1,-1,-1,-1
2025-05-06 21:06:04.218,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,1717,6471,1470,7000,1470,-1,17.614,-1,-1,-1,-1
2025-05-06 21:06:05.224,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,50,26,8188,1717,6471,1905,8000,1905,-1,23.294,-1,-1,-1,-1
2025-05-06 21:06:06.226,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,35,17,8188,1123,7065,2040,7000,2040,-1,23.631,-1,-1,-1,-1
2025-05-06 21:06:07.232,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,1717,6471,1560,8000,1560,-1,19.522,-1,-1,-1,-1
2025-05-06 21:06:08.233,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,32,20,8188,1717,6471,1560,7000,1560,-1,15.837,-1,-1,-1,-1
2025-05-06 21:06:09.234,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,43,26,8188,1717,6471,2040,7000,2040,-1,20.909,-1,-1,-1,-1
2025-05-06 21:06:10.236,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,35,17,8188,1123,7065,2040,7000,2040,-1,22.391,-1,-1,-1,-1
2025-05-06 21:06:11.238,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,1123,7065,2040,8000,2040,-1,18.785,-1,-1,-1,-1
2025-05-06 21:06:12.244,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,37,22,8188,1717,6471,2040,8000,2040,-1,22.358,-1,-1,-1,-1
2025-05-06 21:06:13.245,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,33,15,8188,1717,6471,2040,8000,2040,-1,25.403,-1,-1,-1,-1
2025-05-06 21:06:14.247,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,1717,6471,2040,7000,2040,-1,20.195,-1,-1,-1,-1
2025-05-06 21:06:15.249,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,51,31,8188,1123,7065,2040,8000,2040,-1,20.046,-1,-1,-1,-1
2025-05-06 21:06:16.250,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,34,20,8188,1717,6471,2040,8000,2040,-1,25.81,-1,-1,-1,-1
2025-05-06 21:06:17.252,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,36,18,8188,1123,7065,2040,7000,2040,-1,22.41,-1,-1,-1,-1
2025-05-06 21:06:18.254,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,10,2,8188,1123,7065,1470,7000,1470,-1,17.61,-1,-1,-1,-1
2025-05-06 21:06:19.256,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,43,29,8188,1717,6471,1980,8000,1980,-1,20.494,-1,-1,-1,-1
