timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-06 21:41:22.847,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,210,405,210,-1,1.476,-1,-1,-1,-1
2025-05-06 21:41:23.851,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,210,405,210,-1,1.48,-1,-1,-1,-1
2025-05-06 21:41:24.853,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,371,7817,1470,7000,1470,-1,1.524,-1,-1,-1,-1
2025-05-06 21:41:25.856,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,469,7719,1605,7000,1605,-1,8.491,-1,-1,-1,-1
2025-05-06 21:41:26.859,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,469,7719,1470,7000,1470,-1,8.853,-1,-1,-1,-1
2025-05-06 21:41:27.860,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,21,1,8188,3929,4259,2040,7000,2040,-1,10.856,-1,-1,-1,-1
2025-05-06 21:41:28.862,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,77,41,8188,3945,4243,1545,8000,1545,-1,30.077,-1,-1,-1,-1
2025-05-06 21:41:29.864,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,79,37,8188,7707,481,1125,8000,1125,-1,30.174,-1,-1,-1,-1
2025-05-06 21:41:30.866,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,96,46,8188,7707,481,1230,8000,1230,-1,33.5,-1,-1,-1,-1
2025-05-06 21:41:31.869,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,74,37,8188,7717,471,1170,8000,1170,-1,31.168,-1,-1,-1,-1
2025-05-06 21:41:32.871,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,90,59,8188,4113,4075,1530,8000,1530,-1,31.569,-1,-1,-1,-1
2025-05-06 21:41:33.873,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,92,45,8188,4113,4075,1350,8000,1350,-1,32.933,-1,-1,-1,-1
2025-05-06 21:41:34.876,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,90,47,8188,4117,4071,1665,7000,1665,-1,31.318,-1,-1,-1,-1
2025-05-06 21:41:35.881,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,84,58,8188,7721,467,2040,8000,2040,-1,31.998,-1,-1,-1,-1
2025-05-06 21:41:36.883,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,92,51,8188,4117,4071,1770,7000,1770,-1,31.264,-1,-1,-1,-1
2025-05-06 21:41:37.886,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,88,35,8188,7721,467,1230,8000,1230,-1,31.144,-1,-1,-1,-1
2025-05-06 21:41:38.888,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,94,43,8188,4117,4071,1290,8000,1290,-1,33.28,-1,-1,-1,-1
2025-05-06 21:41:39.890,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,85,42,8188,4117,4071,1230,8000,1230,-1,32.16,-1,-1,-1,-1
2025-05-06 21:41:40.892,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,89,33,8188,7721,467,1110,8000,1110,-1,32.188,-1,-1,-1,-1
2025-05-06 21:41:41.894,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,87,46,8188,7721,467,2040,8000,2040,-1,32.316,-1,-1,-1,-1
2025-05-06 21:41:42.896,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,95,44,8188,7721,467,2040,7000,2040,-1,32.327,-1,-1,-1,-1
2025-05-06 21:41:43.900,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,84,48,8188,4117,4071,1095,8000,1095,-1,31.151,-1,-1,-1,-1
2025-05-06 21:41:44.903,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,77,43,8188,7721,467,1710,7000,1710,-1,30.73,-1,-1,-1,-1
2025-05-06 21:41:45.905,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,90,40,8188,7721,467,2040,8000,2040,-1,31.527,-1,-1,-1,-1
2025-05-06 21:41:46.907,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,89,43,8188,7721,467,2040,7000,2040,-1,31.639,-1,-1,-1,-1
2025-05-06 21:41:47.910,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,88,46,8188,4117,4071,2040,8000,2040,-1,32.08,-1,-1,-1,-1
2025-05-06 21:41:48.911,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,89,42,8188,7721,467,1260,8000,1260,-1,31.814,-1,-1,-1,-1
2025-05-06 21:41:49.919,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,91,40,8188,7721,467,1710,7000,1710,-1,30.407,-1,-1,-1,-1
2025-05-06 21:41:50.920,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,90,45,8188,7721,467,2040,8000,2040,-1,32.85,-1,-1,-1,-1
2025-05-06 21:41:51.922,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,96,44,8188,7721,467,2040,8000,2040,-1,31.437,-1,-1,-1,-1
2025-05-06 21:41:52.924,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,85,51,8188,7721,467,1755,7000,1755,-1,32.653,-1,-1,-1,-1
2025-05-06 21:41:53.927,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,89,40,8188,4117,4071,1110,8000,1110,-1,31.851,-1,-1,-1,-1
2025-05-06 21:41:54.933,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,86,43,8188,7721,467,1275,8000,1275,-1,31.934,-1,-1,-1,-1
2025-05-06 21:41:55.935,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,87,46,8188,7721,467,2040,8000,2040,-1,30.898,-1,-1,-1,-1
2025-05-06 21:41:56.937,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,91,42,8188,4117,4071,1965,8000,1965,-1,32.571,-1,-1,-1,-1
2025-05-06 21:41:57.940,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,92,25,8188,4117,4071,1110,8000,1110,-1,32.145,-1,-1,-1,-1
2025-05-06 21:41:58.944,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,92,51,8188,7725,463,2025,7000,2025,-1,30.223,-1,-1,-1,-1
2025-05-06 21:42:00.005,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,87,46,8188,7725,463,1095,8000,1095,-1,32.277,-1,-1,-1,-1
2025-05-06 21:42:01.008,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,85,46,8188,7725,463,2040,7000,2040,-1,31.45,-1,-1,-1,-1
2025-05-06 21:42:02.010,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,87,39,8188,7725,463,2040,8000,2040,-1,30.46,-1,-1,-1,-1
2025-05-06 21:42:03.011,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,91,41,8188,4121,4067,2040,7000,2040,-1,30.994,-1,-1,-1,-1
2025-05-06 21:42:04.014,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,96,43,8188,7725,463,1755,7000,1755,-1,30.893,-1,-1,-1,-1
2025-05-06 21:42:05.016,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,94,45,8188,7725,463,1140,8000,1140,-1,31.402,-1,-1,-1,-1
2025-05-06 21:42:06.019,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,83,42,8188,7725,463,1500,8000,1500,-1,32.181,-1,-1,-1,-1
2025-05-06 21:42:07.021,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,92,22,8188,4121,4067,1800,8000,1800,-1,31.874,-1,-1,-1,-1
2025-05-06 21:42:08.026,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,97,43,8188,4121,4067,1845,8000,1845,-1,31.912,-1,-1,-1,-1
2025-05-06 21:42:09.028,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,88,39,8188,7725,463,2040,8000,2040,-1,31.647,-1,-1,-1,-1
2025-05-06 21:42:10.030,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,93,42,8188,4121,4067,1050,8000,1050,-1,32.727,-1,-1,-1,-1
2025-05-06 21:42:11.034,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,79,39,8188,7725,463,1980,7000,1980,-1,31.708,-1,-1,-1,-1
2025-05-06 21:42:12.036,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,82,42,8188,7755,433,2040,8000,2040,-1,31.156,-1,-1,-1,-1
2025-05-06 21:42:13.038,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,87,42,8188,7767,421,2040,8000,2040,-1,31.656,-1,-1,-1,-1
2025-05-06 21:42:14.040,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,0,0,8188,7767,421,2040,7000,2040,-1,19.351,-1,-1,-1,-1
2025-05-06 21:42:15.041,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,52,9,8188,7767,421,1980,7000,1980,-1,16.739,-1,-1,-1,-1
2025-05-06 21:42:16.043,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,90,57,8188,7767,421,2025,7000,2025,-1,30.949,-1,-1,-1,-1
2025-05-06 21:42:17.045,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,87,57,8188,7767,421,2025,8000,2025,-1,33.136,-1,-1,-1,-1
2025-05-06 21:42:18.051,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,88,39,8188,7767,421,2025,8000,2025,-1,32.315,-1,-1,-1,-1
2025-05-06 21:42:19.053,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,84,66,8188,4153,4035,1710,7000,1710,-1,32.235,-1,-1,-1,-1
2025-05-06 21:42:20.055,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,85,45,8188,7767,421,1275,8000,1275,-1,32.033,-1,-1,-1,-1
2025-05-06 21:42:21.057,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,87,39,8188,7769,419,1740,8000,1740,-1,33.113,-1,-1,-1,-1
2025-05-06 21:42:22.059,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,91,48,8188,7769,419,2025,8000,2025,-1,33.165,-1,-1,-1,-1
2025-05-06 21:42:23.061,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,87,45,8188,4155,4033,1455,8000,1455,-1,32.582,-1,-1,-1,-1
2025-05-06 21:42:24.064,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,88,55,8188,7769,419,2025,7000,2025,-1,31.441,-1,-1,-1,-1
2025-05-06 21:42:25.066,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,86,42,8188,7769,419,1425,8000,1425,-1,32.209,-1,-1,-1,-1
2025-05-06 21:42:26.071,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,88,39,8188,4155,4033,1770,8000,1770,-1,32.318,-1,-1,-1,-1
2025-05-06 21:42:27.073,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,89,55,8188,7769,419,1845,7000,1845,-1,32.481,-1,-1,-1,-1
2025-05-06 21:42:28.075,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,85,43,8188,4155,4033,1035,8000,1035,-1,31.953,-1,-1,-1,-1
2025-05-06 21:42:29.078,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,81,44,8188,7769,419,1620,7000,1620,-1,31.388,-1,-1,-1,-1
2025-05-06 21:42:30.080,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,88,47,8188,7769,419,2025,8000,2025,-1,31.738,-1,-1,-1,-1
2025-05-06 21:42:31.082,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,93,44,8188,7769,419,2025,8000,2025,-1,31.992,-1,-1,-1,-1
2025-05-06 21:42:32.084,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,82,49,8188,4155,4033,1830,7000,1830,-1,32.576,-1,-1,-1,-1
