timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-06 22:17:15.339,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,210,405,210,-1,1.471,-1,-1,-1,-1
2025-05-06 22:17:16.343,0,NVIDIA GeForce RTX 4060 Laptop GPU,39,0,0,8188,353,7835,210,405,210,-1,1.474,-1,-1,-1,-1
2025-05-06 22:17:17.345,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,1,0,8188,465,7723,1470,7000,1470,-1,1.554,-1,-1,-1,-1
2025-05-06 22:17:18.347,0,NVIDIA GeForce RTX 4060 Laptop GPU,40,0,0,8188,849,7339,1470,7000,1470,-1,8.25,-1,-1,-1,-1
2025-05-06 22:17:19.348,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,54,28,8188,1389,6799,1530,8000,1530,-1,18.821,-1,-1,-1,-1
2025-05-06 22:17:20.350,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,69,43,8188,5365,2823,1155,8000,1155,-1,26.772,-1,-1,-1,-1
2025-05-06 22:17:21.352,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,75,41,8188,2939,5249,1155,8000,1155,-1,31.543,-1,-1,-1,-1
2025-05-06 22:17:22.360,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,78,45,8188,5369,2819,1110,8000,1110,-1,30.294,-1,-1,-1,-1
2025-05-06 22:17:23.363,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,80,38,8188,5369,2819,2040,8000,2040,-1,31.037,-1,-1,-1,-1
2025-05-06 22:17:24.365,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,78,46,8188,5373,2815,2040,8000,2040,-1,30.283,-1,-1,-1,-1
2025-05-06 22:17:25.367,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,77,35,8188,5373,2815,2040,8000,2040,-1,29.642,-1,-1,-1,-1
2025-05-06 22:17:26.369,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,80,37,8188,5373,2815,1380,8000,1380,-1,30.079,-1,-1,-1,-1
2025-05-06 22:17:27.371,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,71,32,8188,5373,2815,1170,8000,1170,-1,28.902,-1,-1,-1,-1
2025-05-06 22:17:28.374,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,76,37,8188,5373,2815,2040,8000,2040,-1,29.686,-1,-1,-1,-1
2025-05-06 22:17:29.376,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,74,36,8188,5373,2815,2040,8000,2040,-1,29.581,-1,-1,-1,-1
2025-05-06 22:17:30.378,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,75,34,8188,5373,2815,2040,8000,2040,-1,29.164,-1,-1,-1,-1
2025-05-06 22:17:31.380,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,79,41,8188,2943,5245,1140,8000,1140,-1,30.154,-1,-1,-1,-1
2025-05-06 22:17:32.388,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,79,36,8188,5373,2815,2040,8000,2040,-1,30.512,-1,-1,-1,-1
2025-05-06 22:17:33.390,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,75,34,8188,5373,2815,2040,8000,2040,-1,30.291,-1,-1,-1,-1
2025-05-06 22:17:34.393,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,79,34,8188,5373,2815,2040,8000,2040,-1,29.097,-1,-1,-1,-1
2025-05-06 22:17:35.394,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,71,34,8188,5373,2815,2040,8000,2040,-1,29.729,-1,-1,-1,-1
2025-05-06 22:17:36.397,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,74,34,8188,5373,2815,2040,8000,2040,-1,30.017,-1,-1,-1,-1
2025-05-06 22:17:37.398,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,75,33,8188,5375,2813,2040,8000,2040,-1,30.355,-1,-1,-1,-1
2025-05-06 22:17:38.400,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,74,36,8188,2947,5241,1140,8000,1140,-1,30.305,-1,-1,-1,-1
2025-05-06 22:17:39.403,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,79,40,8188,2947,5241,1170,8000,1170,-1,30.679,-1,-1,-1,-1
2025-05-06 22:17:40.405,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,71,35,8188,5377,2811,2040,8000,2040,-1,30.431,-1,-1,-1,-1
2025-05-06 22:17:41.406,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,72,36,8188,5377,2811,2040,8000,2040,-1,29.509,-1,-1,-1,-1
2025-05-06 22:17:42.408,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,78,41,8188,5377,2811,1185,8000,1185,-1,30.041,-1,-1,-1,-1
2025-05-06 22:17:43.414,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,73,33,8188,5377,2811,1155,8000,1155,-1,29.682,-1,-1,-1,-1
2025-05-06 22:17:44.416,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,78,36,8188,5377,2811,2040,8000,2040,-1,30.961,-1,-1,-1,-1
2025-05-06 22:17:45.420,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,77,30,8188,5377,2811,2040,8000,2040,-1,30.614,-1,-1,-1,-1
2025-05-06 22:17:46.422,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,85,33,8188,2947,5241,1230,8000,1230,-1,30.131,-1,-1,-1,-1
2025-05-06 22:17:47.425,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,86,33,8188,2947,5241,1110,8000,1110,-1,30.581,-1,-1,-1,-1
2025-05-06 22:17:48.427,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,73,33,8188,5377,2811,2040,8000,2040,-1,30.318,-1,-1,-1,-1
2025-05-06 22:17:49.429,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,75,34,8188,5377,2811,2040,8000,2040,-1,29.979,-1,-1,-1,-1
