timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-06 22:53:10.444,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,353,7835,210,405,210,-1,2.215,-1,-1,-1,-1
2025-05-06 22:53:11.448,0,NVIDIA GeForce RTX 4060 Laptop GPU,41,0,0,8188,353,7835,210,405,210,-1,2.252,-1,-1,-1,-1
2025-05-06 22:53:12.450,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,0,0,8188,465,7723,1470,7000,1470,-1,2.391,-1,-1,-1,-1
2025-05-06 22:53:13.452,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,0,0,8188,529,7659,1530,7000,1530,-1,8.507,-1,-1,-1,-1
2025-05-06 22:53:14.454,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,41,19,8188,3041,5147,1200,8000,1200,-1,14.238,-1,-1,-1,-1
2025-05-06 22:53:15.456,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,88,63,8188,2803,5385,1200,8000,1200,-1,32.352,-1,-1,-1,-1
2025-05-06 22:53:16.460,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,76,37,8188,5111,3077,1410,8000,1410,-1,31.24,-1,-1,-1,-1
2025-05-06 22:53:17.462,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,81,35,8188,5115,3073,1425,8000,1425,-1,31.172,-1,-1,-1,-1
2025-05-06 22:53:18.464,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,85,45,8188,5115,3073,1365,8000,1365,-1,31.802,-1,-1,-1,-1
2025-05-06 22:53:19.466,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,77,37,8188,5115,3073,2040,8000,2040,-1,31.218,-1,-1,-1,-1
2025-05-06 22:53:20.468,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,74,38,8188,5115,3073,2040,8000,2040,-1,30.633,-1,-1,-1,-1
2025-05-06 22:53:21.470,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,74,33,8188,5117,3071,1320,8000,1320,-1,30.188,-1,-1,-1,-1
2025-05-06 22:53:22.472,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,77,39,8188,5119,3069,2040,8000,2040,-1,30.627,-1,-1,-1,-1
2025-05-06 22:53:23.474,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,74,33,8188,2813,5375,2040,8000,2040,-1,30.871,-1,-1,-1,-1
2025-05-06 22:53:24.476,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,77,33,8188,2813,5375,1155,8000,1155,-1,30.396,-1,-1,-1,-1
