timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-06 20:29:57.650,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,0,8188,353,7835,2025,7000,2025,-1,14.385,-1,-1,-1,-1
2025-05-06 20:29:58.652,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,0,8188,465,7723,2025,7000,2025,-1,14.467,-1,-1,-1,-1
2025-05-06 20:29:59.654,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,99,26,8188,7933,255,1215,5500,1215,-1,27.501,-1,-1,-1,-1
2025-05-06 20:30:00.657,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,99,17,8188,4317,3871,1200,5500,1200,-1,34.23,-1,-1,-1,-1
2025-05-06 20:30:01.659,0,NVIDIA GeForce RTX 4060 Laptop GPU,57,99,19,8188,7933,255,1125,5500,1125,-1,34.68,-1,-1,-1,-1
2025-05-06 20:30:02.661,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,98,18,8188,7933,255,2025,5500,2025,-1,32.131,-1,-1,-1,-1
2025-05-06 20:30:03.663,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,18,8188,7933,255,1170,5500,1170,-1,33.061,-1,-1,-1,-1
2025-05-06 20:30:04.664,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,65,35,8188,7933,255,1200,5500,1200,-1,31.837,-1,-1,-1,-1
2025-05-06 20:30:05.670,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,18,8188,7933,255,1125,5500,1125,-1,35.933,-1,-1,-1,-1
2025-05-06 20:30:06.672,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,99,14,8188,7933,255,1200,5500,1200,-1,32.599,-1,-1,-1,-1
2025-05-06 20:30:07.675,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,18,8188,7933,255,1125,5500,1125,-1,34.788,-1,-1,-1,-1
2025-05-06 20:30:08.678,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,99,31,8188,7933,255,1125,5500,1125,-1,32.326,-1,-1,-1,-1
2025-05-06 20:30:09.681,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,98,18,8188,7933,255,1170,5500,1170,-1,34.577,-1,-1,-1,-1
2025-05-06 20:30:10.683,0,NVIDIA GeForce RTX 4060 Laptop GPU,58,99,29,8188,7933,255,1200,5500,1200,-1,32.97,-1,-1,-1,-1
2025-05-06 20:30:11.685,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,98,18,8188,7933,255,1185,5500,1185,-1,34.894,-1,-1,-1,-1
2025-05-06 20:30:12.686,0,NVIDIA GeForce RTX 4060 Laptop GPU,59,98,34,8188,7933,255,1170,5500,1170,-1,34.643,-1,-1,-1,-1
