timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 15:00:45.227,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,353,7835,1470,7000,1470,-1,9.112,-1,-1,-1,-1
2025-05-07 15:00:46.234,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,368,7820,1470,7000,1470,-1,9.167,-1,-1,-1,-1
2025-05-07 15:00:47.236,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,467,7721,1470,7000,1470,-1,9.401,-1,-1,-1,-1
2025-05-07 15:00:48.238,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,25,18,8188,905,7283,1470,7000,1470,-1,13.088,-1,-1,-1,-1
2025-05-07 15:00:49.240,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,25,17,8188,917,7271,2040,7000,2040,-1,18.092,-1,-1,-1,-1
2025-05-07 15:00:50.246,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,25,12,8188,1351,6837,2040,7000,2040,-1,19.154,-1,-1,-1,-1
2025-05-07 15:00:51.248,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,939,7249,1470,7000,1470,-1,13.75,-1,-1,-1,-1
2025-05-07 15:00:52.255,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,37,23,8188,1711,6477,1725,8000,1725,-1,19.746,-1,-1,-1,-1
2025-05-07 15:00:53.258,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,29,14,8188,1121,7067,2010,8000,2010,-1,23.389,-1,-1,-1,-1
2025-05-07 15:00:54.260,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,28,15,8188,1715,6473,2010,7000,2010,-1,20.0,-1,-1,-1,-1
2025-05-07 15:00:55.261,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,1715,6473,1470,7000,1470,-1,14.622,-1,-1,-1,-1
2025-05-07 15:00:56.263,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,30,18,8188,1715,6473,1620,8000,1620,-1,20.126,-1,-1,-1,-1
2025-05-07 15:00:57.265,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,31,16,8188,1715,6473,2040,8000,2040,-1,23.21,-1,-1,-1,-1
2025-05-07 15:00:58.266,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,27,14,8188,1715,6473,2040,7000,2040,-1,21.002,-1,-1,-1,-1
2025-05-07 15:00:59.267,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,8,2,8188,1715,6473,2040,7000,2040,-1,16.847,-1,-1,-1,-1
2025-05-07 15:01:00.271,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,39,23,8188,1715,6473,1800,8000,1800,-1,23.01,-1,-1,-1,-1
2025-05-07 15:01:01.272,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,24,10,8188,1121,7067,2040,8000,2040,-1,23.866,-1,-1,-1,-1
2025-05-07 15:01:02.276,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,10,5,8188,1715,6473,2040,7000,2040,-1,20.241,-1,-1,-1,-1
2025-05-07 15:01:03.278,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,30,10,8188,1121,7067,1470,7000,1470,-1,14.638,-1,-1,-1,-1
2025-05-07 15:01:04.279,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,47,25,8188,1121,7067,2025,8000,2025,-1,23.201,-1,-1,-1,-1
2025-05-07 15:01:05.281,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,31,12,8188,1121,7067,2025,7000,2025,-1,23.744,-1,-1,-1,-1
2025-05-07 15:01:06.282,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,0,0,8188,1715,6473,1605,7000,1605,-1,18.852,-1,-1,-1,-1
2025-05-07 15:01:07.284,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,43,18,8188,1715,6473,1575,8000,1575,-1,15.063,-1,-1,-1,-1
2025-05-07 15:01:08.287,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,52,16,8188,1715,6473,2025,8000,2025,-1,23.496,-1,-1,-1,-1
2025-05-07 15:01:09.289,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,28,13,8188,1121,7067,2025,7000,2025,-1,22.656,-1,-1,-1,-1
2025-05-07 15:01:10.290,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,0,0,8188,1715,6473,1530,7000,1530,-1,17.492,-1,-1,-1,-1
2025-05-07 15:01:11.292,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,47,20,8188,1121,7067,1725,8000,1725,-1,14.927,-1,-1,-1,-1
2025-05-07 15:01:12.296,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,29,13,8188,1121,7067,2025,8000,2025,-1,24.991,-1,-1,-1,-1
2025-05-07 15:01:13.298,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,27,14,8188,1121,7067,2025,7000,2025,-1,22.134,-1,-1,-1,-1
2025-05-07 15:01:14.301,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,0,0,8188,1715,6473,1485,7000,1485,-1,18.141,-1,-1,-1,-1
2025-05-07 15:01:15.302,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,25,13,8188,1715,6473,1470,8000,1470,-1,15.844,-1,-1,-1,-1
2025-05-07 15:01:16.311,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,36,14,8188,1121,7067,2025,8000,2025,-1,22.477,-1,-1,-1,-1
2025-05-07 15:01:17.317,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,34,17,8188,1715,6473,2025,7000,2025,-1,21.957,-1,-1,-1,-1
2025-05-07 15:01:18.322,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,0,0,8188,1715,6473,1470,7000,1470,-1,16.84,-1,-1,-1,-1
2025-05-07 15:01:19.324,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,30,19,8188,1121,7067,1890,8000,1890,-1,16.372,-1,-1,-1,-1
2025-05-07 15:01:20.330,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,33,17,8188,1121,7067,2025,8000,2025,-1,24.55,-1,-1,-1,-1
2025-05-07 15:01:21.333,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,36,18,8188,1121,7067,2025,7000,2025,-1,22.539,-1,-1,-1,-1
2025-05-07 15:01:22.334,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,0,0,8188,1121,7067,1470,8000,1470,-1,16.914,-1,-1,-1,-1
2025-05-07 15:01:23.338,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,36,20,8188,1123,7065,1755,8000,1755,-1,20.551,-1,-1,-1,-1
2025-05-07 15:01:24.343,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,29,16,8188,1123,7065,2025,8000,2025,-1,24.13,-1,-1,-1,-1
2025-05-07 15:01:25.349,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,25,11,8188,1717,6471,2025,7000,2025,-1,20.861,-1,-1,-1,-1
2025-05-07 15:01:26.350,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,8,2,8188,1123,7065,1695,7000,1695,-1,18.053,-1,-1,-1,-1
2025-05-07 15:01:27.352,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,38,23,8188,1123,7065,2025,8000,2025,-1,26.558,-1,-1,-1,-1
2025-05-07 15:01:28.357,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,28,13,8188,1123,7065,2010,7000,2010,-1,22.967,-1,-1,-1,-1
2025-05-07 15:01:29.359,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,0,0,8188,1717,6471,2010,7000,2010,-1,19.5,-1,-1,-1,-1
2025-05-07 15:01:30.361,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,38,24,8188,1123,7065,1575,8000,1575,-1,16.623,-1,-1,-1,-1
2025-05-07 15:01:31.362,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,29,15,8188,1123,7065,2025,8000,2025,-1,23.666,-1,-1,-1,-1
2025-05-07 15:01:32.364,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,36,18,8188,1717,6471,2025,7000,2025,-1,21.86,-1,-1,-1,-1
2025-05-07 15:01:33.365,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,0,0,8188,1717,6471,1470,8000,1470,-1,16.781,-1,-1,-1,-1
2025-05-07 15:01:34.366,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,29,18,8188,1123,7065,1635,8000,1635,-1,16.664,-1,-1,-1,-1
