timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 16:48:49.403,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,0,0,8188,353,7835,1470,7000,1470,-1,8.857,-1,-1,-1,-1
2025-05-07 16:48:50.409,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,370,7817,1470,7000,1470,-1,8.726,-1,-1,-1,-1
2025-05-07 16:48:51.411,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,529,7659,1470,7000,1470,-1,8.927,-1,-1,-1,-1
2025-05-07 16:48:52.413,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,48,26,8188,3041,5147,1440,8000,1440,-1,10.567,-1,-1,-1,-1
2025-05-07 16:48:53.415,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,73,57,8188,5107,3081,1305,8000,1305,-1,30.685,-1,-1,-1,-1
2025-05-07 16:48:54.417,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,79,35,8188,5111,3077,1590,8000,1590,-1,30.96,-1,-1,-1,-1
2025-05-07 16:48:55.419,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,73,33,8188,2809,5379,1245,8000,1245,-1,31.184,-1,-1,-1,-1
2025-05-07 16:48:56.421,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,74,35,8188,5115,3073,1035,8000,1035,-1,31.337,-1,-1,-1,-1
2025-05-07 16:48:57.423,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,66,40,8188,5115,3073,2040,8000,2040,-1,30.577,-1,-1,-1,-1
2025-05-07 16:48:58.425,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,72,37,8188,2809,5379,1305,8000,1305,-1,31.36,-1,-1,-1,-1
2025-05-07 16:48:59.428,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,73,37,8188,2809,5379,1350,8000,1350,-1,31.205,-1,-1,-1,-1
2025-05-07 16:49:00.432,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,79,37,8188,2813,5375,1155,8000,1155,-1,30.924,-1,-1,-1,-1
2025-05-07 16:49:01.435,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,74,37,8188,2813,5375,1260,8000,1260,-1,30.743,-1,-1,-1,-1
2025-05-07 16:49:02.437,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,73,31,8188,5119,3069,1245,8000,1245,-1,31.203,-1,-1,-1,-1
2025-05-07 16:49:03.439,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,72,37,8188,5119,3069,1335,8000,1335,-1,30.016,-1,-1,-1,-1
2025-05-07 16:49:04.441,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,74,35,8188,5119,3069,1635,8000,1635,-1,30.643,-1,-1,-1,-1
2025-05-07 16:49:05.467,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,75,38,8188,5123,3065,2040,8000,2040,-1,30.753,-1,-1,-1,-1
2025-05-07 16:49:06.475,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,71,36,8188,5123,3065,2040,8000,2040,-1,29.666,-1,-1,-1,-1
2025-05-07 16:49:07.477,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,74,36,8188,5123,3065,1380,8000,1380,-1,30.768,-1,-1,-1,-1
2025-05-07 16:49:08.479,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,74,36,8188,5123,3065,2040,8000,2040,-1,30.193,-1,-1,-1,-1
2025-05-07 16:49:09.480,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,74,35,8188,5123,3065,2040,8000,2040,-1,29.368,-1,-1,-1,-1
2025-05-07 16:49:10.491,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,75,31,8188,5123,3065,1155,8000,1155,-1,30.663,-1,-1,-1,-1
2025-05-07 16:49:11.493,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,69,31,8188,5123,3065,1215,8000,1215,-1,29.087,-1,-1,-1,-1
2025-05-07 16:49:12.495,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,70,27,8188,5123,3065,1245,8000,1245,-1,29.075,-1,-1,-1,-1
2025-05-07 16:49:13.497,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,70,27,8188,5123,3065,2040,8000,2040,-1,29.951,-1,-1,-1,-1
2025-05-07 16:49:14.499,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,69,31,8188,2845,5343,1470,8000,1470,-1,28.981,-1,-1,-1,-1
2025-05-07 16:49:15.500,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,75,31,8188,3873,4315,1155,8000,1155,-1,30.199,-1,-1,-1,-1
2025-05-07 16:49:16.504,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,93,74,8188,7213,975,1530,8000,1530,-1,31.901,-1,-1,-1,-1
2025-05-07 16:49:17.506,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,91,38,8188,7213,975,2040,8000,2040,-1,31.563,-1,-1,-1,-1
