timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected
2025-05-07 14:25:11.823,0,NVIDIA GeForce RTX 4060 Laptop GPU,42,0,0,8188,353,7835,1470,7000,1470,-1,8.576,-1,-1,-1,-1
2025-05-07 14:25:12.831,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,370,7817,1470,7000,1470,-1,8.503,-1,-1,-1,-1
2025-05-07 14:25:13.837,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,96,24,8188,7933,255,1095,8000,1095,-1,22.199,-1,-1,-1,-1
2025-05-07 14:25:14.841,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,98,18,8188,7933,255,1230,5500,1230,-1,34.87,-1,-1,-1,-1
2025-05-07 14:25:15.843,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,99,16,8188,7933,255,1245,5500,1245,-1,33.606,-1,-1,-1,-1
2025-05-07 14:25:16.845,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,100,18,8188,7933,255,2040,5500,2040,-1,34.912,-1,-1,-1,-1
2025-05-07 14:25:17.846,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,98,19,8188,7933,255,1170,5500,1170,-1,32.372,-1,-1,-1,-1
2025-05-07 14:25:18.849,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,61,21,8188,7933,255,2040,5500,2040,-1,31.703,-1,-1,-1,-1
2025-05-07 14:25:19.851,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,98,18,8188,7933,255,1155,5500,1155,-1,36.871,-1,-1,-1,-1
2025-05-07 14:25:20.853,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,63,21,8188,7933,255,1680,5500,1680,-1,32.066,-1,-1,-1,-1
2025-05-07 14:25:21.854,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,98,18,8188,7933,255,1185,5500,1185,-1,34.774,-1,-1,-1,-1
2025-05-07 14:25:22.856,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,90,37,8188,7933,255,1755,5500,1755,-1,31.961,-1,-1,-1,-1
2025-05-07 14:25:23.867,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,100,17,8188,7933,255,1215,5500,1215,-1,35.959,-1,-1,-1,-1
2025-05-07 14:25:24.869,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,99,22,8188,7933,255,1230,5500,1230,-1,32.979,-1,-1,-1,-1
2025-05-07 14:25:25.872,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,98,19,8188,4317,3871,1215,5500,1215,-1,34.589,-1,-1,-1,-1
