timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-06-06 00:33:55.363,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,353,7835,210,405,210,-1,2.44,-1,-1,-1,-1,2670768956,1,-1
2025-06-06 00:33:56.370,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,353,7835,210,405,210,-1,2.483,-1,-1,-1,-1,2670988297,1,-1
2025-06-06 00:33:57.374,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,353,7835,210,405,210,-1,2.515,-1,-1,-1,-1,2671218025,1,-1
2025-06-06 00:33:58.378,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,2,0,8188,467,7721,1470,7000,1470,-1,4.491,-1,-1,-1,-1,2671377485,1,-1
2025-06-06 00:33:59.382,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,2,0,8188,929,7259,1470,5500,1470,-1,9.391,-1,-1,-1,-1,2671502402,1,-1
2025-06-06 00:34:00.386,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,40,31,8188,905,7283,2040,7000,2040,-1,21.055,-1,-1,-1,-1,2671565348,1,-1
2025-06-06 00:34:01.392,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,84,9,8188,1313,6875,2040,8000,2040,-1,27.423,-1,-1,-1,-1,2671694488,1,-1
2025-06-06 00:34:02.401,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,19,7,8188,917,7271,2040,7000,2040,-1,24.346,-1,-1,-1,-1,2671759501,1,-1
2025-06-06 00:34:03.406,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,18,7,8188,1351,6837,2040,7000,2040,-1,19.049,-1,-1,-1,-1,2671839357,1,-1
2025-06-06 00:34:04.409,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,4,1,8188,1351,6837,1665,7000,1665,-1,17.552,-1,-1,-1,-1,2671923279,1,-1
2025-06-06 00:34:05.413,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,46,33,8188,1711,6477,1860,8000,1860,-1,27.249,-1,-1,-1,-1,2672026543,1,-1
2025-06-06 00:34:06.422,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,94,3,8188,1119,7069,2040,8000,2040,-1,29.073,-1,-1,-1,-1,2672134372,1,-1
2025-06-06 00:34:07.427,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,25,13,8188,1121,7067,2040,7000,2040,-1,25.25,-1,-1,-1,-1,2672236341,1,-1
2025-06-06 00:34:08.431,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,12,7,8188,1715,6473,2040,7000,2040,-1,20.464,-1,-1,-1,-1,2672333195,1,-1
2025-06-06 00:34:09.438,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,33,18,8188,1715,6473,1590,8000,1590,-1,18.246,-1,-1,-1,-1,2672451712,1,-1
2025-06-06 00:34:10.442,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,43,36,8188,1121,7067,1860,8000,1860,-1,30.878,-1,-1,-1,-1,2672513314,1,-1
2025-06-06 00:34:11.446,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,53,14,8188,1715,6473,2040,8000,2040,-1,28.377,-1,-1,-1,-1,2672614178,1,-1
2025-06-06 00:34:12.451,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,25,9,8188,1715,6473,2040,7000,2040,-1,24.396,-1,-1,-1,-1,2672720839,1,-1
2025-06-06 00:34:13.458,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,12,7,8188,1715,6473,2040,7000,2040,-1,19.996,-1,-1,-1,-1,2672808643,1,-1
2025-06-06 00:34:14.461,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,38,21,8188,1715,6473,1770,8000,1770,-1,20.405,-1,-1,-1,-1,2672914633,1,-1
2025-06-06 00:34:15.464,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,43,23,8188,1715,6473,2040,8000,2040,-1,31.053,-1,-1,-1,-1,2673025533,1,-1
2025-06-06 00:34:16.468,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,47,16,8188,1121,7067,2040,8000,2040,-1,29.196,-1,-1,-1,-1,2673111184,1,-1
2025-06-06 00:34:17.477,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,31,12,8188,1715,6473,2040,7000,2040,-1,25.321,-1,-1,-1,-1,2673216383,1,-1
2025-06-06 00:34:18.481,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,0,0,8188,1715,6473,2040,7000,2040,-1,19.584,-1,-1,-1,-1,2673266178,1,-1
2025-06-06 00:34:19.484,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,63,25,8188,1121,7067,2040,7000,2040,-1,21.983,-1,-1,-1,-1,2673324653,1,-1
2025-06-06 00:34:20.488,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,80,16,8188,1121,7067,1920,8000,1920,-1,27.435,-1,-1,-1,-1,2673420515,1,-1
2025-06-06 00:34:21.496,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,31,18,8188,1715,6473,2040,8000,2040,-1,28.044,-1,-1,-1,-1,2673512916,1,-1
2025-06-06 00:34:22.512,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,27,11,8188,1715,6473,2040,7000,2040,-1,24.136,-1,-1,-1,-1,2673606542,1,-1
