session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-06-06 01:09:54.402 ,sm,inst_executed,avg,per_cycle_elapsed,0,3.0532
1,2025-06-06 01:09:54.402 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,76.6095
1,2025-06-06 01:09:54.402 ,sm,inst_executed,avg,per_cycle_active,0,3.06226
1,2025-06-06 01:09:54.402 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,76.6095
1,2025-06-06 01:09:54.402 ,sm,inst_issued,avg,per_cycle_active,0,3.06438
1,2025-06-06 01:09:54.402 ,dram,bytes_read,sum,per_second,0,5.63059e+10
1,2025-06-06 01:09:54.402 ,dram,bytes_write,sum,per_second,0,7.5018e+10
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,8.08671e+07
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,6.06749e+07
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,1.036e+08
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.19167e+07
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-06-06 01:09:54.402 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-06-06 01:09:54.402 ,lts,t_sector_op_read_hit_rate,pct,No post,0,32.6221
1,2025-06-06 01:09:54.402 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9997
1,2025-06-06 01:09:54.402 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
