timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-06-06 01:46:35.539,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,353,7835,210,405,210,-1,2.413,-1,-1,-1,-1,3764742812,1,-1
2025-06-06 01:46:36.547,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,353,7835,210,405,210,-1,2.451,-1,-1,-1,-1,3765058222,1,-1
2025-06-06 01:46:37.551,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,370,7817,210,405,210,-1,2.435,-1,-1,-1,-1,3765371078,1,-1
2025-06-06 01:46:38.563,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,493,7695,1620,7000,1620,-1,9.233,-1,-1,-1,-1,3765409051,1,-1
2025-06-06 01:46:39.566,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,48,36,8188,1769,6419,2040,7000,2040,-1,19.232,-1,-1,-1,-1,3765477311,1,-1
2025-06-06 01:46:40.571,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,54,34,8188,2283,5905,2040,7000,2040,-1,29.196,-1,-1,-1,-1,3765565490,1,-1
2025-06-06 01:46:41.574,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,49,34,8188,3829,4359,1635,8000,1635,-1,26.992,-1,-1,-1,-1,3765650032,1,-1
2025-06-06 01:46:42.582,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,82,64,8188,5365,2823,1860,8000,1860,-1,32.497,-1,-1,-1,-1,3765754819,1,-1
2025-06-06 01:46:43.587,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,71,46,8188,5369,2819,2010,8000,2010,-1,30.271,-1,-1,-1,-1,3765861692,1,-1
2025-06-06 01:46:44.590,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,62,35,8188,2939,5249,2040,8000,2040,-1,31.076,-1,-1,-1,-1,3765959764,1,-1
2025-06-06 01:46:45.603,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,100,1,8188,5369,2819,1650,7000,1650,-1,31.924,-1,-1,-1,-1,3766053323,1,-1
2025-06-06 01:46:46.611,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,83,30,8188,5373,2815,2040,7000,2040,-1,29.728,-1,-1,-1,-1,3766160280,1,-1
2025-06-06 01:46:47.623,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,79,45,8188,2943,5245,1695,8000,1695,-1,29.929,-1,-1,-1,-1,3766226093,1,-1
2025-06-06 01:46:48.627,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,66,34,8188,2943,5245,2040,8000,2040,-1,30.614,-1,-1,-1,-1,3766309405,1,-1
2025-06-06 01:46:49.630,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,57,36,8188,2943,5245,1185,8000,1185,-1,30.217,-1,-1,-1,-1,3766401103,1,-1
2025-06-06 01:46:50.645,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,66,37,8188,2943,5245,1110,8000,1110,-1,31.282,-1,-1,-1,-1,3766488321,1,-1
2025-06-06 01:46:51.648,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,63,35,8188,5373,2815,1830,8000,1830,-1,29.664,-1,-1,-1,-1,3766607651,1,-1
2025-06-06 01:46:52.652,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,71,34,8188,2943,5245,1605,8000,1605,-1,31.435,-1,-1,-1,-1,3766732185,1,-1
2025-06-06 01:46:53.658,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,63,36,8188,5373,2815,2040,8000,2040,-1,29.398,-1,-1,-1,-1,3766825222,1,-1
2025-06-06 01:46:54.662,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,74,32,8188,5373,2815,1185,8000,1185,-1,30.567,-1,-1,-1,-1,3766891046,1,-1
2025-06-06 01:46:55.666,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,61,25,8188,5373,2815,1185,8000,1185,-1,29.673,-1,-1,-1,-1,3766989766,1,-1
2025-06-06 01:46:56.670,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,72,30,8188,5373,2815,1110,8000,1110,-1,29.94,-1,-1,-1,-1,3767099117,1,-1
2025-06-06 01:46:57.678,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,65,32,8188,2943,5245,1950,8000,1950,-1,29.752,-1,-1,-1,-1,3767220162,1,-1
2025-06-06 01:46:58.681,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,82,28,8188,2943,5245,2040,8000,2040,-1,31.049,-1,-1,-1,-1,3767333445,1,-1
2025-06-06 01:46:59.684,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,64,31,8188,5373,2815,1155,8000,1155,-1,29.551,-1,-1,-1,-1,3767421002,1,-1
2025-06-06 01:47:00.689,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,78,21,8188,5373,2815,2025,8000,2025,-1,30.043,-1,-1,-1,-1,3767544289,1,-1
2025-06-06 01:47:01.695,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,64,30,8188,5373,2815,1560,8000,1560,-1,28.625,-1,-1,-1,-1,3767622426,1,-1
2025-06-06 01:47:02.700,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,66,21,8188,5373,2815,1890,8000,1890,-1,30.167,-1,-1,-1,-1,3767732949,1,-1
2025-06-06 01:47:03.703,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,73,18,8188,2945,5243,2025,8000,2025,-1,31.222,-1,-1,-1,-1,3767860794,1,-1
2025-06-06 01:47:04.715,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,73,34,8188,5377,2811,1815,8000,1815,-1,30.367,-1,-1,-1,-1,3768010399,1,-1
2025-06-06 01:47:05.719,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,74,33,8188,5377,2811,1530,8000,1530,-1,31.293,-1,-1,-1,-1,3768084586,1,-1
2025-06-06 01:47:06.725,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,67,32,8188,5377,2811,2025,8000,2025,-1,29.164,-1,-1,-1,-1,3768168355,1,-1
2025-06-06 01:47:07.743,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,65,37,8188,5377,2811,1875,8000,1875,-1,29.79,-1,-1,-1,-1,3768250902,1,-1
2025-06-06 01:47:08.746,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,67,31,8188,5377,2811,2025,8000,2025,-1,31.16,-1,-1,-1,-1,3768367069,1,-1
2025-06-06 01:47:09.755,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,79,48,8188,5377,2811,2025,8000,2025,-1,30.431,-1,-1,-1,-1,3768480966,1,-1
2025-06-06 01:47:10.759,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,79,33,8188,5377,2811,2025,8000,2025,-1,30.557,-1,-1,-1,-1,3768567809,1,-1
2025-06-06 01:47:11.763,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,72,32,8188,5377,2811,1110,8000,1110,-1,29.076,-1,-1,-1,-1,3768709646,1,-1
2025-06-06 01:47:12.773,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,67,29,8188,5377,2811,2025,8000,2025,-1,30.839,-1,-1,-1,-1,3768769614,1,-1
2025-06-06 01:47:13.778,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,80,8,8188,2947,5241,1095,8000,1095,-1,31.408,-1,-1,-1,-1,3768857608,1,-1
2025-06-06 01:47:14.781,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,72,38,8188,5377,2811,1065,8000,1065,-1,30.715,-1,-1,-1,-1,3768967133,1,-1
2025-06-06 01:47:15.791,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,76,32,8188,5377,2811,1680,8000,1680,-1,30.27,-1,-1,-1,-1,3769054271,1,-1
2025-06-06 01:47:16.796,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,69,28,8188,5377,2811,1530,8000,1530,-1,30.13,-1,-1,-1,-1,3769151749,1,-1
