session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-06-06 02:22:42.147 ,sm,inst_executed,avg,per_cycle_elapsed,0,0.0410158
1,2025-06-06 02:22:42.147 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,13.7426
1,2025-06-06 02:22:42.147 ,sm,inst_executed,avg,per_cycle_active,0,0.455505
1,2025-06-06 02:22:42.147 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,13.7426
1,2025-06-06 02:22:42.147 ,sm,inst_issued,avg,per_cycle_active,0,0.549704
1,2025-06-06 02:22:42.147 ,dram,bytes_read,sum,per_second,0,0
1,2025-06-06 02:22:42.147 ,dram,bytes_write,sum,per_second,0,0
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,0
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,54
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,0
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,222
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-06-06 02:22:42.147 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-06-06 02:22:42.147 ,lts,t_sector_op_read_hit_rate,pct,No post,0,100
1,2025-06-06 02:22:42.147 ,lts,t_sector_op_write_hit_rate,pct,No post,0,100
1,2025-06-06 02:22:42.147 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,58608
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,2.0263
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,56.6868
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,20.0107
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,1.12639
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.762843
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0
1,2025-06-06 02:22:42.147 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,1.48595
2,2025-06-06 02:22:43.024 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.8929
2,2025-06-06 02:22:43.024 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,72.3606
2,2025-06-06 02:22:43.024 ,sm,inst_executed,avg,per_cycle_active,0,2.89442
2,2025-06-06 02:22:43.024 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,72.3606
2,2025-06-06 02:22:43.024 ,sm,inst_issued,avg,per_cycle_active,0,2.89443
2,2025-06-06 02:22:43.024 ,dram,bytes_read,sum,per_second,0,1.14018e+10
2,2025-06-06 02:22:43.024 ,dram,bytes_write,sum,per_second,0,6.05535e+10
2,2025-06-06 02:22:43.024 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.90451e+08
2,2025-06-06 02:22:43.024 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
2,2025-06-06 02:22:43.024 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
2,2025-06-06 02:22:43.024 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
2,2025-06-06 02:22:43.024 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.2433e+08
2,2025-06-06 02:22:43.024 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,3.35544e+07
