timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-06-06 02:22:38.439,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,353,7835,210,405,210,-1,2.498,-1,-1,-1,-1,4300971271,1,-1
2025-06-06 02:22:39.447,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,353,7835,210,405,210,-1,2.462,-1,-1,-1,-1,4301261322,1,-1
2025-06-06 02:22:40.452,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,0,0,8188,465,7723,1470,7000,1470,-1,2.583,-1,-1,-1,-1,4301554322,1,-1
2025-06-06 02:22:41.458,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,0,0,8188,529,7659,1470,7000,1470,-1,9.108,-1,-1,-1,-1,4301673922,1,-1
2025-06-06 02:22:42.462,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,45,23,8188,3041,5147,1425,8000,1425,-1,13.976,-1,-1,-1,-1,4301898226,1,-1
2025-06-06 02:22:43.466,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,70,52,8188,5091,3097,1875,7000,1875,-1,33.545,-1,-1,-1,-1,4301960698,1,-1
2025-06-06 02:22:44.470,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,71,54,8188,5107,3081,1800,7000,1800,-1,33.08,-1,-1,-1,-1,4302042730,1,-1
2025-06-06 02:22:45.477,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,1,8188,5109,3079,2040,7000,2040,-1,33.202,-1,-1,-1,-1,4302149069,1,-1
2025-06-06 02:22:46.481,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,82,12,8188,5111,3077,2040,7000,2040,-1,29.598,-1,-1,-1,-1,4302238659,1,-1
2025-06-06 02:22:47.484,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,81,51,8188,5111,3077,2040,7000,2040,-1,28.849,-1,-1,-1,-1,4302347421,1,-1
2025-06-06 02:22:48.490,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,75,59,8188,5115,3073,1695,7000,1695,-1,30.891,-1,-1,-1,-1,4302422519,1,-1
2025-06-06 02:22:49.496,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,77,41,8188,5115,3073,1185,8000,1185,-1,31.535,-1,-1,-1,-1,4302532641,1,-1
2025-06-06 02:22:50.500,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,68,40,8188,5115,3073,2040,8000,2040,-1,32.244,-1,-1,-1,-1,4302675310,1,-1
2025-06-06 02:22:51.505,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,80,28,8188,2809,5379,2040,7000,2040,-1,31.886,-1,-1,-1,-1,4302744067,1,-1
2025-06-06 02:22:52.507,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,63,47,8188,5115,3073,1785,8000,1785,-1,31.458,-1,-1,-1,-1,4302863163,1,-1
2025-06-06 02:22:53.514,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,72,37,8188,5115,3073,1950,8000,1950,-1,31.835,-1,-1,-1,-1,4302995819,1,-1
2025-06-06 02:22:54.519,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,83,29,8188,5117,3071,1950,7000,1950,-1,31.768,-1,-1,-1,-1,4303101910,1,-1
2025-06-06 02:22:55.524,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,62,44,8188,5119,3069,1890,7000,1890,-1,29.18,-1,-1,-1,-1,4303210991,1,-1
2025-06-06 02:22:56.537,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,51,10,8188,5119,3069,2025,7000,2025,-1,28.687,-1,-1,-1,-1,4303281914,1,-1
2025-06-06 02:22:57.541,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,77,33,8188,5121,3067,1725,8000,1725,-1,29.845,-1,-1,-1,-1,4303408732,1,-1
2025-06-06 02:22:58.544,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,60,38,8188,5119,3069,1275,8000,1275,-1,31.673,-1,-1,-1,-1,4303486291,1,-1
2025-06-06 02:22:59.552,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,73,33,8188,2813,5375,2025,8000,2025,-1,31.045,-1,-1,-1,-1,4303574504,1,-1
2025-06-06 02:23:00.557,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,76,31,8188,2813,5375,1860,8000,1860,-1,30.791,-1,-1,-1,-1,4303645415,1,-1
2025-06-06 02:23:01.560,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,76,35,8188,5123,3065,1470,8000,1470,-1,30.978,-1,-1,-1,-1,4303730979,1,-1
2025-06-06 02:23:02.565,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,57,32,8188,5123,3065,2025,8000,2025,-1,30.304,-1,-1,-1,-1,4303825581,1,-1
2025-06-06 02:23:03.572,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,63,28,8188,2817,5371,1980,8000,1980,-1,30.922,-1,-1,-1,-1,4303936424,1,-1
2025-06-06 02:23:04.582,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,78,24,8188,2817,5371,1740,8000,1740,-1,31.445,-1,-1,-1,-1,4304014304,1,-1
2025-06-06 02:23:05.591,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,71,31,8188,2817,5371,2025,8000,2025,-1,30.111,-1,-1,-1,-1,4304127506,1,-1
2025-06-06 02:23:06.594,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,66,32,8188,5123,3065,1845,8000,1845,-1,29.443,-1,-1,-1,-1,4304229296,1,-1
2025-06-06 02:23:07.598,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,81,31,8188,5123,3065,1455,8000,1455,-1,30.252,-1,-1,-1,-1,4304352025,1,-1
2025-06-06 02:23:08.603,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,80,19,8188,5123,3065,1125,8000,1125,-1,30.303,-1,-1,-1,-1,4304424055,1,-1
2025-06-06 02:23:09.612,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,82,9,8188,5123,3065,1965,8000,1965,-1,30.187,-1,-1,-1,-1,4304533508,1,-1
2025-06-06 02:23:10.616,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,74,32,8188,2817,5371,2025,8000,2025,-1,30.756,-1,-1,-1,-1,4304595864,1,-1
2025-06-06 02:23:11.629,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,60,30,8188,2831,5357,2025,8000,2025,-1,30.004,-1,-1,-1,-1,4304679104,1,-1
2025-06-06 02:23:12.659,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,59,28,8188,5165,3023,1425,8000,1425,-1,28.398,-1,-1,-1,-1,4304778887,1,-1
2025-06-06 02:23:13.668,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,87,44,8188,5165,3023,1650,7000,1650,-1,31.651,-1,-1,-1,-1,4304892546,1,-1
2025-06-06 02:23:14.672,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,92,79,8188,7213,975,2025,7000,2025,-1,33.453,-1,-1,-1,-1,4304991025,1,-1
2025-06-06 02:23:15.675,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,85,86,8188,7213,975,1905,7000,1905,-1,33.159,-1,-1,-1,-1,4305083987,1,-1
2025-06-06 02:23:16.679,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,93,35,8188,3873,4315,2025,5500,2025,-1,33.45,-1,-1,-1,-1,4305193923,1,-1
2025-06-06 02:23:17.690,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,95,12,8188,7213,975,2025,7000,2025,-1,30.654,-1,-1,-1,-1,4305321254,1,-1
2025-06-06 02:23:18.694,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,77,45,8188,7213,975,1710,8000,1710,-1,31.805,-1,-1,-1,-1,4305391972,1,-1
2025-06-06 02:23:19.698,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,6,8188,7213,975,1605,7000,1605,-1,31.927,-1,-1,-1,-1,4305479865,1,-1
2025-06-06 02:23:20.707,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,76,44,8188,7213,975,1080,8000,1080,-1,31.672,-1,-1,-1,-1,4305573791,1,-1
2025-06-06 02:23:21.710,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,80,31,8188,3873,4315,2025,8000,2025,-1,32.252,-1,-1,-1,-1,4305708916,1,-1
2025-06-06 02:23:22.714,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,80,49,8188,7213,975,2025,8000,2025,-1,30.784,-1,-1,-1,-1,4305813020,1,-1
2025-06-06 02:23:23.718,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,80,24,8188,7213,975,2025,7000,2025,-1,31.91,-1,-1,-1,-1,4305939297,1,-1
2025-06-06 02:23:24.726,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,76,51,8188,7213,975,2025,8000,2025,-1,31.907,-1,-1,-1,-1,4306050863,1,-1
2025-06-06 02:23:25.732,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,90,40,8188,7213,975,2025,8000,2025,-1,31.805,-1,-1,-1,-1,4306176037,1,-1
2025-06-06 02:23:26.735,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,79,48,8188,7213,975,2025,8000,2025,-1,30.437,-1,-1,-1,-1,4306259039,1,-1
2025-06-06 02:23:27.803,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,90,38,8188,3873,4315,1710,8000,1710,-1,32.751,-1,-1,-1,-1,4306376052,1,-1
2025-06-06 02:23:28.807,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,80,47,8188,7213,975,2025,7000,2025,-1,30.409,-1,-1,-1,-1,4306436689,1,-1
2025-06-06 02:23:29.811,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,74,20,8188,7213,975,2025,8000,2025,-1,31.156,-1,-1,-1,-1,4306523751,1,-1
2025-06-06 02:23:30.815,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,76,32,8188,7213,975,1575,8000,1575,-1,31.334,-1,-1,-1,-1,4306648020,1,-1
2025-06-06 02:23:31.823,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,79,32,8188,7213,975,1230,8000,1230,-1,32.208,-1,-1,-1,-1,4306761843,1,-1
2025-06-06 02:23:32.828,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,68,39,8188,7213,975,1830,8000,1830,-1,32.06,-1,-1,-1,-1,4306859214,1,-1
2025-06-06 02:23:33.836,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,82,39,8188,7213,975,2025,8000,2025,-1,31.952,-1,-1,-1,-1,4306973085,1,-1
2025-06-06 02:23:34.852,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,79,13,8188,7213,975,1575,8000,1575,-1,30.981,-1,-1,-1,-1,4307108272,1,-1
2025-06-06 02:23:35.861,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,73,33,8188,3873,4315,1905,8000,1905,-1,32.221,-1,-1,-1,-1,4307194879,1,-1
2025-06-06 02:23:36.864,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,83,40,8188,7213,975,1860,7000,1860,-1,30.751,-1,-1,-1,-1,4307303367,1,-1
