timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-06-05 21:38:23.073,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,0,0,8188,353,7835,210,405,210,-1,1.852,-1,-1,-1,-1,13166066,1,-1
2025-06-05 21:38:24.081,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,479,7709,2040,5500,2040,-1,9.226,-1,-1,-1,-1,13281953,1,-1
2025-06-05 21:38:25.085,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,479,7709,2040,7000,2040,-1,14.317,-1,-1,-1,-1,13372665,1,-1
2025-06-05 21:38:26.096,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,479,7709,2040,7000,2040,-1,15.444,-1,-1,-1,-1,13427821,1,-1
2025-06-05 21:38:27.099,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,479,7709,2040,5500,2040,-1,14.788,-1,-1,-1,-1,13531366,1,-1
2025-06-05 21:38:28.105,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,479,7709,2040,7000,2040,-1,14.624,-1,-1,-1,-1,13627967,1,-1
2025-06-05 21:38:29.117,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,479,7709,2040,7000,2040,-1,15.157,-1,-1,-1,-1,13687339,1,-1
2025-06-05 21:38:30.120,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,4,1,8188,479,7709,2040,7000,2040,-1,14.1,-1,-1,-1,-1,13771535,1,-1
2025-06-05 21:38:31.123,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,5,0,8188,479,7709,2040,7000,2040,-1,15.063,-1,-1,-1,-1,13861760,1,-1
2025-06-05 21:38:32.128,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,0,8188,479,7709,2040,7000,2040,-1,15.27,-1,-1,-1,-1,13952272,1,-1
2025-06-05 21:38:33.133,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,1,0,8188,479,7709,2040,7000,2040,-1,15.229,-1,-1,-1,-1,14033436,1,-1
2025-06-05 21:38:34.138,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,1,0,8188,473,7715,2040,5500,2040,-1,15.067,-1,-1,-1,-1,14117977,1,-1
2025-06-05 21:38:35.142,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,465,7723,2040,7000,2040,-1,13.967,-1,-1,-1,-1,14211600,1,-1
2025-06-05 21:38:36.145,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,465,7723,2040,7000,2040,-1,15.22,-1,-1,-1,-1,14295885,1,-1
2025-06-05 21:38:37.154,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,5,0,8188,465,7723,2040,5500,2040,-1,14.442,-1,-1,-1,-1,14395920,1,-1
2025-06-05 21:38:38.158,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,4,0,8188,465,7723,2040,7000,2040,-1,14.888,-1,-1,-1,-1,14491329,1,-1
