timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-06-05 22:13:23.327,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,353,7835,210,405,210,-1,1.705,-1,-1,-1,-1,529984251,1,-1
2025-06-05 22:13:24.335,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,3,0,8188,475,7713,2040,7000,2040,-1,6.699,-1,-1,-1,-1,530105876,1,-1
2025-06-05 22:13:25.343,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,3,0,8188,475,7713,2040,7000,2040,-1,15.806,-1,-1,-1,-1,530169418,1,-1
2025-06-05 22:13:26.351,0,NVIDIA GeForce RTX 4060 Laptop GPU,45,3,0,8188,475,7713,2040,7000,2040,-1,15.754,-1,-1,-1,-1,530253823,1,-1
2025-06-05 22:13:27.354,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,3,0,8188,485,7703,2040,7000,2040,-1,15.835,-1,-1,-1,-1,530329123,1,-1
2025-06-05 22:13:28.359,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,3,0,8188,475,7713,2040,7000,2040,-1,15.789,-1,-1,-1,-1,530419967,1,-1
2025-06-05 22:13:29.362,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,3,0,8188,475,7713,2040,7000,2040,-1,15.878,-1,-1,-1,-1,530505472,1,-1
2025-06-05 22:13:30.372,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,2,0,8188,475,7713,2040,7000,2040,-1,15.8,-1,-1,-1,-1,530598224,1,-1
2025-06-05 22:13:31.376,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,3,0,8188,475,7713,2040,7000,2040,-1,15.898,-1,-1,-1,-1,530666759,1,-1
2025-06-05 22:13:32.381,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,3,0,8188,485,7703,2040,7000,2040,-1,15.805,-1,-1,-1,-1,530754882,1,-1
2025-06-05 22:13:33.391,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,3,0,8188,485,7703,2040,7000,2040,-1,15.944,-1,-1,-1,-1,530845732,1,-1
2025-06-05 22:13:34.394,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,3,0,8188,475,7713,2040,7000,2040,-1,15.912,-1,-1,-1,-1,530932808,1,-1
2025-06-05 22:13:35.397,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,3,0,8188,485,7703,2040,7000,2040,-1,15.887,-1,-1,-1,-1,530993438,1,-1
2025-06-05 22:13:36.401,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,3,0,8188,475,7713,2040,7000,2040,-1,15.998,-1,-1,-1,-1,531075601,1,-1
2025-06-05 22:13:37.408,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,2,0,8188,475,7713,2040,7000,2040,-1,15.929,-1,-1,-1,-1,531142914,1,-1
2025-06-05 22:13:38.413,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,3,0,8188,485,7703,2040,7000,2040,-1,15.975,-1,-1,-1,-1,531252581,1,-1
2025-06-05 22:13:39.416,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,3,0,8188,475,7713,2040,7000,2040,-1,15.917,-1,-1,-1,-1,531331464,1,-1
2025-06-05 22:13:40.419,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,0,8188,475,7713,2040,7000,2040,-1,15.993,-1,-1,-1,-1,531417572,1,-1
2025-06-05 22:13:41.426,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,475,7713,2040,7000,2040,-1,15.989,-1,-1,-1,-1,531483784,1,-1
2025-06-05 22:13:42.429,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,475,7713,2040,7000,2040,-1,15.974,-1,-1,-1,-1,531570971,1,-1
2025-06-05 22:13:43.434,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,0,8188,477,7711,2040,7000,2040,-1,16.05,-1,-1,-1,-1,531661875,1,-1
2025-06-05 22:13:44.439,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,477,7711,2040,7000,2040,-1,15.99,-1,-1,-1,-1,531743193,1,-1
2025-06-05 22:13:45.446,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,477,7711,2040,7000,2040,-1,16.075,-1,-1,-1,-1,531807339,1,-1
2025-06-05 22:13:46.450,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,477,7711,2040,7000,2040,-1,15.979,-1,-1,-1,-1,531878201,1,-1
2025-06-05 22:13:47.454,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,0,8188,477,7711,2040,7000,2040,-1,16.125,-1,-1,-1,-1,531960314,1,-1
2025-06-05 22:13:48.456,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,0,8188,487,7701,2040,7000,2040,-1,16.027,-1,-1,-1,-1,532056618,1,-1
2025-06-05 22:13:49.463,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,2,0,8188,477,7711,2040,7000,2040,-1,16.09,-1,-1,-1,-1,532148215,1,-1
2025-06-05 22:13:50.466,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,3,0,8188,477,7711,2040,7000,2040,-1,16.111,-1,-1,-1,-1,532222766,1,-1
2025-06-05 22:13:51.474,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,487,7701,2040,7000,2040,-1,16.035,-1,-1,-1,-1,532282536,1,-1
2025-06-05 22:13:52.487,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,477,7711,2040,7000,2040,-1,16.141,-1,-1,-1,-1,532371258,1,-1
2025-06-05 22:13:53.490,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,0,8188,487,7701,2040,7000,2040,-1,16.044,-1,-1,-1,-1,532480647,1,-1
2025-06-05 22:13:54.494,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,477,7711,2040,7000,2040,-1,16.13,-1,-1,-1,-1,532579259,1,-1
2025-06-05 22:13:55.501,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,0,8188,477,7711,2040,7000,2040,-1,16.103,-1,-1,-1,-1,532650485,1,-1
2025-06-05 22:13:56.505,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,487,7701,2040,7000,2040,-1,16.185,-1,-1,-1,-1,532724243,1,-1
2025-06-05 22:13:57.509,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,477,7711,2040,7000,2040,-1,16.14,-1,-1,-1,-1,532793627,1,-1
2025-06-05 22:13:58.514,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,0,8188,477,7711,2040,7000,2040,-1,16.163,-1,-1,-1,-1,532879499,1,-1
2025-06-05 22:13:59.521,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,0,8188,477,7711,2040,7000,2040,-1,16.131,-1,-1,-1,-1,532970035,1,-1
2025-06-05 22:14:00.526,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,487,7701,2040,7000,2040,-1,16.243,-1,-1,-1,-1,533058415,1,-1
2025-06-05 22:14:01.530,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,2,0,8188,477,7711,2040,7000,2040,-1,16.082,-1,-1,-1,-1,533145745,1,-1
2025-06-05 22:14:02.534,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,3,0,8188,487,7701,2040,7000,2040,-1,16.217,-1,-1,-1,-1,533232674,1,-1
2025-06-05 22:14:03.539,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,477,7711,2040,7000,2040,-1,16.134,-1,-1,-1,-1,533314258,1,-1
2025-06-05 22:14:04.544,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,487,7701,2040,7000,2040,-1,16.143,-1,-1,-1,-1,533407822,1,-1
2025-06-05 22:14:05.548,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,477,7711,2040,7000,2040,-1,16.184,-1,-1,-1,-1,533492794,1,-1
2025-06-05 22:14:06.558,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,489,7699,2040,7000,2040,-1,16.143,-1,-1,-1,-1,533576060,1,-1
2025-06-05 22:14:07.564,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,0,8188,479,7709,2040,7000,2040,-1,16.187,-1,-1,-1,-1,533642935,1,-1
2025-06-05 22:14:08.568,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.119,-1,-1,-1,-1,533727623,1,-1
2025-06-05 22:14:09.571,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.239,-1,-1,-1,-1,533828029,1,-1
2025-06-05 22:14:10.583,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.217,-1,-1,-1,-1,533925364,1,-1
2025-06-05 22:14:11.586,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.158,-1,-1,-1,-1,534024106,1,-1
2025-06-05 22:14:12.596,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.3,-1,-1,-1,-1,534075468,1,-1
2025-06-05 22:14:13.601,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,0,8188,479,7709,2040,7000,2040,-1,16.155,-1,-1,-1,-1,534157602,1,-1
2025-06-05 22:14:14.604,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.262,-1,-1,-1,-1,534241402,1,-1
2025-06-05 22:14:15.619,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,0,8188,479,7709,2040,7000,2040,-1,16.232,-1,-1,-1,-1,534324129,1,-1
2025-06-05 22:14:16.623,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,0,8188,479,7709,2040,7000,2040,-1,16.182,-1,-1,-1,-1,534401621,1,-1
2025-06-05 22:14:17.627,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,489,7699,2040,7000,2040,-1,16.244,-1,-1,-1,-1,534470285,1,-1
2025-06-05 22:14:18.635,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,479,7709,2040,7000,2040,-1,16.142,-1,-1,-1,-1,534547379,1,-1
2025-06-05 22:14:19.639,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.116,-1,-1,-1,-1,534643262,1,-1
2025-06-05 22:14:20.643,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,489,7699,2040,7000,2040,-1,16.243,-1,-1,-1,-1,534729390,1,-1
2025-06-05 22:14:21.647,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,3,0,8188,479,7709,2040,7000,2040,-1,16.23,-1,-1,-1,-1,534828385,1,-1
2025-06-05 22:14:22.653,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,479,7709,2040,7000,2040,-1,16.22,-1,-1,-1,-1,534882474,1,-1
2025-06-05 22:14:23.658,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,479,7709,2040,7000,2040,-1,16.197,-1,-1,-1,-1,534959004,1,-1
2025-06-05 22:14:24.661,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,479,7709,2040,7000,2040,-1,16.24,-1,-1,-1,-1,535059511,1,-1
2025-06-05 22:14:25.665,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,479,7709,2040,7000,2040,-1,16.265,-1,-1,-1,-1,535143385,1,-1
2025-06-05 22:14:26.674,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,489,7699,2040,7000,2040,-1,16.209,-1,-1,-1,-1,535234353,1,-1
2025-06-05 22:14:27.677,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,479,7709,2040,7000,2040,-1,16.257,-1,-1,-1,-1,535297153,1,-1
2025-06-05 22:14:28.691,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,479,7709,2040,7000,2040,-1,16.2,-1,-1,-1,-1,535383586,1,-1
2025-06-05 22:14:29.696,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,489,7699,2040,7000,2040,-1,16.251,-1,-1,-1,-1,535489403,1,-1
2025-06-05 22:14:30.700,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,481,7707,2040,7000,2040,-1,16.212,-1,-1,-1,-1,535558910,1,-1
2025-06-05 22:14:31.710,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,491,7697,2040,7000,2040,-1,16.254,-1,-1,-1,-1,535644221,1,-1
2025-06-05 22:14:32.714,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,481,7707,2040,7000,2040,-1,16.167,-1,-1,-1,-1,535716009,1,-1
2025-06-05 22:14:33.719,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,481,7707,2040,7000,2040,-1,16.255,-1,-1,-1,-1,535801101,1,-1
2025-06-05 22:14:34.721,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,481,7707,2040,7000,2040,-1,16.18,-1,-1,-1,-1,535921005,1,-1
2025-06-05 22:14:35.729,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,3,0,8188,491,7697,2040,7000,2040,-1,16.264,-1,-1,-1,-1,535968210,1,-1
2025-06-05 22:14:36.734,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,481,7707,2040,7000,2040,-1,16.224,-1,-1,-1,-1,536043065,1,-1
2025-06-05 22:14:37.739,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,481,7707,2040,7000,2040,-1,16.223,-1,-1,-1,-1,536135287,1,-1
2025-06-05 22:14:38.742,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,481,7707,2040,7000,2040,-1,16.293,-1,-1,-1,-1,536230015,1,-1
2025-06-05 22:14:39.747,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,2,0,8188,481,7707,2040,7000,2040,-1,16.259,-1,-1,-1,-1,536328173,1,-1
