session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-06-05 22:48:29.860 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98811
1,2025-06-05 22:48:29.860 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8038
1,2025-06-05 22:48:29.860 ,sm,inst_executed,avg,per_cycle_active,0,2.99215
1,2025-06-05 22:48:29.860 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8038
1,2025-06-05 22:48:29.860 ,sm,inst_issued,avg,per_cycle_active,0,2.99215
1,2025-06-05 22:48:29.860 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
1,2025-06-05 22:48:29.860 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
1,2025-06-05 22:48:29.860 ,dram,bytes_read,sum,per_second,0,2.31294e+10
1,2025-06-05 22:48:29.860 ,dram,bytes_write,sum,per_second,0,1.21378e+09
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.32824e+07
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-06-05 22:48:29.860 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-06-05 22:48:29.860 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.4085
1,2025-06-05 22:48:29.860 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9776
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000305944
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.619966
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.656
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209366
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6161
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.50437
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.802467
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.638679
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,7.39853e-05
1,2025-06-05 22:48:29.860 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000838563
2,2025-06-05 22:48:34.526 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98815
2,2025-06-05 22:48:34.526 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.7961
2,2025-06-05 22:48:34.526 ,sm,inst_executed,avg,per_cycle_active,0,2.99184
2,2025-06-05 22:48:34.526 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.7961
2,2025-06-05 22:48:34.526 ,sm,inst_issued,avg,per_cycle_active,0,2.99184
2,2025-06-05 22:48:34.526 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
2,2025-06-05 22:48:34.526 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
2,2025-06-05 22:48:34.526 ,dram,bytes_read,sum,per_second,0,2.54785e+10
2,2025-06-05 22:48:34.526 ,dram,bytes_write,sum,per_second,0,1.3305e+09
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.68923e+07
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
2,2025-06-05 22:48:34.526 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
2,2025-06-05 22:48:34.526 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.3935
2,2025-06-05 22:48:34.526 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9828
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000294039
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.619743
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.662
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209453
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6535
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.52046
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.755341
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_math_pipe_throttle_per_warp_active,pct,No post,0,0.639263
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_lg_throttle_per_warp_active,pct,No post,0,0.000130021
2,2025-06-05 22:48:34.526 ,smsp,warp_issue_stalled_drain_per_warp_active,pct,No post,0,0.000840426
3,2025-06-05 22:48:39.193 ,sm,inst_executed,avg,per_cycle_elapsed,0,2.98818
3,2025-06-05 22:48:39.193 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,74.8131
3,2025-06-05 22:48:39.193 ,sm,inst_executed,avg,per_cycle_active,0,2.99252
3,2025-06-05 22:48:39.193 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,74.8131
3,2025-06-05 22:48:39.193 ,sm,inst_issued,avg,per_cycle_active,0,2.99252
3,2025-06-05 22:48:39.193 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,0
3,2025-06-05 22:48:39.193 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,3.36803e+10
3,2025-06-05 22:48:39.193 ,dram,bytes_read,sum,per_second,0,2.52102e+10
3,2025-06-05 22:48:39.193 ,dram,bytes_write,sum,per_second,0,1.32584e+09
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,1.40955e+07
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,0
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.14748e+09
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,8.38861e+06
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
3,2025-06-05 22:48:39.193 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
3,2025-06-05 22:48:39.193 ,lts,t_sector_op_read_hit_rate,pct,No post,0,93.4131
3,2025-06-05 22:48:39.193 ,lts,t_sector_op_write_hit_rate,pct,No post,0,99.9733
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.000298655
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.619541
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_wait_per_warp_active,pct,No post,0,18.653
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_short_scoreboard_per_warp_active,pct,No post,0,0.209348
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_not_selected_per_warp_active,pct,No post,0,37.6349
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_sleeping_per_warp_active,pct,No post,0,0
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_barrier_per_warp_active,pct,No post,0,3.50718
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_membar_per_warp_active,pct,No post,0,0
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_tex_throttle_per_warp_active,pct,No post,0,0
3,2025-06-05 22:48:39.193 ,smsp,warp_issue_stalled_mio_throttle_per_warp_active,pct,No post,0,0.753116
