timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-06-05 22:48:23.919,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,353,7835,210,405,210,-1,1.675,-1,-1,-1,-1,1050333408,1,-1
2025-06-05 22:48:24.927,0,NVIDIA GeForce RTX 4060 Laptop GPU,43,0,0,8188,357,7830,210,405,210,-1,1.734,-1,-1,-1,-1,1050677123,1,-1
2025-06-05 22:48:25.931,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,98,17,8188,7933,255,1140,7000,1140,-1,24.795,-1,-1,-1,-1,1050761282,1,-1
2025-06-05 22:48:26.940,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,98,18,8188,7933,255,1215,5500,1215,-1,35.136,-1,-1,-1,-1,1050847459,1,-1
2025-06-05 22:48:27.946,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,98,18,8188,7933,255,1155,5500,1155,-1,34.915,-1,-1,-1,-1,1050948576,1,-1
2025-06-05 22:48:28.950,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,100,2,8188,7933,255,1680,5500,1680,-1,34.977,-1,-1,-1,-1,1051064898,1,-1
2025-06-05 22:48:29.954,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,100,2,8188,7933,255,2040,5500,2040,-1,35.01,-1,-1,-1,-1,1051199089,1,-1
2025-06-05 22:48:30.959,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,94,15,8188,7933,255,1305,5500,1305,-1,32.611,-1,-1,-1,-1,1051285722,1,-1
2025-06-05 22:48:31.965,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,18,8188,7933,255,1365,5500,1365,-1,34.927,-1,-1,-1,-1,1051381303,1,-1
2025-06-05 22:48:32.971,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,99,17,8188,7933,255,1710,5500,1710,-1,34.425,-1,-1,-1,-1,1051493345,1,-1
2025-06-05 22:48:33.975,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,1695,5500,1695,-1,35.225,-1,-1,-1,-1,1051622710,1,-1
2025-06-05 22:48:34.984,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,97,15,8188,7933,255,1215,5500,1215,-1,33.073,-1,-1,-1,-1,1051746607,1,-1
2025-06-05 22:48:35.988,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,18,8188,7933,255,1125,5500,1125,-1,34.777,-1,-1,-1,-1,1051853447,1,-1
2025-06-05 22:48:36.992,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,18,8188,7933,255,1155,5500,1155,-1,34.862,-1,-1,-1,-1,1051947177,1,-1
2025-06-05 22:48:37.996,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1710,5500,1710,-1,34.598,-1,-1,-1,-1,1052030604,1,-1
2025-06-05 22:48:39.005,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1710,5500,1710,-1,35.043,-1,-1,-1,-1,1052122724,1,-1
2025-06-05 22:48:40.009,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,19,8188,7933,255,1215,5500,1215,-1,33.725,-1,-1,-1,-1,1052225062,1,-1
2025-06-05 22:48:41.014,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,19,8188,7933,255,1185,5500,1185,-1,36.163,-1,-1,-1,-1,1052369165,1,-1
2025-06-05 22:48:42.022,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,98,19,8188,7933,255,1185,5500,1185,-1,35.008,-1,-1,-1,-1,1052474589,1,-1
2025-06-05 22:48:43.027,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1650,5500,1650,-1,35.035,-1,-1,-1,-1,1052552920,1,-1
2025-06-05 22:48:44.031,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,99,13,8188,7933,255,2040,5500,2040,-1,34.001,-1,-1,-1,-1,1052637251,1,-1
2025-06-05 22:48:45.041,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,16,8188,7933,255,1275,5500,1275,-1,33.192,-1,-1,-1,-1,1052782960,1,-1
2025-06-05 22:48:46.045,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,17,8188,7933,255,1335,5500,1335,-1,34.821,-1,-1,-1,-1,1052867389,1,-1
