session_id,duration_ms,location,metric_name,rollup_operation,Post,range_name,metric_value
1,2025-06-05 23:23:56.524 ,sm,inst_executed,avg,per_cycle_elapsed,0,0.359761
1,2025-06-05 23:23:56.524 ,sm,instruction_throughput,avg,pct_of_peak_sustained_active,0,88.3812
1,2025-06-05 23:23:56.524 ,sm,inst_executed,avg,per_cycle_active,0,0.359965
1,2025-06-05 23:23:56.524 ,sm,inst_issued,avg,pct_of_peak_sustained_active,0,9.00052
1,2025-06-05 23:23:56.524 ,sm,inst_issued,avg,per_cycle_active,0,0.360021
1,2025-06-05 23:23:56.524 ,smsp,sass_thread_inst_executed_op_fp64_pred_on,sum,No post,0,1.09719e+08
1,2025-06-05 23:23:56.524 ,smsp,sass_thread_inst_executed_op_integer_pred_on,sum,No post,0,7.28699e+08
1,2025-06-05 23:23:56.524 ,dram,bytes_read,sum,per_second,0,849674
1,2025-06-05 23:23:56.524 ,dram,bytes_write,sum,per_second,0,1.6775e+07
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit,sum,No post,0,183643
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st_lookup_hit,sum,No post,0,934
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red_lookup_hit,sum,No post,0,0
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit,sum,No post,0,0
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_ld,sum,No post,0,2.77746e+06
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_st,sum,No post,0,262292
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_red,sum,No post,0,0
1,2025-06-05 23:23:56.524 ,l1tex,t_sectors_pipe_lsu_mem_global_op_atom,sum,No post,0,0
1,2025-06-05 23:23:56.524 ,lts,t_sector_op_read_hit_rate,pct,No post,0,99.9946
1,2025-06-05 23:23:56.524 ,lts,t_sector_op_write_hit_rate,pct,No post,0,100
1,2025-06-05 23:23:56.524 ,smsp,warp_issue_stalled_imc_miss_per_warp_active,pct,No post,0,0.0044415
1,2025-06-05 23:23:56.524 ,smsp,warp_issue_stalled_long_scoreboard_per_warp_active,pct,No post,0,0.616582
