timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-06-05 23:23:55.539,0,NVIDIA GeForce RTX 4060 Laptop GPU,44,0,0,8188,353,7835,210,405,210,-1,2.686,-1,-1,-1,-1,1590578540,1,-1
2025-06-05 23:23:56.546,0,NVIDIA GeForce RTX 4060 Laptop GPU,46,29,0,8188,476,7711,1620,7000,1620,-1,7.696,-1,-1,-1,-1,1590688937,1,-1
2025-06-05 23:23:57.552,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,11,0,8188,489,7699,1830,8000,1830,-1,13.113,-1,-1,-1,-1,1590777936,1,-1
2025-06-05 23:23:58.555,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,33,0,8188,477,7711,1980,8000,1980,-1,16.086,-1,-1,-1,-1,1590881266,1,-1
2025-06-05 23:23:59.559,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,14,0,8188,353,7835,1980,7000,1980,-1,16.672,-1,-1,-1,-1,1590966984,1,-1
2025-06-05 23:24:00.562,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,353,7835,2040,7000,2040,-1,15.727,-1,-1,-1,-1,1591050209,1,-1
2025-06-05 23:24:01.570,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,353,7835,2040,8000,2040,-1,16.055,-1,-1,-1,-1,1591144668,1,-1
2025-06-05 23:24:02.573,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,1,0,8188,353,7835,2040,8000,2040,-1,17.373,-1,-1,-1,-1,1591258692,1,-1
2025-06-05 23:24:03.576,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,1,1,8188,353,7835,2040,5500,2040,-1,16.145,-1,-1,-1,-1,1591357250,1,-1
2025-06-05 23:24:04.579,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,1,0,8188,353,7834,2040,7000,2040,-1,14.352,-1,-1,-1,-1,1591447067,1,-1
2025-06-05 23:24:05.597,0,NVIDIA GeForce RTX 4060 Laptop GPU,47,0,0,8188,370,7817,2040,7000,2040,-1,15.31,-1,-1,-1,-1,1591565365,1,-1
2025-06-05 23:24:06.602,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,465,7723,2040,8000,2040,-1,16.115,-1,-1,-1,-1,1591621418,1,-1
2025-06-05 23:24:07.609,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,465,7723,2040,7000,2040,-1,16.938,-1,-1,-1,-1,1591680183,1,-1
2025-06-05 23:24:08.612,0,NVIDIA GeForce RTX 4060 Laptop GPU,48,0,0,8188,477,7711,2040,8000,2040,-1,16.763,-1,-1,-1,-1,1591758317,1,-1
2025-06-05 23:24:09.616,0,NVIDIA GeForce RTX 4060 Laptop GPU,49,0,0,8188,489,7699,2040,7000,2040,-1,16.051,-1,-1,-1,-1,1591874004,1,-1
2025-06-05 23:24:10.620,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,1,0,8188,489,7699,2040,7000,2040,-1,15.942,-1,-1,-1,-1,1591981307,1,-1
2025-06-05 23:24:11.627,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,2,0,8188,489,7699,1935,7000,1935,-1,17.393,-1,-1,-1,-1,1592113333,1,-1
2025-06-05 23:24:12.632,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,43,0,8188,489,7699,2040,7000,2040,-1,16.556,-1,-1,-1,-1,1592203177,1,-1
