timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-08-07 10:07:47.547,0,NVIDIA RTX 6000 Ada Generation,51,0,0,49140,1189,47950,210,405,210,30,14.765,-1,-1,-1,-1,58791576196,1,"nvclock=210, nvclockmin=210, nvclockmax=405, nvclockeditable=1, memclock=405, memclockmin=405, memclockmax=405, memclockeditable=1, memTransferRate=810, memTransferRatemin=810, memTransferRatemax=810, memTransferRateeditable=1"
2025-08-07 10:07:48.556,0,NVIDIA RTX 6000 Ada Generation,54,2,0,49140,1646,47493,2760,9501,2760,30,65.986,-1,-1,-1,-1,58791683637,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:49.562,0,NVIDIA RTX 6000 Ada Generation,56,2,0,49140,1662,47477,2760,9501,2760,30,147.421,-1,-1,-1,-1,58791826013,1,"nvclock=2760, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:50.569,0,NVIDIA RTX 6000 Ada Generation,55,6,0,49140,1662,47477,2745,9501,2745,30,146.601,-1,-1,-1,-1,58791966568,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:51.577,0,NVIDIA RTX 6000 Ada Generation,56,2,0,49140,1646,47493,2745,9501,2745,30,146.075,-1,-1,-1,-1,58792109296,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:52.582,0,NVIDIA RTX 6000 Ada Generation,57,2,0,49140,1662,47477,2745,9501,2745,30,145.825,-1,-1,-1,-1,58792247405,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:53.588,0,NVIDIA RTX 6000 Ada Generation,57,2,0,49140,1646,47493,2745,9501,2745,30,146.328,-1,-1,-1,-1,58792387261,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:54.596,0,NVIDIA RTX 6000 Ada Generation,58,2,0,49140,1662,47477,2745,9501,2745,30,147.138,-1,-1,-1,-1,58792529291,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:55.602,0,NVIDIA RTX 6000 Ada Generation,57,8,0,49140,1646,47493,2745,9501,2745,30,146.917,-1,-1,-1,-1,58792684132,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:56.615,0,NVIDIA RTX 6000 Ada Generation,58,2,0,49140,1662,47477,2745,9501,2745,30,147.876,-1,-1,-1,-1,58792828087,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:57.622,0,NVIDIA RTX 6000 Ada Generation,59,2,0,49140,1662,47477,2745,9501,2745,30,148.385,-1,-1,-1,-1,58792971211,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:58.630,0,NVIDIA RTX 6000 Ada Generation,58,3,0,49140,1662,47477,2745,9501,2745,30,148.692,-1,-1,-1,-1,58793112539,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:07:59.637,0,NVIDIA RTX 6000 Ada Generation,59,4,0,49140,1662,47477,2745,9501,2745,30,148.935,-1,-1,-1,-1,58793257232,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:00.642,0,NVIDIA RTX 6000 Ada Generation,59,5,0,49140,1646,47493,2745,9501,2745,30,149.049,-1,-1,-1,-1,58793402179,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:01.654,0,NVIDIA RTX 6000 Ada Generation,60,2,0,49140,1662,47477,2745,9501,2745,30,149.274,-1,-1,-1,-1,58793547103,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:02.659,0,NVIDIA RTX 6000 Ada Generation,60,2,0,49140,1646,47493,2745,9501,2745,30,149.685,-1,-1,-1,-1,58793690618,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:03.665,0,NVIDIA RTX 6000 Ada Generation,60,3,0,49140,1662,47477,2745,9501,2745,30,149.338,-1,-1,-1,-1,58793831179,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:04.673,0,NVIDIA RTX 6000 Ada Generation,61,6,0,49140,1662,47477,2745,9501,2745,30,149.974,-1,-1,-1,-1,58793975955,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:05.679,0,NVIDIA RTX 6000 Ada Generation,61,3,0,49140,1646,47493,2745,9501,2745,30,149.777,-1,-1,-1,-1,58794119697,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:06.686,0,NVIDIA RTX 6000 Ada Generation,61,4,0,49140,1662,47477,2745,9501,2745,30,151.019,-1,-1,-1,-1,58794263919,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:07.692,0,NVIDIA RTX 6000 Ada Generation,62,2,0,49140,1646,47493,2745,9501,2745,30,151.321,-1,-1,-1,-1,58794410785,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:08.698,0,NVIDIA RTX 6000 Ada Generation,61,2,0,49140,1662,47477,2745,9501,2745,30,151.461,-1,-1,-1,-1,58794569619,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:09.705,0,NVIDIA RTX 6000 Ada Generation,62,6,0,49140,1662,47477,2745,9501,2745,30,151.241,-1,-1,-1,-1,58794718298,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:10.712,0,NVIDIA RTX 6000 Ada Generation,63,3,0,49140,1646,47493,2745,9501,2745,30,151.34,-1,-1,-1,-1,58794864134,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-07 10:08:11.717,0,NVIDIA RTX 6000 Ada Generation,62,4,0,49140,1662,47477,2745,9501,2745,30,151.466,-1,-1,-1,-1,58795011095,1,"nvclock=2745, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
