timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ,clock_freq,adaptive_clock_frequency
2025-08-05 08:10:25.677,0,NVIDIA RTX 6000 Ada Generation,32,0,0,49140,1189,47950,210,405,210,30,14.203,-1,-1,-1,-1,56490056446,1,"nvclock=210, nvclockmin=210, nvclockmax=405, nvclockeditable=1, memclock=405, memclockmin=405, memclockmax=405, memclockeditable=1, memTransferRate=810, memTransferRatemin=810, memTransferRatemax=810, memTransferRateeditable=1"
2025-08-05 08:10:26.208,0,NVIDIA RTX 6000 Ada Generation,35,1,0,49140,1666,47473,2505,9501,2505,30,23.137,-1,-1,-1,-1,56490100701,1,"nvclock=2505, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:26.686,0,NVIDIA RTX 6000 Ada Generation,36,1,0,49140,1648,47491,2775,9501,2775,30,72.607,-1,-1,-1,-1,56490172562,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:27.218,0,NVIDIA RTX 6000 Ada Generation,37,1,0,49140,1648,47491,2775,9501,2775,30,133.716,-1,-1,-1,-1,56490237036,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:27.715,0,NVIDIA RTX 6000 Ada Generation,37,1,0,49140,1666,47473,2775,9501,2775,30,142.408,-1,-1,-1,-1,56490307502,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:28.229,0,NVIDIA RTX 6000 Ada Generation,38,3,0,49140,1666,47473,2775,9501,2775,30,141.922,-1,-1,-1,-1,56490374051,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:28.722,0,NVIDIA RTX 6000 Ada Generation,38,3,0,49140,1666,47473,2775,9501,2775,30,142.609,-1,-1,-1,-1,56490440934,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:29.235,0,NVIDIA RTX 6000 Ada Generation,38,3,0,49140,1666,47473,2775,9501,2775,30,143.26,-1,-1,-1,-1,56490509874,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:29.729,0,NVIDIA RTX 6000 Ada Generation,38,3,0,49140,1648,47491,2775,9501,2775,30,143.362,-1,-1,-1,-1,56490580875,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:30.248,0,NVIDIA RTX 6000 Ada Generation,39,1,0,49140,1648,47491,2775,9501,2775,30,143.134,-1,-1,-1,-1,56490649649,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:30.736,0,NVIDIA RTX 6000 Ada Generation,39,1,0,49140,1648,47491,2775,9501,2775,30,142.206,-1,-1,-1,-1,56490719038,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:31.262,0,NVIDIA RTX 6000 Ada Generation,39,27,0,49140,1648,47491,2775,9501,2775,30,142.371,-1,-1,-1,-1,56490787704,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
2025-08-05 08:10:31.745,0,NVIDIA RTX 6000 Ada Generation,39,27,0,49140,1666,47473,2775,9501,2775,30,145.303,-1,-1,-1,-1,56490859094,1,"nvclock=2775, nvclockmin=210, nvclockmax=3105, nvclockeditable=1, memclock=9501, memclockmin=9501, memclockmax=9501, memclockeditable=1, memTransferRate=19002, memTransferRatemin=19002, memTransferRatemax=19002, memTransferRateeditable=1"
