Random number generator seed: 7
Input layer size : 65536
Starting training kernel
Requesting metric 'sm__cycles_active.sum'
Requesting metric 'sys__cycles_active.sum'
Requesting metric 'sm__warps_active.sum'
Requesting metric 'smsp__inst_executed_op_generic_atom_dot_alu.sum'
Requesting metric 'sm__cycles_elapsed.sum'
Requesting metric 'sys__cycles_elapsed.sum'
Requesting metric 'dram__sectors_read.sum'
Requesting metric 'dram__sectors_write.sum'
Requesting metric 'smsp__inst_executed_op_generic_atom_dot_cas.sum'
Requesting metric 'smsp__inst_executed_op_global_red.sum'
Requesting metric 'sm__inst_executed.sum'
Requesting metric 'smsp__inst_executed_pipe_fma.sum'
Requesting metric 'smsp__inst_executed_pipe_fp64.sum'
Requesting metric 'sm__inst_issued.sum'
Requesting metric 'lts__t_sectors_op_read_lookup_miss.sum'
Requesting metric 'smsp__warps_launched.sum'
Requesting metric 'smsp__thread_inst_executed.sum'
Requesting metric 'smsp__inst_executed_op_local_st.sum'
Requesting metric 'smsp__inst_executed_op_local_ld.sum'
Requesting metric 'smsp__inst_executed_op_global_st.sum'
Requesting metric 'smsp__inst_executed_op_global_ld.sum'
Performing GPU computation
Training done

Context 0x55ce9c0c6460, device 0 (NVIDIA GeForce RTX 4060 Laptop GPU) session 1:
:

Range Name                              Metric Name                                                                                         Metric Value
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                       sm__cycles_active.sum                                                                               1.87505e+06
1                                       sm__cycles_active.sum                                                                               9.4948e+06
0                                       sys__cycles_active.sum                                                                              71134
1                                       sys__cycles_active.sum                                                                              348736
0                                       sm__warps_active.sum                                                                                8.08209e+07
1                                       sm__warps_active.sum                                                                                4.42952e+08
0                                       smsp__inst_executed_op_generic_atom_dot_alu.sum                                                     0
1                                       smsp__inst_executed_op_generic_atom_dot_alu.sum                                                     0
0                                       sm__cycles_elapsed.sum                                                                              1.93014e+06
1                                       sm__cycles_elapsed.sum                                                                              9.56097e+06
0                                       sys__cycles_elapsed.sum                                                                             71134
1                                       sys__cycles_elapsed.sum                                                                             348736
0                                       dram__sectors_read.sum                                                                              0
1                                       dram__sectors_read.sum                                                                              8
0                                       dram__sectors_write.sum                                                                             4628
1                                       dram__sectors_write.sum                                                                             265264
0                                       smsp__inst_executed_op_generic_atom_dot_cas.sum                                                     0
1                                       smsp__inst_executed_op_generic_atom_dot_cas.sum                                                     0
0                                       smsp__inst_executed_op_global_red.sum                                                               0
1                                       smsp__inst_executed_op_global_red.sum                                                               0
0                                       sm__inst_executed.sum                                                                               3.9977e+06
1                                       sm__inst_executed.sum                                                                               1.47458e+06
0                                       smsp__inst_executed_pipe_fma.sum                                                                    1.11411e+06
1                                       smsp__inst_executed_pipe_fma.sum                                                                    196610
0                                       smsp__inst_executed_pipe_fp64.sum                                                                   0
1                                       smsp__inst_executed_pipe_fp64.sum                                                                   524300
0                                       sm__inst_issued.sum                                                                                 4.00776e+06
1                                       sm__inst_issued.sum                                                                                 1.48854e+06
0                                       lts__t_sectors_op_read_lookup_miss.sum                                                              1
1                                       lts__t_sectors_op_read_lookup_miss.sum                                                              12
0                                       smsp__warps_launched.sum                                                                            32768
1                                       smsp__warps_launched.sum                                                                            32768
0                                       smsp__thread_inst_executed.sum                                                                      1.23011e+08
1                                       smsp__thread_inst_executed.sum                                                                      4.71863e+07
0                                       smsp__inst_executed_op_local_st.sum                                                                 0
1                                       smsp__inst_executed_op_local_st.sum                                                                 0
0                                       smsp__inst_executed_op_local_ld.sum                                                                 0
1                                       smsp__inst_executed_op_local_ld.sum                                                                 0
0                                       smsp__inst_executed_op_global_st.sum                                                                65536
1                                       smsp__inst_executed_op_global_st.sum                                                                65538
0                                       smsp__inst_executed_op_global_ld.sum                                                                65536
1                                       smsp__inst_executed_op_global_ld.sum                                                                229381
