Random number generator seed: 7
Input layer size : 65536
Starting training kernel
Requesting metric 'gpc__cycles_elapsed.avg.per_second'
Requesting metric 'gr__cycles_active.sum.pct_of_peak_sustained_elapsed'
Requesting metric 'tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__inst_executed.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_write.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__write_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.sum'
Requesting metric 'pcie__write_bytes.sum'
Performing GPU computation
Training done

Context 0x5577e0808010, device 0 (NVIDIA GeForce RTX 4060 Laptop GPU) session 1:
:

Range Name                              Metric Name                                                                                         Metric Value
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                       gpc__cycles_elapsed.avg.per_second                                                                  1.95674e+09
1                                       gpc__cycles_elapsed.avg.per_second                                                                  2.03647e+09
0                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
1                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
0                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        48.9565
1                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        63.0769
0                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 96.7704
1                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 99.2785
0                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 50.9617
1                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 3.84575
0                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
1                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
0                                       dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed                                            0.00530645
1                                       dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed                                            0.00439376
0                                       dramc__sectors_op_write.avg.pct_of_peak_sustained_elapsed                                           4.38313
1                                       dramc__sectors_op_write.avg.pct_of_peak_sustained_elapsed                                           1.42248
0                                       pcie__read_bytes.avg.pct_of_peak_sustained_elapsed                                                  0
1                                       pcie__read_bytes.avg.pct_of_peak_sustained_elapsed                                                  0.0332236
0                                       pcie__write_bytes.avg.pct_of_peak_sustained_elapsed                                                 1.56145
1                                       pcie__write_bytes.avg.pct_of_peak_sustained_elapsed                                                 0.332236
0                                       pcie__read_bytes.sum                                                                                0
1                                       pcie__read_bytes.sum                                                                                512
0                                       pcie__write_bytes.sum                                                                               5120
1                                       pcie__write_bytes.sum                                                                               5120
