WG size of kernel 1 = 512, WG size of kernel 2= 4 X 4
Requesting metric 'gpc__cycles_elapsed.avg.per_second'
Requesting metric 'gr__cycles_active.sum.pct_of_peak_sustained_elapsed'
Requesting metric 'tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__inst_executed.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_write.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__write_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.sum'
Requesting metric 'pcie__write_bytes.sum'
Total Device found: 1
Device Name 		 - NVIDIA GeForce RTX 4060 Laptop GPU 
**************************************
Total Global Memory			 - 8024320 KB
Shared memory available per block 	 - 48 KB
Number of registers per thread block 	 - 65536
Warp size in threads 			 - 32
Memory Pitch 				 - 2147483647 bytes
Maximum threads per block 		 - 1024
Maximum Thread Dimension (block) 	 - 1024 1024 64
Maximum Thread Dimension (grid) 	 - 2147483647 65535 65535
Total constant memory 			 - 65536 bytes
CUDA ver 				 - 8.9
Clock rate 				 - 1470000 KHz
Texture Alignment 			 - 512 bytes
Device Overlap 				 - Allowed
Number of Multi processors 		 - 24

Read file from ./test-apps/gpu-rodinia/gaussian/matrix1024.txt 

Context 0x55ebfdef4230, device 0 (NVIDIA GeForce RTX 4060 Laptop GPU) session 1:
 [durata: 80 ms]:

Range Name                              Metric Name                                                                                         Metric Value
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                       gpc__cycles_elapsed.avg.per_second                                                                  1.98374e+09
1                                       gpc__cycles_elapsed.avg.per_second                                                                  2.02214e+09
2                                       gpc__cycles_elapsed.avg.per_second                                                                  1.99663e+09
3                                       gpc__cycles_elapsed.avg.per_second                                                                  2.02094e+09
4                                       gpc__cycles_elapsed.avg.per_second                                                                  1.99525e+09
5                                       gpc__cycles_elapsed.avg.per_second                                                                  2.01996e+09
6                                       gpc__cycles_elapsed.avg.per_second                                                                  1.98866e+09
7                                       gpc__cycles_elapsed.avg.per_second                                                                  2.01874e+09
8                                       gpc__cycles_elapsed.avg.per_second                                                                  1.98958e+09
9                                       gpc__cycles_elapsed.avg.per_second                                                                  2.02216e+09
0                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
1                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
2                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
3                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
4                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
5                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
6                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
7                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
8                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
9                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
0                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.77707
1                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.4762
2                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.40397
3                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.9513
4                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.42099
5                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.9719
6                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.41873
7                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.6707
8                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.42532
9                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.1721
0                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.93244
1                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 54.2792
2                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.4662
3                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 57.1143
4                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.51536
5                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 57.1065
6                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.50143
7                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 59.1337
8                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.52052
9                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 55.1479
0                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 0.477875
1                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 11.8015
2                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 0.404711
3                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 11.5938
4                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 0.337812
5                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 11.5416
6                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 0.338931
7                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 11.8185
8                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 0.338774
9                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 11.8929
0                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
1                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
2                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
3                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
4                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
5                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
